rb,Year,cdd
p112,2020,3369.8486877880428
p112,2021,3334.3162615455753
p112,2022,3316.6008643830714
p112,2023,3301.8128398095346
p112,2024,3305.8337717129116
p112,2025,3267.710667314613
p112,2026,3254.319660147035
p112,2027,3238.0053612508427
p112,2028,3243.5596758323086
p112,2029,3205.5626212602774
p112,2030,3189.8163127075964
p112,2031,3175.741279269477
p112,2032,3179.2176530383617
p112,2033,3143.9484174981267
p112,2034,3127.351346516332
p112,2035,3114.390883784293
p112,2036,3116.1225067368064
p112,2037,3082.82117967214
p112,2038,3066.43981247925
p112,2039,3049.9078573970464
p112,2040,3057.2468668696592
p112,2041,3020.1146863533518
p112,2042,3006.0233659752225
p112,2043,2989.397405467497
p112,2044,2996.812878361384
p112,2045,2960.4929244708333
p112,2046,2944.991333409688
p112,2047,2930.3475180634514
p112,2048,2933.2741891283094
p112,2049,2902.4927867193073
p112,2050,2886.9486935592613
p112,2051,2871.776785396519
p112,2052,2874.313067512885
p112,2053,2841.724888424711
p112,2054,2827.238347077263
p112,2055,2812.3458453308785
p112,2056,2817.9819644670124
p112,2057,2782.0783190594393
p112,2058,2769.518599022273
p112,2059,2754.4410814221187
p112,2060,2759.9127623151453
p112,2061,2726.065908971649
p112,2062,2709.837034892471
p112,2063,2697.3963896007017
p112,2064,2700.846673054891
p112,2065,2669.7483741530873
p112,2066,2653.612701560974
p112,2067,2641.6686445292735
p112,2068,2643.2420032821246
p112,2069,2613.9613393976124
p112,2070,2598.929631533897
p112,2071,2582.786296065263
p112,2072,2588.9649649250387
p112,2073,2556.7138378448876
p112,2074,2544.802626046554
p112,2075,2528.0701871409847
p112,2076,2533.057007267815
p112,2077,2500.5049457342807
p112,2078,2489.857169362908
p112,2079,2475.698985206809
p112,2080,2475.709718356966
p112,2081,2447.9305706327364
p112,2082,2434.1325185263
p112,2083,2422.0705416480005
p112,2084,2423.8022849205963
p112,2085,2394.1529761514207
p112,2086,2379.2934901512135
p112,2087,2367.6065940062654
p112,2088,2372.161568314769
p112,2089,2340.5997497885805
p112,2090,2327.4244956658026
p112,2091,2314.990417323811
p112,2092,2317.7802039586154
p112,2093,2288.3089770297697
p112,2094,2274.653885890477
p112,2095,2263.6755551039328
p112,2096,2265.804094222519
p112,2097,2236.7981424255813
p112,2098,2223.171759009537
p112,2099,2212.1619375083865
