state,Year,Date
New Hampshire,2041,2041-08-06
New Hampshire,2041,2041-08-07
New Hampshire,2041,2041-08-08
New Hampshire,2041,2041-08-09
New Hampshire,2041,2041-08-10
New Hampshire,2042,2042-06-26
New Hampshire,2042,2042-07-02
New Hampshire,2042,2042-07-03
New Hampshire,2042,2042-07-04
New Hampshire,2042,2042-07-22
New Hampshire,2042,2042-07-29
New Hampshire,2042,2042-07-30
New Hampshire,2042,2042-08-03
New Hampshire,2042,2042-08-04
New Hampshire,2042,2042-08-11
New Hampshire,2042,2042-08-12
New Hampshire,2042,2042-08-13
New Hampshire,2042,2042-08-14
New Hampshire,2042,2042-08-15
New Hampshire,2042,2042-08-17
New Hampshire,2042,2042-08-18
New Hampshire,2042,2042-09-08
New Hampshire,2042,2042-09-09
New Hampshire,2042,2042-09-10
New Hampshire,2043,2043-06-25
New Hampshire,2043,2043-06-26
New Hampshire,2043,2043-06-27
New Hampshire,2043,2043-07-04
New Hampshire,2043,2043-07-05
New Hampshire,2043,2043-08-22
New Hampshire,2044,2044-06-09
New Hampshire,2044,2044-08-28
New Hampshire,2045,2045-06-13
New Hampshire,2045,2045-06-25
New Hampshire,2045,2045-06-26
New Hampshire,2045,2045-07-19
New Hampshire,2045,2045-07-22
New Hampshire,2045,2045-07-26
New Hampshire,2045,2045-07-27
New Hampshire,2045,2045-08-05
New Hampshire,2045,2045-08-09
New Hampshire,2045,2045-08-13
New Hampshire,2045,2045-08-21
New Hampshire,2046,2046-06-18
New Hampshire,2046,2046-07-14
New Hampshire,2046,2046-07-15
New Hampshire,2046,2046-07-16
New Hampshire,2046,2046-07-17
New Hampshire,2046,2046-07-18
New Hampshire,2046,2046-08-01
New Hampshire,2046,2046-08-02
New Hampshire,2047,2047-05-25
New Hampshire,2047,2047-06-26
New Hampshire,2047,2047-06-27
New Hampshire,2047,2047-07-26
New Hampshire,2047,2047-07-27
New Hampshire,2047,2047-08-02
New Hampshire,2047,2047-08-03
New Hampshire,2047,2047-08-04
New Hampshire,2047,2047-08-24
New Hampshire,2047,2047-08-25
New Hampshire,2047,2047-09-26
New Hampshire,2048,2048-06-08
New Hampshire,2048,2048-06-09
New Hampshire,2048,2048-06-10
New Hampshire,2048,2048-07-07
New Hampshire,2048,2048-09-04
New Hampshire,2049,2049-08-10
New Hampshire,2049,2049-08-15
New Hampshire,2049,2049-08-17
New Hampshire,2049,2049-08-18
New Hampshire,2050,2050-05-25
New Hampshire,2050,2050-05-26
New Hampshire,2050,2050-07-04
New Hampshire,2050,2050-07-05
New Hampshire,2050,2050-07-06
New Hampshire,2050,2050-07-07
New Hampshire,2050,2050-07-09
New Hampshire,2050,2050-07-12
New Hampshire,2050,2050-07-17
New Hampshire,2050,2050-08-04
New Hampshire,2050,2050-08-30
New Hampshire,2050,2050-08-31
New Hampshire,2050,2050-09-01
New Hampshire,2050,2050-09-02
New Hampshire,2050,2050-09-03
New Hampshire,2051,2051-06-09
New Hampshire,2051,2051-07-11
New Hampshire,2051,2051-07-12
New Hampshire,2051,2051-07-17
New Hampshire,2051,2051-07-20
New Hampshire,2051,2051-07-21
New Hampshire,2051,2051-07-22
New Hampshire,2051,2051-07-23
New Hampshire,2051,2051-08-01
New Hampshire,2052,2052-06-20
New Hampshire,2052,2052-06-21
New Hampshire,2052,2052-06-22
New Hampshire,2052,2052-06-29
New Hampshire,2052,2052-07-12
New Hampshire,2052,2052-07-13
New Hampshire,2052,2052-07-14
New Hampshire,2052,2052-07-15
New Hampshire,2052,2052-07-17
New Hampshire,2052,2052-08-03
New Hampshire,2053,2053-05-31
New Hampshire,2053,2053-06-01
New Hampshire,2053,2053-06-24
New Hampshire,2053,2053-06-25
New Hampshire,2053,2053-07-04
New Hampshire,2053,2053-07-05
New Hampshire,2053,2053-07-06
New Hampshire,2053,2053-07-14
New Hampshire,2053,2053-07-15
New Hampshire,2053,2053-07-16
New Hampshire,2053,2053-07-17
New Hampshire,2053,2053-07-18
New Hampshire,2053,2053-07-19
New Hampshire,2053,2053-07-20
New Hampshire,2053,2053-09-11
New Hampshire,2054,2054-07-01
New Hampshire,2054,2054-07-02
New Hampshire,2054,2054-07-03
New Hampshire,2054,2054-07-23
New Hampshire,2055,2055-07-29
New Hampshire,2055,2055-07-30
New Hampshire,2055,2055-08-17
New Hampshire,2055,2055-08-18
New Hampshire,2055,2055-09-07
New Hampshire,2055,2055-09-09
New Hampshire,2056,2056-07-06
New Hampshire,2056,2056-07-13
New Hampshire,2056,2056-07-14
New Hampshire,2056,2056-07-15
New Hampshire,2056,2056-07-16
New Hampshire,2056,2056-07-18
New Hampshire,2056,2056-07-22
New Hampshire,2056,2056-07-23
New Hampshire,2056,2056-07-26
New Hampshire,2056,2056-07-27
New Hampshire,2056,2056-07-28
New Hampshire,2056,2056-08-06
New Hampshire,2056,2056-08-11
New Hampshire,2056,2056-08-12
New Hampshire,2056,2056-08-14
New Hampshire,2057,2057-05-18
New Hampshire,2057,2057-06-11
New Hampshire,2057,2057-06-12
New Hampshire,2057,2057-06-13
New Hampshire,2057,2057-07-19
New Hampshire,2057,2057-07-20
New Hampshire,2057,2057-07-21
New Hampshire,2057,2057-08-22
New Hampshire,2058,2058-06-30
New Hampshire,2058,2058-07-01
New Hampshire,2058,2058-07-03
New Hampshire,2058,2058-07-04
New Hampshire,2058,2058-07-05
New Hampshire,2058,2058-07-10
New Hampshire,2058,2058-08-02
New Hampshire,2058,2058-08-05
New Hampshire,2058,2058-08-06
New Hampshire,2058,2058-08-07
New Hampshire,2058,2058-08-28
New Hampshire,2058,2058-08-29
New Hampshire,2058,2058-09-03
New Hampshire,2058,2058-09-06
New Hampshire,2059,2059-07-05
New Hampshire,2059,2059-07-19
New Hampshire,2059,2059-07-20
New Hampshire,2059,2059-07-21
New Hampshire,2059,2059-07-28
New Hampshire,2059,2059-07-29
New Hampshire,2059,2059-07-30
New Hampshire,2060,2060-06-24
New Hampshire,2060,2060-06-25
New Hampshire,2060,2060-06-26
New Hampshire,2060,2060-06-27
New Hampshire,2060,2060-07-05
New Hampshire,2060,2060-07-15
New Hampshire,2060,2060-07-16
New Hampshire,2060,2060-07-17
New Hampshire,2060,2060-07-19
New Hampshire,2060,2060-07-20
New Hampshire,2060,2060-07-21
New Hampshire,2060,2060-07-22
New Hampshire,2060,2060-07-26
New Hampshire,2060,2060-07-27
New Hampshire,2060,2060-07-30
New Hampshire,2060,2060-08-01
New Hampshire,2060,2060-08-02
New Hampshire,2060,2060-08-03
New Hampshire,2060,2060-08-04
New Hampshire,2060,2060-08-05
New Hampshire,2060,2060-08-06
New Hampshire,2060,2060-08-07
New Hampshire,2060,2060-08-08
New Hampshire,2060,2060-08-09
New Hampshire,2060,2060-08-24
New Hampshire,2060,2060-08-25
New Hampshire,2060,2060-08-26
New Hampshire,2060,2060-08-27
New Hampshire,2060,2060-08-31
New Hampshire,2060,2060-09-01
New Hampshire,2060,2060-09-02
New Hampshire,2060,2060-09-22
New Hampshire,2061,2061-06-16
New Hampshire,2061,2061-07-07
New Hampshire,2061,2061-07-08
New Hampshire,2061,2061-07-09
New Hampshire,2061,2061-07-11
New Hampshire,2061,2061-07-21
New Hampshire,2061,2061-08-01
New Hampshire,2061,2061-08-02
New Hampshire,2061,2061-08-03
New Hampshire,2061,2061-08-04
New Hampshire,2061,2061-08-10
New Hampshire,2061,2061-08-11
New Hampshire,2062,2062-07-07
New Hampshire,2062,2062-07-08
New Hampshire,2062,2062-07-16
New Hampshire,2062,2062-07-17
New Hampshire,2062,2062-07-18
New Hampshire,2062,2062-07-19
New Hampshire,2062,2062-08-16
New Hampshire,2063,2063-06-13
New Hampshire,2063,2063-06-15
New Hampshire,2063,2063-06-22
New Hampshire,2063,2063-06-23
New Hampshire,2063,2063-07-02
New Hampshire,2063,2063-07-03
New Hampshire,2063,2063-07-04
New Hampshire,2063,2063-07-05
New Hampshire,2063,2063-07-16
New Hampshire,2063,2063-07-18
New Hampshire,2063,2063-07-21
New Hampshire,2063,2063-07-28
New Hampshire,2063,2063-07-30
New Hampshire,2063,2063-08-07
New Hampshire,2063,2063-08-08
New Hampshire,2063,2063-08-19
New Hampshire,2063,2063-08-20
New Hampshire,2063,2063-08-27
New Hampshire,2063,2063-09-04
New Hampshire,2063,2063-09-05
New Hampshire,2063,2063-09-06
New Hampshire,2063,2063-09-07
New Hampshire,2063,2063-09-11
New Hampshire,2063,2063-09-20
New Hampshire,2064,2064-06-08
New Hampshire,2064,2064-06-09
New Hampshire,2064,2064-06-10
New Hampshire,2064,2064-06-11
New Hampshire,2064,2064-06-13
New Hampshire,2064,2064-07-02
New Hampshire,2064,2064-07-04
New Hampshire,2064,2064-07-14
New Hampshire,2064,2064-07-15
New Hampshire,2064,2064-08-04
New Hampshire,2064,2064-08-05
New Hampshire,2064,2064-08-06
New Hampshire,2064,2064-08-08
New Hampshire,2064,2064-08-15
New Hampshire,2064,2064-08-16
New Hampshire,2065,2065-07-05
New Hampshire,2065,2065-07-20
New Hampshire,2065,2065-08-10
New Hampshire,2065,2065-08-14
New Hampshire,2065,2065-08-15
New Hampshire,2066,2066-05-19
New Hampshire,2066,2066-07-07
New Hampshire,2066,2066-07-23
New Hampshire,2066,2066-07-25
New Hampshire,2067,2067-05-30
New Hampshire,2067,2067-05-31
New Hampshire,2067,2067-06-19
New Hampshire,2067,2067-07-10
New Hampshire,2067,2067-07-11
New Hampshire,2067,2067-07-12
New Hampshire,2067,2067-07-13
New Hampshire,2067,2067-07-18
New Hampshire,2067,2067-07-23
New Hampshire,2067,2067-07-24
New Hampshire,2067,2067-07-25
New Hampshire,2067,2067-08-04
New Hampshire,2067,2067-08-08
New Hampshire,2067,2067-08-15
New Hampshire,2067,2067-08-16
New Hampshire,2067,2067-08-17
New Hampshire,2067,2067-08-18
New Hampshire,2067,2067-08-19
New Hampshire,2068,2068-05-28
New Hampshire,2068,2068-06-13
New Hampshire,2068,2068-06-14
New Hampshire,2068,2068-06-15
New Hampshire,2068,2068-06-16
New Hampshire,2068,2068-06-20
New Hampshire,2068,2068-06-21
New Hampshire,2068,2068-06-22
New Hampshire,2068,2068-07-06
New Hampshire,2068,2068-07-07
New Hampshire,2068,2068-07-08
New Hampshire,2068,2068-07-09
New Hampshire,2068,2068-07-10
New Hampshire,2068,2068-07-11
New Hampshire,2068,2068-07-12
New Hampshire,2068,2068-07-14
New Hampshire,2068,2068-07-16
New Hampshire,2068,2068-07-18
New Hampshire,2068,2068-07-29
New Hampshire,2068,2068-07-30
New Hampshire,2068,2068-07-31
New Hampshire,2068,2068-08-01
New Hampshire,2068,2068-08-02
New Hampshire,2068,2068-08-03
New Hampshire,2068,2068-08-04
New Hampshire,2068,2068-08-05
New Hampshire,2068,2068-08-06
New Hampshire,2068,2068-08-07
New Hampshire,2068,2068-08-08
New Hampshire,2068,2068-08-09
New Hampshire,2068,2068-08-10
New Hampshire,2068,2068-08-11
New Hampshire,2068,2068-08-12
