rb,Year,cdd
p41,2020,3652.2524085530677
p41,2021,3089.487682959856
p41,2022,3837.313749935332
p41,2023,3929.663888285674
p41,2024,3614.6497621744365
p41,2025,3883.8326342963746
p41,2026,3243.5528352339707
p41,2027,2956.02041871972
p41,2028,3432.1319371837926
p41,2029,3522.320287240046
p41,2030,3185.390878960983
p41,2031,3398.377371414457
p41,2032,3116.7164560305096
p41,2033,3948.984280470805
p41,2034,3542.6374878775337
p41,2035,3503.2252790757466
p41,2036,3844.385683768587
p41,2037,3545.62994176837
p41,2038,3001.395580166111
p41,2039,2978.2431436621027
p41,2040,3200.4119460926745
p41,2041,3315.2617143185716
p41,2042,3254.4201504893717
p41,2043,3262.0971343425063
p41,2044,3073.3275647541886
p41,2045,3126.8762017094978
p41,2046,2843.8712242628076
p41,2047,3182.8992954214427
p41,2048,3669.2775116304388
p41,2049,3467.6260952835614
p41,2050,3359.863064341968
p41,2051,3297.1352230188454
p41,2052,2546.823829507642
p41,2053,3561.2270249729127
p41,2054,3484.9179026632028
p41,2055,2889.2226294809116
p41,2056,2756.086611260422
p41,2057,2822.2340374518294
p41,2058,3571.762321872974
p41,2059,3565.1400350675713
p41,2060,3072.738674947619
p41,2061,2580.8795552002434
p41,2062,3186.299538032929
p41,2063,3286.37329835142
p41,2064,2999.9946294483484
p41,2065,3328.4490661822424
p41,2066,2769.302941330072
p41,2067,2496.3223641446307
p41,2068,2937.0152219084566
p41,2069,3039.0123332994563
p41,2070,2660.9535621629993
p41,2071,2843.348973995531
p41,2072,2548.7518656933553
p41,2073,3198.1554267841166
p41,2074,2973.133218768228
p41,2075,2899.9983110393964
p41,2076,3239.8365642288845
p41,2077,2893.3966399126066
p41,2078,2466.2623039320383
p41,2079,2379.0145183904283
p41,2080,2628.0897330772386
p41,2081,2580.9267888763334
p41,2082,2672.5319061438586
p41,2083,2656.052022615869
p41,2084,2536.3286899726136
p41,2085,2590.020040630362
p41,2086,2292.6797883569284
p41,2087,2604.399688601113
p41,2088,3012.7281735945053
p41,2089,2837.1416715291266
p41,2090,2752.08210353886
p41,2091,2704.4180786242
p41,2092,2028.2933571823623
p41,2093,2957.4055833278444
p41,2094,2910.424493523483
p41,2095,2336.394618620074
p41,2096,2215.605148183054
p41,2097,2263.5175712060486
p41,2098,2902.913300293241
p41,2099,2840.0005252653445
