state,Year,hdd
California,2020,517.2883146341237
California,2021,647.4117995177018
California,2022,469.73254064879796
California,2023,540.8087302839714
California,2024,681.6359252264658
California,2025,602.1696834302322
California,2026,558.3074844979353
California,2027,623.686204248999
California,2028,681.4169074502931
California,2029,555.1279268943731
California,2030,601.2231543757475
California,2031,603.0297714238359
California,2032,683.1142229064852
California,2033,480.09305299011095
California,2034,599.263975471157
California,2035,591.3883829307329
California,2036,677.3626258520517
California,2037,620.8637363927488
California,2038,542.6817431791409
California,2039,531.0412950236894
California,2040,573.2716758244719
California,2041,631.0395400847682
California,2042,589.1504887869498
California,2043,721.5637442823372
California,2044,566.9615414563698
California,2045,525.3384332700364
California,2046,670.3146094528969
California,2047,564.7570465966442
California,2048,707.4297892678635
California,2049,637.1641625876373
California,2050,506.35134446921074
California,2051,520.9132211093597
California,2052,650.1721740361525
California,2053,580.7277519057612
California,2054,714.6679546259912
California,2055,728.4610654014364
California,2056,616.9087703564279
California,2057,755.0444175339844
California,2058,653.9774866261082
California,2059,581.2944241101028
California,2060,770.7181863614597
California,2061,912.3939897436347
California,2062,691.097657598985
California,2063,798.9478324646343
California,2064,927.0261445654073
California,2065,828.2552153010924
California,2066,781.7816434998143
California,2067,896.6484694550937
California,2068,940.6135518001606
California,2069,801.6949046791648
California,2070,842.1542484834827
California,2071,832.2853025208642
California,2072,948.9977145385708
California,2073,710.1449289185856
California,2074,811.2831990333095
California,2075,807.6239889086935
California,2076,901.8010384905796
California,2077,870.4877133176695
California,2078,730.2392741727765
California,2079,770.7287763842708
California,2080,787.6434621004944
California,2081,867.2815908261204
California,2082,782.7618767962316
California,2083,936.4043078567513
California,2084,779.3409182969197
California,2085,709.6653839772341
California,2086,870.9399467313065
California,2087,759.8198411782435
California,2088,911.0303851682351
California,2089,816.9077544550494
California,2090,658.623898286515
California,2091,683.4929140045692
California,2092,829.6371862916403
California,2093,757.6891364100964
California,2094,904.8075456854635
California,2095,906.9063295701644
California,2096,766.6574119769956
California,2097,897.5800424196268
California,2098,805.2131992477312
California,2099,711.36520741626
