rb,Year,cdd
p23,2020,5188.641510736291
p23,2021,5500.280814224164
p23,2022,5853.735969514879
p23,2023,6234.945291243655
p23,2024,6662.972399435028
p23,2025,7026.182708139229
p23,2026,7421.638004386419
p23,2027,7818.006230297595
p23,2028,8251.379166018105
p23,2029,8610.411708303393
p23,2030,9006.93422161778
p23,2031,9401.166968389434
p23,2032,9842.02323813117
p23,2033,10194.160544908342
p23,2034,10590.098088217768
p23,2035,10986.655978803283
p23,2036,11429.898448578662
p23,2037,11778.872496698548
p23,2038,12174.42828465795
p23,2039,12571.299895297234
p23,2040,13017.480606271509
p23,2041,13364.654790904075
p23,2042,13758.536800212705
p23,2043,14155.07910010397
p23,2044,14607.197692542064
p23,2045,14947.443420648835
p23,2046,15344.146442556274
p23,2047,15739.028365901624
p23,2048,16196.225209787139
p23,2049,16531.451398593348
p23,2050,16928.763199432415
p23,2051,17322.827034548376
p23,2052,17784.77430967979
p23,2053,18117.012630990648
p23,2054,18511.72292361449
p23,2055,18909.087005676796
p23,2056,19372.179177515958
p23,2057,19701.133603332913
p23,2058,20096.60729013529
p23,2059,20492.953723043855
p23,2060,20961.29039057306
p23,2061,21285.17497247547
p23,2062,21681.558789813545
p23,2063,22076.117863583124
p23,2064,22551.758962339394
p23,2065,22869.25440449206
p23,2066,23265.096507475933
p23,2067,23661.419242975375
p23,2068,24139.29285768118
p23,2069,24453.8417824474
p23,2070,24849.375777404177
p23,2071,25246.393754880984
p23,2072,25727.061235414854
p23,2073,26039.27935909983
p23,2074,26433.487695406377
p23,2075,26830.04838585286
p23,2076,27317.05799058512
p23,2077,27622.44183990699
p23,2078,28018.909706728362
p23,2079,28413.652934097372
p23,2080,28905.96433644276
p23,2081,29206.398891339602
p23,2082,29603.85705901613
p23,2083,29997.82545380653
p23,2084,30493.981087760712
p23,2085,30791.963526184354
p23,2086,31186.69220936335
p23,2087,31584.034498423054
p23,2088,32082.09040207092
p23,2089,32375.896867505027
p23,2090,32771.23185833104
p23,2091,33167.90461823755
p23,2092,33671.026114781285
p23,2093,33960.2688320592
p23,2094,34356.55720907169
p23,2095,34750.88112775522
p23,2096,35261.15337144193
p23,2097,35544.22369024095
p23,2098,35940.04400022218
p23,2099,36336.51310255913
