state,Year,Date
Rhode Island,2020,2020-12-25
Rhode Island,2020,2020-12-26
Rhode Island,2021,2021-01-03
Rhode Island,2021,2021-01-04
Rhode Island,2021,2021-01-05
Rhode Island,2021,2021-01-11
Rhode Island,2021,2021-01-12
Rhode Island,2022,2022-01-18
Rhode Island,2022,2022-01-27
Rhode Island,2028,2028-01-14
Rhode Island,2034,2034-01-16
Rhode Island,2034,2034-01-27
Rhode Island,2035,2035-02-06
Rhode Island,2036,2036-01-06
Rhode Island,2044,2044-01-14
Rhode Island,2044,2044-01-16
Rhode Island,2051,2051-01-24
Rhode Island,2054,2054-01-04
Rhode Island,2055,2055-02-06
Rhode Island,2055,2055-02-14
Rhode Island,2055,2055-02-16
Rhode Island,2055,2055-02-24
Rhode Island,2056,2056-02-14
Rhode Island,2058,2058-01-07
Rhode Island,2061,2061-01-05
