rb,Year,hdd
p107,2020,845.3916967929026
p107,2021,690.3949286894476
p107,2022,717.6295062036529
p107,2023,854.4305312797819
p107,2024,710.4668484990185
p107,2025,690.4599557162471
p107,2026,842.6492902811978
p107,2027,952.2558252524087
p107,2028,923.9475637534265
p107,2029,743.8326129758188
p107,2030,750.0319045534452
p107,2031,989.966464564229
p107,2032,633.7627276760934
p107,2033,788.5492075798124
p107,2034,744.5799231583277
p107,2035,866.6135979040841
p107,2036,714.3867528172535
p107,2037,639.9143640461627
p107,2038,926.8622846479586
p107,2039,870.5260743375482
p107,2040,782.7353946784866
p107,2041,848.0876102653564
p107,2042,939.5933392732885
p107,2043,669.9252234690124
p107,2044,709.5380213246601
p107,2045,934.1112362410418
p107,2046,784.4571355371756
p107,2047,1009.9937895875053
p107,2048,771.4641276220603
p107,2049,674.4649972407736
p107,2050,1018.0076513637877
p107,2051,907.2496330166553
p107,2052,972.2741725241435
p107,2053,764.29264355457
p107,2054,721.5944395187587
p107,2055,799.398415571522
p107,2056,931.6466113221022
p107,2057,813.0824394568526
p107,2058,1060.6972413534422
p107,2059,906.135108293953
p107,2060,1081.96345560974
p107,2061,925.916989321368
p107,2062,967.3734198360404
p107,2063,1043.0801223734165
p107,2064,918.5618067267916
p107,2065,919.2155980653989
p107,2066,1095.9198253322909
p107,2067,1190.2116237836303
p107,2068,1169.1540739130232
p107,2069,908.1144378090261
p107,2070,935.1634355832646
p107,2071,1199.7595429320438
p107,2072,823.1560759108916
p107,2073,952.2017398217856
p107,2074,918.6232211768054
p107,2075,1041.5891155131815
p107,2076,892.6559637062937
p107,2077,774.5698444825515
p107,2078,1116.5678549719369
p107,2079,1069.933662631187
p107,2080,1021.8698013078763
p107,2081,1072.9025481551546
p107,2082,1115.249757123056
p107,2083,832.1941934601294
p107,2084,894.8308909255467
p107,2085,1088.0258187899487
p107,2086,933.4463281940584
p107,2087,1177.7517204245344
p107,2088,935.2850383523145
p107,2089,805.0978695711838
p107,2090,1155.8281058544412
p107,2091,1038.646426298692
p107,2092,1110.1285595622185
p107,2093,885.0162142634018
p107,2094,825.2449895813776
p107,2095,922.548133881321
p107,2096,1053.6232635407127
p107,2097,944.3429088932952
p107,2098,1201.5495974454698
p107,2099,1042.0468713318849
