rb,Year,hdd
p108,2020,1191.0801116455596
p108,2021,999.9267698723944
p108,2022,1057.5005709497354
p108,2023,1040.878195431535
p108,2024,1004.3803832035887
p108,2025,1045.256368616071
p108,2026,1188.316730673922
p108,2027,1257.6660640114908
p108,2028,1195.6612029899925
p108,2029,998.7931172409936
p108,2030,1122.9878011398014
p108,2031,1274.8991616193719
p108,2032,935.9090643783866
p108,2033,1136.9810745217073
p108,2034,987.1619010316967
p108,2035,1207.0778356022454
p108,2036,1116.7142345393725
p108,2037,948.6933310689003
p108,2038,1374.3245423541246
p108,2039,1263.8798450048544
p108,2040,1291.2134331181496
p108,2041,1284.5460004784434
p108,2042,1369.6728754017345
p108,2043,1098.725719432944
p108,2044,1224.208915040686
p108,2045,1339.023090560982
p108,2046,1308.233219734544
p108,2047,1575.6547081204783
p108,2048,1282.1333124136231
p108,2049,1118.7781953938813
p108,2050,1595.397375215981
p108,2051,1466.8947428490994
p108,2052,1540.9928277005147
p108,2053,1216.643250245671
p108,2054,1239.8993480246636
p108,2055,1296.0425694257262
p108,2056,1551.0074915198825
p108,2057,1327.2020344026034
p108,2058,1637.2875827571975
p108,2059,1444.676260320059
p108,2060,1838.5302152323106
p108,2061,1631.36947455038
p108,2062,1848.0029922958272
p108,2063,1640.382112002938
p108,2064,1574.858944472296
p108,2065,1770.379081824928
p108,2066,1950.4176655114993
p108,2067,1941.4145863140661
p108,2068,1823.4912949099848
p108,2069,1570.3300322646696
p108,2070,1835.8111065778771
p108,2071,1892.7252735210504
p108,2072,1594.7202877150698
p108,2073,1860.7035822835196
p108,2074,1620.9388947589805
p108,2075,1942.7377522769475
p108,2076,1768.773344525981
p108,2077,1526.1486054359375
p108,2078,2181.6129435471275
p108,2079,2097.8407205017625
p108,2080,2116.1580214749383
p108,2081,2061.8704305347032
p108,2082,1999.9873700433186
p108,2083,1811.7262471392655
p108,2084,1964.361488720692
p108,2085,2085.42001354837
p108,2086,2024.5902222509853
p108,2087,2376.087779509595
p108,2088,2068.3769609162464
p108,2089,1805.8976449939332
p108,2090,2454.0658780102053
p108,2091,2174.046090012979
p108,2092,2316.740889703967
p108,2093,1945.1578032926343
p108,2094,2003.8361105261542
p108,2095,2064.3426557573666
p108,2096,2361.6884506521956
p108,2097,2235.272246120488
p108,2098,2350.86376959735
p108,2099,2214.0673164372065
