rb,Year,cdd
p91,2020,735.3596932359562
p91,2021,773.1926878978315
p91,2022,567.2323859797959
p91,2023,826.7022052335459
p91,2024,648.6495736745829
p91,2025,709.3057322801411
p91,2026,552.4257243364586
p91,2027,631.0789879094154
p91,2028,687.5873973958747
p91,2029,626.8177882429885
p91,2030,370.71408446012435
p91,2031,550.6841733553216
p91,2032,599.0631730127946
p91,2033,655.760332383858
p91,2034,584.9747222812032
p91,2035,661.3970469055171
p91,2036,766.1780727949678
p91,2037,587.4836346357044
p91,2038,530.7887602866189
p91,2039,506.916385726319
p91,2040,646.4160173489092
p91,2041,559.526755379355
p91,2042,667.0953549368242
p91,2043,672.4182291193055
p91,2044,633.9345728724455
p91,2045,551.9219707772979
p91,2046,469.69196081693707
p91,2047,501.5235219129569
p91,2048,603.3149847463944
p91,2049,596.6586459544862
p91,2050,889.9446083982255
p91,2051,532.8683297276546
p91,2052,357.35132807043686
p91,2053,514.2239854607499
p91,2054,725.0954079611632
p91,2055,493.4221164278093
p91,2056,462.2477703451576
p91,2057,341.274668999549
p91,2058,526.3008617381286
p91,2059,431.1767808784957
p91,2060,493.26587749327894
p91,2061,510.7342260249995
p91,2062,365.3150706781614
p91,2063,566.4570318824068
p91,2064,443.52070130026857
p91,2065,534.869160706445
p91,2066,381.84541735886523
p91,2067,418.099656222894
p91,2068,494.8429841167606
p91,2069,430.45382168422645
p91,2070,222.6083317141452
p91,2071,349.34623461511825
p91,2072,370.40811204745216
p91,2073,414.6557211798204
p91,2074,395.4538562910402
p91,2075,428.8637241521813
p91,2076,494.23734716273947
p91,2077,359.99844778660463
p91,2078,326.71058609663885
p91,2079,267.8464608589604
p91,2080,406.4155613383103
p91,2081,342.95820995843286
p91,2082,398.7059075162374
p91,2083,429.6690120991882
p91,2084,393.3295520920654
p91,2085,321.87084457964465
p91,2086,262.67175858609824
p91,2087,284.9466381593282
p91,2088,338.77379728805033
p91,2089,364.9990243266942
p91,2090,598.159126542386
p91,2091,316.267205102845
p91,2092,188.30505045834963
p91,2093,292.41809827679606
p91,2094,451.69034277500145
p91,2095,310.25774889004316
p91,2096,283.89241423769124
p91,2097,192.4319215597866
p91,2098,315.3370653332775
p91,2099,243.4633053882294
