state,Year,Date
New York,2020,2020-03-01
New York,2020,2020-12-25
New York,2021,2021-01-04
New York,2021,2021-01-05
New York,2021,2021-01-11
New York,2021,2021-01-12
New York,2021,2021-01-13
New York,2022,2022-01-11
New York,2022,2022-01-17
New York,2022,2022-01-18
New York,2022,2022-01-22
New York,2022,2022-01-26
New York,2022,2022-01-27
New York,2024,2024-01-21
New York,2024,2024-01-22
New York,2025,2025-01-21
New York,2026,2026-03-08
New York,2027,2027-01-25
New York,2027,2027-01-27
New York,2027,2027-02-16
New York,2028,2028-01-14
New York,2034,2034-01-16
New York,2034,2034-01-19
New York,2034,2034-01-20
New York,2034,2034-01-21
New York,2034,2034-01-27
New York,2034,2034-02-10
New York,2034,2034-02-27
New York,2035,2035-02-06
New York,2035,2035-02-07
New York,2036,2036-01-06
New York,2036,2036-02-05
New York,2043,2043-01-28
New York,2043,2043-03-03
New York,2044,2044-01-10
New York,2044,2044-01-16
New York,2045,2045-01-24
New York,2045,2045-01-28
New York,2047,2047-03-06
New York,2049,2049-01-17
New York,2051,2051-01-24
New York,2054,2054-01-04
New York,2055,2055-02-13
New York,2055,2055-02-16
New York,2055,2055-02-20
New York,2055,2055-02-21
New York,2055,2055-02-24
New York,2056,2056-02-14
New York,2058,2058-01-07
New York,2059,2059-01-21
New York,2060,2060-12-25
New York,2061,2061-01-12
New York,2062,2062-01-18
New York,2074,2074-01-19
New York,2094,2094-01-04
New York,2095,2095-02-16
New York,2096,2096-02-14
New York,2098,2098-01-07
