rb,Year,Date
p101,2020,2020-06-04
p101,2020,2020-06-05
p101,2020,2020-06-17
p101,2020,2020-07-01
p101,2020,2020-07-06
p101,2020,2020-07-07
p101,2020,2020-07-10
p101,2020,2020-07-11
p101,2020,2020-07-12
p101,2020,2020-07-13
p101,2020,2020-07-14
p101,2020,2020-07-15
p101,2020,2020-07-16
p101,2020,2020-07-31
p101,2020,2020-08-01
p101,2020,2020-08-02
p101,2020,2020-08-03
p101,2020,2020-08-04
p101,2020,2020-08-06
p101,2020,2020-08-07
p101,2020,2020-08-17
p101,2020,2020-08-22
p101,2020,2020-09-26
p101,2021,2021-06-11
p101,2021,2021-06-12
p101,2021,2021-06-13
p101,2021,2021-06-14
p101,2021,2021-06-15
p101,2021,2021-06-16
p101,2021,2021-06-17
p101,2021,2021-06-18
p101,2021,2021-06-19
p101,2021,2021-06-20
p101,2021,2021-06-21
p101,2021,2021-06-22
p101,2021,2021-06-23
p101,2021,2021-07-06
p101,2021,2021-07-07
p101,2021,2021-07-08
p101,2021,2021-07-11
p101,2021,2021-07-12
p101,2021,2021-07-13
p101,2021,2021-07-14
p101,2021,2021-07-15
p101,2021,2021-07-18
p101,2021,2021-07-27
p101,2021,2021-07-28
p101,2021,2021-07-29
p101,2021,2021-08-01
p101,2021,2021-08-07
p101,2021,2021-08-08
p101,2021,2021-08-09
p101,2021,2021-08-10
p101,2022,2022-07-31
p101,2023,2023-07-15
p101,2023,2023-07-16
p101,2023,2023-07-17
p101,2023,2023-07-18
p101,2023,2023-07-19
p101,2023,2023-07-20
p101,2023,2023-07-24
p101,2023,2023-07-25
p101,2023,2023-08-20
p101,2023,2023-08-21
p101,2023,2023-08-22
p101,2023,2023-08-24
p101,2023,2023-08-26
p101,2023,2023-09-07
p101,2024,2024-06-20
p101,2024,2024-08-08
p101,2024,2024-08-09
p101,2024,2024-08-10
p101,2024,2024-08-11
p101,2024,2024-08-14
p101,2024,2024-08-15
p101,2024,2024-08-16
p101,2024,2024-08-17
p101,2024,2024-09-12
p101,2025,2025-05-15
p101,2025,2025-06-02
p101,2025,2025-06-03
p101,2025,2025-06-04
p101,2025,2025-06-05
p101,2025,2025-06-06
p101,2025,2025-06-07
p101,2025,2025-06-08
p101,2025,2025-06-09
p101,2025,2025-06-10
p101,2025,2025-07-08
p101,2025,2025-07-09
p101,2026,2026-05-31
p101,2026,2026-07-13
p101,2026,2026-07-15
p101,2026,2026-07-16
p101,2026,2026-07-17
p101,2026,2026-07-18
p101,2026,2026-07-19
p101,2026,2026-07-20
p101,2026,2026-07-21
p101,2026,2026-07-30
p101,2026,2026-07-31
p101,2026,2026-08-01
p101,2026,2026-08-02
p101,2026,2026-08-07
p101,2026,2026-08-08
p101,2026,2026-08-09
p101,2027,2027-06-15
p101,2027,2027-06-17
p101,2027,2027-06-18
p101,2027,2027-06-19
p101,2027,2027-06-21
p101,2027,2027-06-22
p101,2027,2027-06-24
p101,2027,2027-06-26
p101,2027,2027-07-08
p101,2027,2027-07-11
p101,2027,2027-07-14
p101,2027,2027-07-23
p101,2027,2027-07-24
p101,2027,2027-07-26
p101,2027,2027-07-27
p101,2027,2027-07-28
p101,2027,2027-07-29
p101,2027,2027-08-02
p101,2027,2027-08-03
p101,2027,2027-08-04
p101,2027,2027-08-05
p101,2027,2027-08-06
p101,2027,2027-08-07
p101,2027,2027-08-08
p101,2027,2027-08-09
p101,2027,2027-08-10
p101,2027,2027-08-11
p101,2027,2027-08-18
p101,2027,2027-08-19
p101,2027,2027-08-20
p101,2027,2027-08-21
p101,2027,2027-08-23
p101,2027,2027-08-28
p101,2027,2027-08-29
p101,2027,2027-08-30
p101,2028,2028-05-22
p101,2028,2028-06-03
p101,2028,2028-06-23
p101,2028,2028-06-24
p101,2028,2028-06-25
p101,2028,2028-06-30
p101,2028,2028-07-31
p101,2028,2028-08-01
p101,2028,2028-08-02
p101,2028,2028-08-03
p101,2028,2028-08-06
p101,2028,2028-08-07
p101,2028,2028-08-08
p101,2028,2028-08-09
p101,2028,2028-08-10
p101,2028,2028-08-19
p101,2028,2028-08-24
p101,2028,2028-09-04
p101,2029,2029-05-26
p101,2029,2029-05-27
p101,2029,2029-05-28
p101,2029,2029-06-02
p101,2029,2029-06-03
p101,2029,2029-06-04
p101,2029,2029-06-05
p101,2029,2029-06-09
p101,2029,2029-06-10
p101,2029,2029-06-11
p101,2029,2029-06-12
p101,2029,2029-06-13
p101,2029,2029-06-14
p101,2029,2029-06-15
p101,2029,2029-06-16
p101,2029,2029-06-18
p101,2029,2029-07-09
p101,2029,2029-07-10
p101,2029,2029-07-11
p101,2029,2029-07-12
p101,2029,2029-07-13
p101,2029,2029-07-15
p101,2029,2029-07-16
p101,2029,2029-07-28
p101,2029,2029-07-29
p101,2029,2029-08-03
p101,2029,2029-08-04
p101,2029,2029-08-05
p101,2029,2029-08-06
p101,2029,2029-08-07
p101,2029,2029-08-08
p101,2029,2029-08-17
p101,2029,2029-08-18
p101,2029,2029-08-23
p101,2029,2029-08-24
p101,2029,2029-08-25
p101,2029,2029-08-30
p101,2029,2029-08-31
p101,2029,2029-09-15
p101,2030,2030-05-02
p101,2030,2030-06-19
p101,2030,2030-06-20
p101,2030,2030-06-21
p101,2030,2030-06-30
p101,2030,2030-07-01
p101,2030,2030-07-23
p101,2030,2030-07-24
p101,2030,2030-08-01
p101,2030,2030-08-21
p101,2030,2030-08-22
p101,2030,2030-08-29
p101,2030,2030-09-08
p101,2030,2030-09-09
p101,2030,2030-09-21
p101,2031,2031-06-21
p101,2031,2031-06-22
p101,2031,2031-06-23
p101,2031,2031-06-24
p101,2031,2031-06-28
p101,2031,2031-07-07
p101,2031,2031-07-08
p101,2031,2031-07-23
p101,2031,2031-07-24
p101,2031,2031-08-06
p101,2031,2031-08-07
p101,2031,2031-08-08
p101,2031,2031-08-09
p101,2031,2031-08-10
p101,2031,2031-08-11
p101,2031,2031-08-13
p101,2032,2032-07-02
p101,2032,2032-07-03
p101,2032,2032-07-04
p101,2032,2032-07-05
p101,2032,2032-07-07
p101,2032,2032-07-08
p101,2032,2032-07-09
p101,2032,2032-07-10
p101,2032,2032-07-25
p101,2032,2032-07-26
p101,2032,2032-07-27
p101,2032,2032-07-28
p101,2032,2032-07-29
p101,2032,2032-07-30
p101,2032,2032-07-31
p101,2032,2032-08-01
p101,2032,2032-08-02
p101,2032,2032-08-03
p101,2032,2032-08-05
p101,2033,2033-06-06
p101,2033,2033-06-07
p101,2033,2033-06-08
p101,2033,2033-06-09
p101,2033,2033-06-10
p101,2033,2033-06-11
p101,2033,2033-07-05
p101,2033,2033-07-06
p101,2033,2033-07-11
p101,2033,2033-07-12
p101,2033,2033-07-16
p101,2033,2033-07-17
p101,2033,2033-07-24
p101,2033,2033-07-25
p101,2033,2033-07-29
p101,2033,2033-07-30
p101,2033,2033-07-31
p101,2033,2033-08-01
p101,2033,2033-08-02
p101,2033,2033-08-03
p101,2033,2033-08-04
p101,2033,2033-08-05
p101,2033,2033-08-06
p101,2033,2033-08-07
p101,2033,2033-08-08
p101,2033,2033-08-18
p101,2033,2033-08-19
p101,2033,2033-08-20
p101,2033,2033-08-21
p101,2033,2033-08-22
p101,2034,2034-06-13
p101,2034,2034-06-14
p101,2034,2034-06-24
p101,2034,2034-06-26
p101,2034,2034-07-17
p101,2034,2034-07-19
p101,2034,2034-07-20
p101,2035,2035-05-14
p101,2035,2035-05-15
p101,2035,2035-05-18
p101,2035,2035-05-19
p101,2035,2035-06-09
p101,2035,2035-06-10
p101,2035,2035-07-04
p101,2035,2035-07-05
p101,2035,2035-07-06
p101,2035,2035-07-07
p101,2035,2035-07-08
p101,2035,2035-07-09
p101,2035,2035-07-15
p101,2035,2035-07-24
p101,2035,2035-08-07
p101,2035,2035-08-13
p101,2035,2035-08-14
p101,2035,2035-08-15
p101,2035,2035-08-16
p101,2035,2035-08-17
p101,2036,2036-06-24
p101,2036,2036-06-25
p101,2036,2036-07-20
p101,2036,2036-07-21
p101,2036,2036-07-22
p101,2036,2036-07-24
p101,2036,2036-07-25
p101,2036,2036-07-26
p101,2036,2036-07-27
p101,2036,2036-07-28
p101,2036,2036-07-29
p101,2036,2036-07-30
p101,2037,2037-07-03
p101,2037,2037-07-04
p101,2037,2037-08-14
p101,2037,2037-08-15
p101,2037,2037-08-19
p101,2037,2037-08-20
p101,2037,2037-08-29
p101,2037,2037-08-30
p101,2038,2038-05-21
p101,2038,2038-05-23
p101,2038,2038-05-24
p101,2038,2038-05-25
p101,2038,2038-05-26
p101,2038,2038-06-02
p101,2038,2038-06-03
p101,2038,2038-06-04
p101,2038,2038-06-05
p101,2038,2038-06-06
p101,2038,2038-06-09
p101,2038,2038-06-10
p101,2038,2038-06-11
p101,2038,2038-06-12
p101,2038,2038-06-13
p101,2038,2038-06-14
p101,2038,2038-06-15
p101,2038,2038-06-16
p101,2038,2038-06-17
p101,2038,2038-06-18
p101,2038,2038-06-19
p101,2038,2038-06-20
p101,2038,2038-06-21
p101,2038,2038-06-22
p101,2038,2038-06-23
p101,2038,2038-06-24
p101,2038,2038-06-25
p101,2038,2038-06-26
p101,2038,2038-06-27
p101,2038,2038-06-28
p101,2038,2038-06-29
p101,2038,2038-06-30
p101,2038,2038-07-01
p101,2038,2038-07-02
p101,2038,2038-07-03
p101,2038,2038-07-04
p101,2038,2038-07-05
p101,2038,2038-07-06
p101,2038,2038-07-09
p101,2038,2038-07-23
p101,2038,2038-07-24
p101,2038,2038-07-25
p101,2038,2038-07-26
p101,2038,2038-07-27
p101,2038,2038-07-30
p101,2038,2038-07-31
p101,2038,2038-08-11
p101,2038,2038-08-12
p101,2038,2038-08-15
p101,2038,2038-08-16
p101,2038,2038-08-26
p101,2038,2038-08-27
p101,2038,2038-08-28
p101,2038,2038-08-29
p101,2038,2038-08-30
p101,2038,2038-08-31
p101,2038,2038-09-01
p101,2039,2039-06-04
p101,2039,2039-07-20
p101,2039,2039-07-21
p101,2039,2039-07-25
p101,2039,2039-07-27
p101,2039,2039-07-28
p101,2039,2039-07-29
p101,2039,2039-07-31
p101,2039,2039-08-01
p101,2039,2039-08-02
p101,2039,2039-08-08
p101,2039,2039-08-12
p101,2039,2039-08-13
p101,2039,2039-08-14
p101,2039,2039-08-27
p101,2039,2039-08-28
p101,2039,2039-09-03
p101,2039,2039-09-04
p101,2039,2039-09-05
p101,2040,2040-05-25
p101,2040,2040-05-26
p101,2040,2040-05-27
p101,2040,2040-05-28
p101,2040,2040-06-02
p101,2040,2040-06-03
p101,2040,2040-06-04
p101,2040,2040-06-05
p101,2040,2040-06-14
p101,2040,2040-06-15
p101,2040,2040-06-16
p101,2040,2040-06-18
p101,2040,2040-06-19
p101,2040,2040-06-20
p101,2040,2040-07-05
p101,2040,2040-07-11
p101,2040,2040-07-12
p101,2040,2040-07-13
p101,2040,2040-07-16
p101,2040,2040-07-17
p101,2040,2040-07-18
p101,2040,2040-07-19
p101,2040,2040-07-20
p101,2040,2040-07-21
p101,2040,2040-08-07
p101,2040,2040-08-08
p101,2040,2040-08-15
p101,2040,2040-08-18
p101,2040,2040-08-19
p101,2040,2040-08-20
p101,2040,2040-08-28
p101,2040,2040-08-29
p101,2041,2041-06-11
p101,2041,2041-06-12
p101,2041,2041-06-15
p101,2041,2041-06-16
p101,2041,2041-06-19
p101,2041,2041-07-03
p101,2041,2041-07-04
p101,2041,2041-07-05
p101,2041,2041-07-07
p101,2041,2041-07-08
p101,2041,2041-08-13
p101,2041,2041-08-18
p101,2041,2041-08-19
p101,2041,2041-08-20
p101,2041,2041-08-26
p101,2041,2041-08-27
p101,2041,2041-08-28
p101,2041,2041-08-31
p101,2042,2042-05-03
p101,2042,2042-05-04
p101,2042,2042-06-02
p101,2042,2042-06-03
p101,2042,2042-06-04
p101,2042,2042-07-16
p101,2042,2042-07-17
p101,2042,2042-07-30
p101,2042,2042-08-24
p101,2042,2042-08-25
p101,2043,2043-05-17
p101,2043,2043-07-10
p101,2043,2043-07-11
p101,2044,2044-05-26
p101,2044,2044-05-30
p101,2044,2044-05-31
p101,2044,2044-06-01
p101,2044,2044-06-02
p101,2044,2044-06-03
p101,2044,2044-06-12
p101,2044,2044-06-13
p101,2044,2044-06-18
p101,2044,2044-06-19
p101,2044,2044-06-20
p101,2044,2044-06-21
p101,2044,2044-06-22
p101,2044,2044-06-23
p101,2044,2044-06-24
p101,2044,2044-06-25
p101,2044,2044-06-26
p101,2044,2044-06-27
p101,2044,2044-06-28
p101,2044,2044-06-29
p101,2044,2044-07-05
p101,2044,2044-07-06
p101,2044,2044-07-07
p101,2044,2044-07-08
p101,2044,2044-07-09
p101,2044,2044-07-10
p101,2044,2044-07-11
p101,2044,2044-07-12
p101,2044,2044-07-13
p101,2044,2044-07-14
p101,2045,2045-07-06
p101,2045,2045-07-07
p101,2045,2045-07-23
p101,2045,2045-07-27
p101,2045,2045-07-29
p101,2045,2045-08-05
p101,2045,2045-08-15
p101,2045,2045-08-16
p101,2045,2045-08-17
p101,2045,2045-08-18
p101,2045,2045-08-19
p101,2045,2045-08-20
p101,2045,2045-08-21
p101,2045,2045-08-22
p101,2045,2045-08-27
p101,2045,2045-08-30
p101,2046,2046-05-28
p101,2046,2046-06-09
p101,2046,2046-06-10
p101,2046,2046-07-15
p101,2046,2046-07-25
p101,2046,2046-07-26
p101,2046,2046-07-31
p101,2046,2046-08-01
p101,2046,2046-08-02
p101,2046,2046-08-03
p101,2046,2046-08-04
p101,2046,2046-08-05
p101,2046,2046-08-06
p101,2046,2046-08-07
p101,2046,2046-08-08
p101,2046,2046-08-09
p101,2046,2046-08-10
p101,2046,2046-08-11
p101,2046,2046-08-12
p101,2046,2046-08-23
p101,2046,2046-08-28
p101,2046,2046-08-29
p101,2047,2047-07-10
p101,2047,2047-07-11
p101,2047,2047-07-20
p101,2047,2047-07-26
p101,2047,2047-08-05
p101,2047,2047-08-07
p101,2047,2047-08-08
p101,2047,2047-08-10
p101,2047,2047-08-11
p101,2047,2047-08-14
p101,2047,2047-08-19
p101,2047,2047-08-20
p101,2047,2047-08-21
p101,2047,2047-08-22
p101,2047,2047-08-29
p101,2047,2047-09-13
p101,2048,2048-06-01
p101,2048,2048-06-04
p101,2048,2048-06-05
p101,2048,2048-06-08
p101,2048,2048-06-25
p101,2048,2048-07-10
p101,2048,2048-07-11
p101,2048,2048-07-19
p101,2048,2048-07-20
p101,2048,2048-07-21
p101,2048,2048-08-05
p101,2048,2048-08-06
p101,2048,2048-08-07
p101,2049,2049-06-20
p101,2049,2049-06-21
p101,2049,2049-06-22
p101,2049,2049-07-15
p101,2049,2049-07-16
p101,2049,2049-08-02
p101,2049,2049-08-08
p101,2049,2049-08-09
p101,2049,2049-08-10
p101,2049,2049-08-11
p101,2049,2049-08-12
p101,2049,2049-10-08
p101,2050,2050-06-06
p101,2050,2050-06-11
p101,2050,2050-06-12
p101,2050,2050-06-13
p101,2050,2050-06-14
p101,2050,2050-06-15
p101,2050,2050-06-16
p101,2050,2050-06-17
p101,2050,2050-06-18
p101,2050,2050-06-19
p101,2050,2050-06-20
p101,2050,2050-06-21
p101,2050,2050-06-22
p101,2050,2050-06-23
p101,2050,2050-06-24
p101,2050,2050-06-25
p101,2050,2050-06-26
p101,2050,2050-06-27
p101,2050,2050-06-29
p101,2050,2050-07-09
p101,2050,2050-07-13
p101,2050,2050-07-17
p101,2050,2050-07-18
p101,2050,2050-07-20
p101,2050,2050-07-21
p101,2050,2050-07-22
p101,2050,2050-07-25
p101,2050,2050-07-26
p101,2050,2050-07-27
p101,2050,2050-07-28
p101,2050,2050-07-29
p101,2050,2050-07-30
p101,2050,2050-07-31
p101,2050,2050-08-01
p101,2050,2050-08-02
p101,2050,2050-08-03
p101,2050,2050-08-05
p101,2050,2050-08-06
p101,2050,2050-08-12
p101,2050,2050-08-13
p101,2050,2050-08-14
p101,2050,2050-08-16
p101,2050,2050-08-17
p101,2050,2050-08-18
p101,2050,2050-08-19
p101,2050,2050-08-20
p101,2050,2050-09-12
p101,2051,2051-05-22
p101,2051,2051-06-06
p101,2051,2051-06-12
p101,2051,2051-06-13
p101,2051,2051-06-14
p101,2051,2051-06-15
p101,2051,2051-06-16
p101,2051,2051-06-17
p101,2051,2051-06-18
p101,2051,2051-06-19
p101,2051,2051-06-20
p101,2051,2051-06-21
p101,2051,2051-06-22
p101,2051,2051-06-23
p101,2051,2051-06-24
p101,2051,2051-07-05
p101,2051,2051-07-06
p101,2051,2051-07-12
p101,2051,2051-07-13
p101,2051,2051-07-14
p101,2051,2051-07-16
p101,2051,2051-07-20
p101,2051,2051-07-21
p101,2051,2051-07-22
p101,2051,2051-07-23
p101,2051,2051-07-24
p101,2051,2051-07-25
p101,2051,2051-07-26
p101,2051,2051-07-27
p101,2051,2051-07-28
p101,2051,2051-07-29
p101,2051,2051-07-30
p101,2051,2051-07-31
p101,2051,2051-08-01
p101,2051,2051-08-02
p101,2051,2051-08-03
p101,2051,2051-08-04
p101,2051,2051-08-05
p101,2051,2051-08-06
p101,2051,2051-08-08
p101,2051,2051-08-09
p101,2051,2051-08-11
p101,2051,2051-08-12
p101,2051,2051-08-13
p101,2051,2051-08-14
p101,2051,2051-08-15
p101,2051,2051-08-16
p101,2051,2051-08-17
p101,2051,2051-08-21
p101,2051,2051-08-22
p101,2051,2051-08-26
p101,2051,2051-08-27
p101,2051,2051-08-28
p101,2051,2051-08-29
p101,2051,2051-09-15
p101,2052,2052-07-07
p101,2052,2052-07-08
p101,2052,2052-07-09
p101,2052,2052-07-10
p101,2052,2052-07-27
p101,2052,2052-07-30
p101,2053,2053-08-11
p101,2053,2053-08-12
p101,2053,2053-08-13
p101,2053,2053-08-14
p101,2054,2054-06-27
p101,2054,2054-06-28
p101,2054,2054-06-29
p101,2054,2054-07-09
p101,2054,2054-07-14
p101,2054,2054-07-15
p101,2054,2054-07-19
p101,2054,2054-07-23
p101,2054,2054-07-24
p101,2054,2054-07-26
p101,2054,2054-07-27
p101,2054,2054-07-28
p101,2054,2054-07-31
p101,2054,2054-08-01
p101,2054,2054-08-02
p101,2054,2054-08-06
p101,2054,2054-08-07
p101,2054,2054-08-08
p101,2054,2054-08-09
p101,2054,2054-08-10
p101,2054,2054-08-11
p101,2054,2054-08-12
p101,2054,2054-08-13
p101,2054,2054-08-17
p101,2054,2054-08-18
p101,2054,2054-08-19
p101,2054,2054-08-20
p101,2054,2054-08-21
p101,2054,2054-08-22
p101,2054,2054-08-23
p101,2054,2054-08-24
p101,2054,2054-08-26
p101,2054,2054-08-27
p101,2054,2054-08-28
p101,2054,2054-08-29
p101,2054,2054-08-30
p101,2054,2054-08-31
p101,2054,2054-09-01
p101,2055,2055-06-12
p101,2055,2055-06-13
p101,2055,2055-06-14
p101,2055,2055-06-15
p101,2055,2055-06-16
p101,2055,2055-06-17
p101,2055,2055-06-18
p101,2055,2055-06-19
p101,2055,2055-06-20
p101,2055,2055-06-21
p101,2055,2055-06-22
p101,2055,2055-06-23
p101,2055,2055-06-24
p101,2055,2055-06-25
p101,2055,2055-07-01
p101,2055,2055-07-02
p101,2055,2055-07-03
p101,2055,2055-07-04
p101,2055,2055-07-05
p101,2055,2055-07-06
p101,2055,2055-07-07
p101,2055,2055-07-08
p101,2055,2055-07-09
p101,2055,2055-07-10
p101,2055,2055-07-11
p101,2055,2055-07-12
p101,2055,2055-07-13
p101,2055,2055-07-19
p101,2055,2055-07-20
p101,2055,2055-07-21
p101,2055,2055-07-23
p101,2055,2055-08-22
p101,2055,2055-08-23
p101,2055,2055-08-24
p101,2055,2055-08-25
p101,2056,2056-06-01
p101,2056,2056-06-03
p101,2056,2056-06-05
p101,2056,2056-06-23
p101,2056,2056-06-24
p101,2056,2056-06-25
p101,2056,2056-06-28
p101,2056,2056-06-30
p101,2056,2056-07-01
p101,2056,2056-07-02
p101,2056,2056-07-03
p101,2056,2056-07-04
p101,2056,2056-07-05
p101,2056,2056-07-06
p101,2056,2056-07-07
p101,2056,2056-07-08
p101,2056,2056-07-09
p101,2056,2056-07-10
p101,2056,2056-07-11
p101,2056,2056-07-12
p101,2056,2056-07-13
p101,2056,2056-07-14
p101,2056,2056-07-15
p101,2056,2056-07-19
p101,2056,2056-07-23
p101,2056,2056-07-25
p101,2056,2056-07-26
p101,2056,2056-07-27
p101,2056,2056-07-28
p101,2056,2056-07-29
p101,2056,2056-07-30
p101,2056,2056-07-31
p101,2056,2056-08-01
p101,2056,2056-08-02
p101,2056,2056-08-03
p101,2056,2056-08-10
p101,2056,2056-08-11
p101,2056,2056-08-12
p101,2056,2056-08-13
p101,2056,2056-08-20
p101,2056,2056-08-21
p101,2056,2056-08-22
p101,2056,2056-08-23
p101,2056,2056-08-28
p101,2057,2057-05-29
p101,2057,2057-05-30
p101,2057,2057-06-01
p101,2057,2057-07-02
p101,2057,2057-07-07
p101,2057,2057-07-22
p101,2057,2057-07-24
p101,2057,2057-07-25
p101,2057,2057-07-26
p101,2057,2057-07-27
p101,2057,2057-07-28
p101,2057,2057-08-07
p101,2057,2057-08-08
p101,2057,2057-08-09
p101,2057,2057-08-14
p101,2057,2057-08-15
p101,2057,2057-08-16
p101,2057,2057-08-17
p101,2057,2057-08-18
p101,2057,2057-08-19
p101,2057,2057-08-31
p101,2057,2057-09-01
p101,2058,2058-06-20
p101,2058,2058-06-21
p101,2058,2058-06-24
p101,2058,2058-07-11
p101,2058,2058-07-12
p101,2058,2058-07-13
p101,2058,2058-07-17
p101,2058,2058-07-18
p101,2058,2058-07-22
p101,2058,2058-08-09
p101,2058,2058-08-17
p101,2058,2058-08-18
p101,2058,2058-08-19
p101,2058,2058-08-21
p101,2058,2058-08-22
p101,2058,2058-08-23
p101,2058,2058-09-14
p101,2058,2058-09-20
p101,2059,2059-05-26
