rb,Year,hdd
p130,2020,338.0386715235894
p130,2021,291.87838981872085
p130,2022,218.41342952145033
p130,2023,417.06574920877574
p130,2024,341.5854779083367
p130,2025,264.683413166188
p130,2026,239.35514076087492
p130,2027,319.18603526289945
p130,2028,442.4602335196459
p130,2029,335.6607854082362
p130,2030,356.24924917387494
p130,2031,398.5342031610126
p130,2032,257.0915333266639
p130,2033,386.7628147548453
p130,2034,380.5194459249697
p130,2035,365.7811486867376
p130,2036,318.4545726797805
p130,2037,336.7657997452474
p130,2038,359.98722026329
p130,2039,475.6563744165848
p130,2040,248.2794900088333
p130,2041,393.10745982187836
p130,2042,416.0325238075269
p130,2043,357.93756737714625
p130,2044,288.9718040360582
p130,2045,472.426333882644
p130,2046,406.2376724808271
p130,2047,385.5982417081968
p130,2048,362.9676695222102
p130,2049,291.9610731505272
p130,2050,490.40132793159404
p130,2051,481.87532321796937
p130,2052,486.83477776076563
p130,2053,452.09414478743895
p130,2054,402.32475793952324
p130,2055,476.03402533358764
p130,2056,528.0354882074347
p130,2057,461.1379819451939
p130,2058,570.7447145674478
p130,2059,453.29318768951083
p130,2060,677.7031921288753
p130,2061,627.5931707350999
p130,2062,514.7253383827397
p130,2063,753.1779118315219
p130,2064,684.103971080393
p130,2065,584.7852590386594
p130,2066,538.0326097118167
p130,2067,638.5816341008301
p130,2068,766.2655440466157
p130,2069,711.5588751932727
p130,2070,726.9894269150764
p130,2071,809.0831299171967
p130,2072,602.0215102875021
p130,2073,783.2683657764182
p130,2074,730.3556895655454
p130,2075,762.9798617527986
p130,2076,727.2774353289819
p130,2077,728.9438996407714
p130,2078,801.4016914354477
p130,2079,959.3879906171653
p130,2080,636.9165456285158
p130,2081,900.7115925349146
p130,2082,854.8994374316121
p130,2083,800.8692224719143
p130,2084,730.134575919015
p130,2085,927.5557326321529
p130,2086,841.9252539736101
p130,2087,907.5445007179512
p130,2088,815.0857390839187
p130,2089,728.3590934864842
p130,2090,1016.1904413585183
p130,2091,983.4397395258862
p130,2092,1032.4262436178249
p130,2093,950.3526090563973
p130,2094,880.577019605289
p130,2095,993.7692097050876
p130,2096,1061.5951141714954
p130,2097,1003.2971736427357
p130,2098,1082.057879265521
p130,2099,907.291882053979
