rb,Year,cdd
p39,2020,3522.7055418524906
p39,2021,2920.0570033890244
p39,2022,3606.315838589068
p39,2023,3699.0287434593115
p39,2024,3708.3010309268143
p39,2025,3832.1361653834247
p39,2026,3121.63113101604
p39,2027,3145.4641697431543
p39,2028,3485.2590520209314
p39,2029,3369.535376650373
p39,2030,3255.3938390634967
p39,2031,3129.5559296186743
p39,2032,2955.937215753974
p39,2033,3673.9126340924145
p39,2034,3112.70317319073
p39,2035,3266.7919026275263
p39,2036,3474.210518547463
p39,2037,3303.709181812391
p39,2038,3032.342148736133
p39,2039,2719.845651679176
p39,2040,3124.9279468447085
p39,2041,3056.134293057725
p39,2042,3215.424371770531
p39,2043,2983.3843788253134
p39,2044,2796.4463159357933
p39,2045,2858.8736476636104
p39,2046,2865.860659016213
p39,2047,3011.0674720690868
p39,2048,3226.1286965091185
p39,2049,3297.0937790419403
p39,2050,3058.231543738561
p39,2051,3223.7830815471875
p39,2052,2503.7617549071956
p39,2053,3280.3520762332887
p39,2054,3135.4756557913643
p39,2055,2861.1221689262097
p39,2056,2725.2198946875947
p39,2057,2816.295757840495
p39,2058,3185.9803758211992
p39,2059,3407.271736963654
p39,2060,2763.289818098186
p39,2061,2241.282997083733
p39,2062,2852.1419162859934
p39,2063,2917.055396950466
p39,2064,2876.7495834923
p39,2065,3052.318004888869
p39,2066,2293.8337491890707
p39,2067,2407.5910550633116
p39,2068,2753.6130644256914
p39,2069,2675.8962657712195
p39,2070,2535.074411607604
p39,2071,2479.2909989409545
p39,2072,2236.063086650333
p39,2073,2812.30955889614
p39,2074,2423.3930418310692
p39,2075,2459.7169487069755
p39,2076,2746.266901742847
p39,2077,2551.8307330686243
p39,2078,2266.773870720352
p39,2079,1972.0080758856143
p39,2080,2423.5194470168312
p39,2081,2263.4380173590907
p39,2082,2418.0974618487726
p39,2083,2184.9558957649833
p39,2084,2061.118247519581
p39,2085,2132.155410336721
p39,2086,2120.724510751428
p39,2087,2188.3913463883687
p39,2088,2379.4975189195898
p39,2089,2456.2495810454984
p39,2090,2262.164084401579
p39,2091,2400.377799583478
p39,2092,1793.6700633690407
p39,2093,2468.4542920661397
p39,2094,2362.7802431292725
p39,2095,2033.4271930299294
p39,2096,1940.6531760158036
p39,2097,2010.1362875187697
p39,2098,2361.148591511967
p39,2099,2558.2419706365745
