rb,Year,cdd
p91,2020,748.200070656761
p91,2021,793.4662017571502
p91,2022,603.3626945254668
p91,2023,879.2595575405912
p91,2024,703.2838370746949
p91,2025,762.8950631779203
p91,2026,622.1847182205879
p91,2027,705.8492949799366
p91,2028,761.524467028443
p91,2029,708.8816018556512
p91,2030,428.49104174794405
p91,2031,629.0951876752993
p91,2032,664.6227148196664
p91,2033,721.1877592412927
p91,2034,643.9739042959729
p91,2035,712.6694964368135
p91,2036,823.0399964923866
p91,2037,663.5985974205903
p91,2038,575.777592592125
p91,2039,557.4082961531509
p91,2040,709.5440914272265
p91,2041,622.47086711073
p91,2042,738.4626379420342
p91,2043,741.788952386512
p91,2044,705.0358270704045
p91,2045,639.2562654016999
p91,2046,566.9720569767914
p91,2047,583.3827845891059
p91,2048,669.8005063651735
p91,2049,684.0580995166641
p91,2050,1000.1006549372498
p91,2051,664.9885342390357
p91,2052,452.689428539314
p91,2053,647.7173410604958
p91,2054,884.3899791378838
p91,2055,587.6725540905778
p91,2056,585.3415368585186
p91,2057,457.72040133050774
p91,2058,684.924757132356
p91,2059,584.0577496128416
p91,2060,643.3336957016577
p91,2061,678.0326271456147
p91,2062,494.103167192904
p91,2063,748.9935177102717
p91,2064,594.3303761158522
p91,2065,660.9840359622192
p91,2066,508.1076984396409
p91,2067,566.3855926054566
p91,2068,638.0549105673675
p91,2069,592.3061014560961
p91,2070,332.2251027318529
p91,2071,507.64823391392366
p91,2072,544.5175190747167
p91,2073,606.843033435322
p91,2074,551.4797555868415
p91,2075,620.5348272039981
p91,2076,721.2560032253828
p91,2077,558.2091698673003
p91,2078,479.97422158694053
p91,2079,462.24698451307324
p91,2080,611.5296290452691
p91,2081,547.1557518982007
p91,2082,641.2361947128927
p91,2083,663.5665656633678
p91,2084,631.7218770362923
p91,2085,552.6340325550132
p91,2086,483.0309560653013
p91,2087,513.8153726270951
p91,2088,614.8209194694111
p91,2089,637.2711441682956
p91,2090,942.1024121444458
p91,2091,612.2916775570989
p91,2092,413.4089108867104
p91,2093,603.4862037741605
p91,2094,822.0314563570004
p91,2095,542.9143505034272
p91,2096,538.583347267819
p91,2097,402.66436738526545
p91,2098,621.9090384487662
p91,2099,507.5352987512949
