state,Year,Date
Kentucky,2066,2066-07-28
Kentucky,2066,2066-07-29
Kentucky,2066,2066-08-15
Kentucky,2066,2066-08-26
Kentucky,2066,2066-09-28
Kentucky,2066,2066-09-29
Kentucky,2067,2067-07-20
Kentucky,2067,2067-07-21
Kentucky,2067,2067-07-24
Kentucky,2067,2067-07-25
Kentucky,2067,2067-07-26
Kentucky,2067,2067-08-01
Kentucky,2067,2067-08-02
Kentucky,2067,2067-08-03
Kentucky,2067,2067-08-07
Kentucky,2067,2067-08-08
Kentucky,2067,2067-08-12
Kentucky,2067,2067-08-19
Kentucky,2067,2067-08-21
Kentucky,2067,2067-08-22
Kentucky,2067,2067-08-26
Kentucky,2067,2067-08-27
Kentucky,2068,2068-06-21
Kentucky,2068,2068-06-22
Kentucky,2068,2068-06-23
Kentucky,2068,2068-06-24
Kentucky,2068,2068-06-25
Kentucky,2068,2068-06-26
Kentucky,2068,2068-07-05
Kentucky,2068,2068-07-07
Kentucky,2068,2068-07-08
Kentucky,2068,2068-07-09
Kentucky,2068,2068-07-14
Kentucky,2068,2068-07-15
Kentucky,2068,2068-07-16
Kentucky,2068,2068-07-17
Kentucky,2068,2068-07-18
Kentucky,2068,2068-07-29
Kentucky,2068,2068-07-31
Kentucky,2068,2068-08-01
Kentucky,2068,2068-08-02
Kentucky,2068,2068-08-03
Kentucky,2068,2068-08-04
Kentucky,2068,2068-08-07
Kentucky,2068,2068-08-08
Kentucky,2068,2068-08-09
Kentucky,2068,2068-08-10
Kentucky,2068,2068-08-11
Kentucky,2068,2068-08-12
Kentucky,2068,2068-08-13
Kentucky,2068,2068-08-14
Kentucky,2068,2068-08-15
Kentucky,2068,2068-08-16
Kentucky,2068,2068-08-17
Kentucky,2068,2068-08-18
Kentucky,2068,2068-08-19
Kentucky,2068,2068-08-27
Kentucky,2068,2068-09-13
Kentucky,2068,2068-09-23
Kentucky,2070,2070-07-05
Kentucky,2070,2070-07-09
Kentucky,2070,2070-07-10
Kentucky,2070,2070-08-19
Kentucky,2070,2070-08-20
Kentucky,2070,2070-08-21
Kentucky,2070,2070-08-26
Kentucky,2070,2070-08-27
Kentucky,2070,2070-08-28
Kentucky,2070,2070-08-29
Kentucky,2070,2070-09-02
Kentucky,2070,2070-09-05
Kentucky,2070,2070-09-06
Kentucky,2070,2070-09-07
Kentucky,2071,2071-07-23
Kentucky,2071,2071-08-02
Kentucky,2071,2071-08-03
Kentucky,2071,2071-09-15
Kentucky,2072,2072-08-09
Kentucky,2073,2073-07-09
Kentucky,2073,2073-07-19
Kentucky,2073,2073-07-25
Kentucky,2073,2073-07-26
Kentucky,2073,2073-07-27
Kentucky,2073,2073-07-28
Kentucky,2073,2073-07-29
Kentucky,2073,2073-08-16
Kentucky,2073,2073-08-17
Kentucky,2073,2073-08-19
Kentucky,2073,2073-08-20
Kentucky,2073,2073-08-24
Kentucky,2073,2073-08-25
Kentucky,2073,2073-08-27
Kentucky,2073,2073-08-28
Kentucky,2073,2073-08-29
Kentucky,2073,2073-08-30
Kentucky,2075,2075-07-12
Kentucky,2075,2075-07-13
Kentucky,2075,2075-07-14
Kentucky,2075,2075-07-28
Kentucky,2075,2075-07-31
Kentucky,2075,2075-08-02
Kentucky,2075,2075-08-12
Kentucky,2075,2075-08-13
Kentucky,2075,2075-08-14
Kentucky,2075,2075-08-15
Kentucky,2075,2075-08-16
Kentucky,2075,2075-08-17
Kentucky,2075,2075-08-31
Kentucky,2076,2076-07-19
Kentucky,2077,2077-07-27
Kentucky,2078,2078-06-25
Kentucky,2078,2078-06-26
Kentucky,2078,2078-07-19
Kentucky,2078,2078-07-21
Kentucky,2078,2078-08-25
Kentucky,2078,2078-09-05
Kentucky,2078,2078-09-06
Kentucky,2078,2078-09-07
Kentucky,2078,2078-09-14
Kentucky,2078,2078-09-27
Kentucky,2079,2079-07-03
Kentucky,2079,2079-07-04
Kentucky,2079,2079-07-05
Kentucky,2079,2079-07-06
Kentucky,2079,2079-07-09
Kentucky,2079,2079-07-19
Kentucky,2079,2079-07-20
Kentucky,2079,2079-07-21
Kentucky,2079,2079-07-22
Kentucky,2079,2079-07-23
Kentucky,2079,2079-07-25
Kentucky,2079,2079-07-26
Kentucky,2079,2079-07-28
Kentucky,2079,2079-07-29
Kentucky,2079,2079-07-30
Kentucky,2079,2079-07-31
Kentucky,2079,2079-08-01
Kentucky,2079,2079-08-07
Kentucky,2079,2079-08-11
Kentucky,2079,2079-08-12
Kentucky,2079,2079-08-13
Kentucky,2079,2079-08-16
Kentucky,2079,2079-08-17
Kentucky,2079,2079-08-19
Kentucky,2079,2079-08-28
Kentucky,2079,2079-08-29
Kentucky,2079,2079-09-01
Kentucky,2079,2079-09-02
Kentucky,2079,2079-09-03
Kentucky,2079,2079-09-04
Kentucky,2079,2079-09-05
Kentucky,2079,2079-09-08
Kentucky,2080,2080-07-10
Kentucky,2080,2080-08-06
Kentucky,2080,2080-08-09
Kentucky,2080,2080-08-10
Kentucky,2080,2080-08-15
Kentucky,2080,2080-08-16
Kentucky,2080,2080-08-17
Kentucky,2080,2080-08-26
Kentucky,2080,2080-08-28
Kentucky,2080,2080-08-29
Kentucky,2080,2080-08-30
Kentucky,2080,2080-08-31
Kentucky,2080,2080-09-03
Kentucky,2081,2081-07-08
Kentucky,2081,2081-07-09
Kentucky,2081,2081-07-10
Kentucky,2081,2081-07-22
Kentucky,2081,2081-07-23
Kentucky,2081,2081-07-24
Kentucky,2081,2081-07-31
Kentucky,2081,2081-08-01
Kentucky,2081,2081-08-02
Kentucky,2081,2081-08-05
Kentucky,2081,2081-08-06
Kentucky,2081,2081-08-07
Kentucky,2081,2081-08-22
Kentucky,2081,2081-08-23
Kentucky,2081,2081-08-29
Kentucky,2082,2082-07-05
Kentucky,2082,2082-07-21
Kentucky,2082,2082-07-29
Kentucky,2082,2082-08-01
Kentucky,2082,2082-08-02
Kentucky,2082,2082-08-03
Kentucky,2082,2082-08-04
Kentucky,2082,2082-08-05
Kentucky,2082,2082-08-10
Kentucky,2082,2082-08-12
Kentucky,2082,2082-08-21
Kentucky,2082,2082-08-22
Kentucky,2082,2082-08-23
Kentucky,2082,2082-09-02
Kentucky,2082,2082-09-03
Kentucky,2082,2082-09-07
Kentucky,2082,2082-09-08
Kentucky,2082,2082-09-09
Kentucky,2082,2082-09-10
Kentucky,2083,2083-08-27
Kentucky,2085,2085-07-22
Kentucky,2085,2085-07-25
Kentucky,2085,2085-08-03
Kentucky,2085,2085-08-04
Kentucky,2085,2085-08-11
Kentucky,2085,2085-08-12
Kentucky,2085,2085-08-19
Kentucky,2085,2085-08-20
Kentucky,2086,2086-06-22
Kentucky,2086,2086-07-02
Kentucky,2086,2086-07-17
Kentucky,2086,2086-07-18
Kentucky,2086,2086-07-19
Kentucky,2086,2086-07-21
Kentucky,2086,2086-07-26
Kentucky,2086,2086-07-30
Kentucky,2086,2086-07-31
Kentucky,2086,2086-08-01
Kentucky,2086,2086-08-02
Kentucky,2086,2086-08-03
Kentucky,2086,2086-08-07
Kentucky,2086,2086-08-08
Kentucky,2086,2086-08-14
Kentucky,2086,2086-08-17
Kentucky,2086,2086-08-18
Kentucky,2086,2086-08-19
Kentucky,2086,2086-08-25
Kentucky,2086,2086-08-26
Kentucky,2087,2087-08-01
Kentucky,2087,2087-08-02
Kentucky,2087,2087-08-03
Kentucky,2087,2087-08-04
Kentucky,2087,2087-08-05
Kentucky,2087,2087-08-08
Kentucky,2087,2087-08-09
Kentucky,2087,2087-08-10
Kentucky,2087,2087-08-11
Kentucky,2087,2087-08-12
Kentucky,2087,2087-08-13
Kentucky,2087,2087-08-14
Kentucky,2087,2087-08-15
Kentucky,2087,2087-08-16
Kentucky,2087,2087-08-17
Kentucky,2087,2087-08-19
Kentucky,2087,2087-08-20
Kentucky,2087,2087-08-22
Kentucky,2087,2087-08-23
Kentucky,2087,2087-08-24
Kentucky,2087,2087-08-25
Kentucky,2087,2087-08-28
Kentucky,2087,2087-08-29
Kentucky,2087,2087-09-02
Kentucky,2087,2087-09-03
Kentucky,2087,2087-09-04
Kentucky,2087,2087-09-05
Kentucky,2087,2087-09-23
Kentucky,2087,2087-09-24
Kentucky,2088,2088-07-21
Kentucky,2088,2088-08-01
