rb,Year,Date
p81,2090,2090-08-10
p81,2090,2090-08-11
p81,2090,2090-08-12
p81,2090,2090-08-13
p81,2090,2090-08-20
p81,2091,2091-07-11
p81,2091,2091-07-19
p81,2091,2091-07-20
p81,2091,2091-08-02
p81,2091,2091-08-24
p81,2091,2091-08-31
p81,2091,2091-09-01
p81,2091,2091-09-02
p81,2092,2092-06-28
p81,2092,2092-06-29
p81,2092,2092-06-30
p81,2092,2092-07-01
p81,2092,2092-07-02
p81,2092,2092-07-03
p81,2092,2092-07-04
p81,2092,2092-07-05
p81,2092,2092-07-06
p81,2092,2092-07-07
p81,2092,2092-07-08
p81,2092,2092-07-16
p81,2092,2092-07-17
p81,2092,2092-07-18
p81,2092,2092-07-19
p81,2092,2092-07-20
p81,2092,2092-07-22
p81,2092,2092-07-23
p81,2092,2092-07-24
p81,2092,2092-07-25
p81,2092,2092-07-26
p81,2092,2092-07-30
p81,2092,2092-07-31
p81,2092,2092-08-01
p81,2092,2092-08-02
p81,2092,2092-08-03
p81,2092,2092-08-04
p81,2092,2092-08-05
p81,2092,2092-08-07
p81,2093,2093-08-30
p81,2093,2093-09-09
p81,2094,2094-08-24
p81,2094,2094-08-25
p81,2098,2098-08-25
p81,2098,2098-08-26
p81,2098,2098-08-27
