rb,Year,hdd
p50,2020,1723.6511970871811
p50,2021,1435.0391570299134
p50,2022,1298.6551504175202
p50,2023,1348.2170455746618
p50,2024,1422.8604829064432
p50,2025,1449.6414929513778
p50,2026,1440.0698041910728
p50,2027,1499.5017996479698
p50,2028,1444.194053694247
p50,2029,1272.784519712319
p50,2030,1502.725268504593
p50,2031,1516.9060653851059
p50,2032,1233.1963507832525
p50,2033,1387.894833049285
p50,2034,1556.2691491791045
p50,2035,1300.778040226769
p50,2036,1544.9910513028467
p50,2037,1395.4447774682612
p50,2038,1886.9147307869086
p50,2039,1514.9018241982021
p50,2040,1689.5736002144022
p50,2041,1611.652669854785
p50,2042,1519.5458623824518
p50,2043,1557.037499301723
p50,2044,1481.6724481556453
p50,2045,1728.7984616480583
p50,2046,1796.9162077605836
p50,2047,1415.468144984009
p50,2048,1477.3614147848516
p50,2049,1500.6506283191266
p50,2050,1753.8069817856185
p50,2051,2013.9209053523036
p50,2052,1883.4598825088024
p50,2053,1633.190069554975
p50,2054,1611.3349601828613
p50,2055,1503.3510619213168
p50,2056,1733.4275792002572
p50,2057,1607.1622290508221
p50,2058,1860.958470420872
p50,2059,1673.7818772484834
p50,2060,2112.03935134198
p50,2061,1847.6611656364717
p50,2062,1727.0411955554061
p50,2063,1709.4637809708415
p50,2064,1808.5795980079
p50,2065,1846.5696475625577
p50,2066,1896.810484900409
p50,2067,1929.8098665507355
p50,2068,1875.8807306503486
p50,2069,1763.8785544286568
p50,2070,1889.1696298743686
p50,2071,1984.4726846357414
p50,2072,1709.642047130318
p50,2073,1761.2452550565777
p50,2074,1970.511002058878
p50,2075,1681.5898240472727
p50,2076,1991.7061357429711
p50,2077,1744.9034016137944
p50,2078,2296.5369375365776
p50,2079,1969.0703849266988
p50,2080,2124.7332950628243
p50,2081,2100.5069553372364
p50,2082,1950.9995767554688
p50,2083,2023.9782702943003
p50,2084,1922.3862275933984
p50,2085,2213.0238903704635
p50,2086,2282.4950312510314
p50,2087,1956.8445521003787
p50,2088,1941.4635923369951
p50,2089,1951.7725486370946
p50,2090,2234.0780852807798
p50,2091,2471.809239203648
p50,2092,2431.997120414871
p50,2093,2084.360258762486
p50,2094,2108.545818339586
p50,2095,2008.135301983812
p50,2096,2272.0021331660796
p50,2097,2137.442472762846
p50,2098,2325.236716172484
p50,2099,2152.6869297738904
