state,Year,hdd
Nevada,2020,1235.357125831496
Nevada,2021,1368.2567493009176
Nevada,2022,1083.9882542585242
Nevada,2023,1128.8844155993424
Nevada,2024,1287.5530697828485
Nevada,2025,1283.7454415661548
Nevada,2026,1238.480840681973
Nevada,2027,1331.9739697914633
Nevada,2028,1417.8694682952294
Nevada,2029,1318.2057249919599
Nevada,2030,1275.2656349283657
Nevada,2031,1259.248726398544
Nevada,2032,1346.3035473756577
Nevada,2033,1140.3437144164814
Nevada,2034,1424.385916621411
Nevada,2035,1198.1271159142902
Nevada,2036,1403.8592535116795
Nevada,2037,1286.2642075096855
Nevada,2038,1090.3038552230432
Nevada,2039,1182.592091422999
Nevada,2040,1342.7574034454253
Nevada,2041,1470.6440442398357
Nevada,2042,1337.6111519703359
Nevada,2043,1526.0288511356835
Nevada,2044,1276.4404358946726
Nevada,2045,1225.328746223312
Nevada,2046,1367.951341226332
Nevada,2047,1392.226026525182
Nevada,2048,1335.919672486734
Nevada,2049,1337.475427242549
Nevada,2050,1229.3628600398724
Nevada,2051,1217.3420071179394
Nevada,2052,1441.4114731529019
Nevada,2053,1310.2236160477028
Nevada,2054,1366.3820853044788
Nevada,2055,1381.7556380296223
Nevada,2056,1319.0706458232364
Nevada,2057,1404.7972377119993
Nevada,2058,1488.6888245397827
Nevada,2059,1241.1616869259478
Nevada,2060,1569.0866084000468
Nevada,2061,1699.454892226845
Nevada,2062,1417.9334860647486
Nevada,2063,1463.1511824332538
Nevada,2064,1604.9748074184763
Nevada,2065,1619.8258168709567
Nevada,2066,1539.7065354290976
Nevada,2067,1677.0347158681843
Nevada,2068,1769.2169835831633
Nevada,2069,1667.9404624987
Nevada,2070,1626.9699811421813
Nevada,2071,1571.8753804738892
Nevada,2072,1699.2621775684763
Nevada,2073,1458.742435937464
Nevada,2074,1731.1692957546236
Nevada,2075,1507.453191452485
Nevada,2076,1710.0924681459962
Nevada,2077,1617.3831372447312
Nevada,2078,1382.765088253174
Nevada,2079,1515.0836928835442
Nevada,2080,1665.5046528328949
Nevada,2081,1819.8029923498354
Nevada,2082,1656.1702668065755
Nevada,2083,1833.9254252302815
Nevada,2084,1586.5771090752069
Nevada,2085,1520.4244968572991
Nevada,2086,1666.5445335636987
Nevada,2087,1718.8456589955636
Nevada,2088,1632.0867405302065
Nevada,2089,1623.7625693826985
Nevada,2090,1494.1748658450608
Nevada,2091,1484.0824269748282
Nevada,2092,1742.307641317405
Nevada,2093,1567.2177498364717
Nevada,2094,1649.3257096202346
Nevada,2095,1644.2955858935306
Nevada,2096,1566.5741130803071
Nevada,2097,1622.54971170442
Nevada,2098,1708.6590953086475
Nevada,2099,1419.613560761953
