rb,Year,hdd
p90,2020,1425.042064639745
p90,2021,1400.0568750431287
p90,2022,1345.559185771995
p90,2023,1215.56602038572
p90,2024,1279.580241414683
p90,2025,1411.6507905772482
p90,2026,1494.7971789013184
p90,2027,1378.6763523200248
p90,2028,1354.627761001359
p90,2029,1306.7182066842138
p90,2030,1571.4072617547952
p90,2031,1465.596887792409
p90,2032,1274.0387078119115
p90,2033,1465.1595873016604
p90,2034,1280.1911420028628
p90,2035,1487.55790420035
p90,2036,1318.0703512103019
p90,2037,1246.6646146966923
p90,2038,1668.9836115131386
p90,2039,1509.9061368115101
p90,2040,1587.2656766224707
p90,2041,1319.0542039854358
p90,2042,1593.2092397010172
p90,2043,1329.9796618916428
p90,2044,1421.6470458544973
p90,2045,1376.650347990721
p90,2046,1526.7021830104122
p90,2047,1602.9378615852838
p90,2048,1410.9051752524674
p90,2049,1373.4776588881282
p90,2050,1607.6658487803707
p90,2051,1593.522254023469
p90,2052,1500.911671610665
p90,2053,1279.3700519038193
p90,2054,1348.5592823150691
p90,2055,1564.3518943876059
p90,2056,1619.8611435156063
p90,2057,1446.814248274767
p90,2058,1553.5323798527947
p90,2059,1635.3719263926823
p90,2060,1654.62280407555
p90,2061,1686.6904568052528
p90,2062,1599.4571964107859
p90,2063,1449.8420575517516
p90,2064,1543.6842314618193
p90,2065,1683.854454116106
p90,2066,1790.1236454829125
p90,2067,1579.4086993188812
p90,2068,1576.197055250283
p90,2069,1513.7902294120863
p90,2070,1805.1700663591942
p90,2071,1682.5547811703666
p90,2072,1499.8050813550408
p90,2073,1673.6360374700585
p90,2074,1498.6922838102982
p90,2075,1696.339632665593
p90,2076,1548.5390031186278
p90,2077,1462.1507290188015
p90,2078,1927.9598657876222
p90,2079,1782.2460106600302
p90,2080,1825.7762889639098
p90,2081,1539.0580711485668
p90,2082,1846.8499432918761
p90,2083,1542.692102981263
p90,2084,1658.5898526048136
p90,2085,1568.5043654861074
p90,2086,1758.811882890537
p90,2087,1818.1059182655506
p90,2088,1609.3576881708868
p90,2089,1537.861072757758
p90,2090,1775.2549256731734
p90,2091,1762.9254588827844
p90,2092,1661.4507632150733
p90,2093,1426.961219003333
p90,2094,1499.959817882159
p90,2095,1743.5843165602228
p90,2096,1783.9398999027824
p90,2097,1598.125039307722
p90,2098,1689.078293314939
p90,2099,1791.3915014285153
