region,Year,number_of_days
p9,2020,3
p9,2021,3
p9,2022,3
p9,2023,3
p9,2024,3
p9,2025,3
p9,2026,3
p9,2027,3
p9,2028,3
p9,2029,3
p9,2030,3
p9,2031,3
p9,2032,3
p9,2033,3
p9,2034,3
p9,2035,3
p9,2036,3
p9,2037,3
p9,2038,3
p9,2039,3
p9,2040,3
p9,2041,3
p9,2042,3
p9,2043,3
p9,2044,3
p9,2045,3
p9,2046,3
p9,2047,3
p9,2048,3
p9,2049,3
p9,2050,3
p9,2051,3
p9,2052,3
p9,2053,3
p9,2054,3
p9,2055,3
p9,2056,3
p9,2057,3
p9,2058,3
p9,2059,3
p9,2060,3
p9,2061,3
p9,2062,3
p9,2063,3
p9,2064,3
p9,2065,3
p9,2066,3
p9,2067,3
p9,2068,3
p9,2069,3
p9,2070,3
p9,2071,3
p9,2072,3
p9,2073,3
p9,2074,3
p9,2075,3
p9,2076,3
p9,2077,3
p9,2078,3
p9,2079,3
p9,2080,3
p9,2081,3
p9,2082,3
p9,2083,3
p9,2084,3
p9,2085,3
p9,2086,3
p9,2087,3
p9,2088,3
p9,2089,3
p9,2090,3
p9,2091,3
p9,2092,3
p9,2093,3
p9,2094,3
p9,2095,3
p9,2096,3
p9,2097,3
p9,2098,3
p9,2099,3
p67,2020,2
p67,2021,2
p67,2022,2
p67,2023,2
p67,2024,2
p67,2025,2
p67,2026,2
p67,2027,2
p67,2028,2
p67,2029,2
p67,2030,2
p67,2031,2
p67,2032,2
p67,2033,2
p67,2034,2
p67,2035,2
p67,2036,2
p67,2037,2
p67,2038,2
p67,2039,2
p67,2040,2
p67,2041,2
p67,2042,2
p67,2043,2
p67,2044,2
p67,2045,2
p67,2046,2
p67,2047,2
p67,2048,2
p67,2049,2
p67,2050,2
p67,2051,2
p67,2052,2
p67,2053,2
p67,2054,2
p67,2055,2
p67,2056,2
p67,2057,2
p67,2058,2
p67,2059,2
p67,2060,2
p67,2061,2
p67,2062,2
p67,2063,2
p67,2064,2
p67,2065,2
p67,2066,2
p67,2067,2
p67,2068,2
p67,2069,2
p67,2070,2
p67,2071,2
p67,2072,2
p67,2073,2
p67,2074,2
p67,2075,2
p67,2076,2
p67,2077,2
p67,2078,2
p67,2079,2
p67,2080,2
p67,2081,2
p67,2082,2
p67,2083,2
p67,2084,2
p67,2085,2
p67,2086,2
p67,2087,2
p67,2088,2
p67,2089,2
p67,2090,2
p67,2091,2
p67,2092,2
p67,2093,2
p67,2094,2
p67,2095,2
p67,2096,2
p67,2097,2
p67,2098,2
p67,2099,2
p99,2020,2
p99,2021,2
p99,2022,2
p99,2023,2
p99,2024,2
p99,2025,2
p99,2026,2
p99,2027,2
p99,2028,2
p99,2029,2
p99,2030,2
p99,2031,2
p99,2032,2
p99,2033,2
p99,2034,2
p99,2035,2
p99,2036,2
p99,2037,2
p99,2038,2
p99,2039,2
p99,2040,2
p99,2041,2
p99,2042,2
p99,2043,2
p99,2044,2
p99,2045,2
p99,2046,2
p99,2047,2
p99,2048,2
p99,2049,2
p99,2050,2
p99,2051,2
p99,2052,2
p99,2053,2
p99,2054,2
p99,2055,2
p99,2056,2
p99,2057,2
p99,2058,2
p99,2059,2
p99,2060,2
p99,2061,2
p99,2062,2
p99,2063,2
p99,2064,2
p99,2065,2
p99,2066,2
p99,2067,2
p99,2068,2
p99,2069,2
p99,2070,2
p99,2071,2
p99,2072,2
p99,2073,2
p99,2074,2
p99,2075,2
p99,2076,2
p99,2077,2
p99,2078,2
p99,2079,2
p99,2080,2
p99,2081,2
p99,2082,2
p99,2083,2
p99,2084,2
p99,2085,2
p99,2086,2
p99,2087,2
p99,2088,2
p99,2089,2
p99,2090,2
p99,2091,2
p99,2092,2
p99,2093,2
p99,2094,2
p99,2095,2
p99,2096,2
p99,2097,2
p99,2098,2
p99,2099,2
West Virginia,2042,6
West Virginia,2043,20
West Virginia,2044,29
West Virginia,2045,46
West Virginia,2046,60
West Virginia,2047,78
West Virginia,2048,85
West Virginia,2049,90
West Virginia,2050,97
West Virginia,2051,103
West Virginia,2052,107
West Virginia,2053,111
West Virginia,2054,116
West Virginia,2055,119
West Virginia,2056,123
West Virginia,2057,128
West Virginia,2058,131
West Virginia,2059,137
West Virginia,2060,143
West Virginia,2061,144
West Virginia,2062,151
West Virginia,2063,153
West Virginia,2064,160
West Virginia,2065,164
West Virginia,2066,166
West Virginia,2067,174
West Virginia,2068,174
West Virginia,2069,181
West Virginia,2070,179
West Virginia,2071,185
West Virginia,2072,187
West Virginia,2073,188
West Virginia,2074,197
West Virginia,2075,198
West Virginia,2076,200
West Virginia,2077,204
West Virginia,2078,209
West Virginia,2079,212
West Virginia,2080,213
West Virginia,2081,219
West Virginia,2082,222
West Virginia,2083,225
West Virginia,2084,230
West Virginia,2085,233
West Virginia,2086,238
West Virginia,2087,240
West Virginia,2088,247
West Virginia,2089,249
West Virginia,2090,254
West Virginia,2091,258
West Virginia,2092,261
West Virginia,2093,263
West Virginia,2094,268
West Virginia,2095,270
West Virginia,2096,277
West Virginia,2097,281
West Virginia,2098,286
West Virginia,2099,296
p74,2020,1
p74,2021,1
p74,2022,1
p74,2023,1
p74,2024,1
p74,2025,1
p74,2026,1
p74,2027,1
p74,2028,1
p74,2029,1
p74,2030,1
p74,2031,1
p74,2032,1
p74,2033,1
p74,2034,1
p74,2035,1
p74,2036,1
p74,2037,1
p74,2038,1
p74,2039,1
p74,2040,1
p74,2041,1
p74,2042,1
p74,2043,1
p74,2044,1
p74,2045,1
p74,2046,1
p74,2047,1
p74,2048,1
p74,2049,1
p74,2050,1
p74,2051,1
p74,2052,1
p74,2053,1
p74,2054,1
p74,2055,1
p74,2056,1
p74,2057,1
p74,2058,1
p74,2059,1
p74,2060,1
p74,2061,1
p74,2062,1
p74,2063,1
p74,2064,1
p74,2065,1
p74,2066,1
p74,2067,1
p74,2068,1
p74,2069,1
p74,2070,1
p74,2071,1
p74,2072,1
p74,2073,1
p74,2074,1
p74,2075,1
p74,2076,1
p74,2077,1
p74,2078,1
p74,2079,1
p74,2080,1
p74,2081,1
p74,2082,1
p74,2083,1
p74,2084,1
p74,2085,1
p74,2086,1
p74,2087,1
p74,2088,1
p74,2089,1
p74,2090,1
p74,2091,1
p74,2092,1
p74,2093,1
p74,2094,1
p74,2095,1
p74,2096,1
p74,2097,1
p74,2098,1
p74,2099,1
p33,2020,1
p33,2021,1
p33,2022,1
p33,2023,1
p33,2024,1
p33,2025,1
p33,2026,1
p33,2027,1
p33,2028,1
p33,2029,1
p33,2030,1
p33,2031,1
p33,2032,1
p33,2033,1
p33,2034,1
p33,2035,1
p33,2036,1
p33,2037,1
p33,2038,1
p33,2039,1
p33,2040,1
p33,2041,1
p33,2042,1
p33,2043,1
p33,2044,1
p33,2045,1
p33,2046,1
p33,2047,1
p33,2048,1
p33,2049,1
p33,2050,1
p33,2051,1
p33,2052,1
p33,2053,1
p33,2054,1
p33,2055,1
p33,2056,1
p33,2057,1
p33,2058,1
p33,2059,1
p33,2060,1
p33,2061,1
p33,2062,1
p33,2063,1
p33,2064,1
p33,2065,1
p33,2066,1
p33,2067,1
p33,2068,1
p33,2069,1
p33,2070,1
p33,2071,1
p33,2072,1
p33,2073,1
p33,2074,1
p33,2075,1
p33,2076,1
p33,2077,1
p33,2078,1
p33,2079,1
p33,2080,1
p33,2081,1
p33,2082,1
p33,2083,1
p33,2084,1
p33,2085,1
p33,2086,1
p33,2087,1
p33,2088,1
p33,2089,1
p33,2090,1
p33,2091,1
p33,2092,1
p33,2093,1
p33,2094,1
p33,2095,1
p33,2096,1
p33,2097,1
p33,2098,1
p33,2099,1
p107,2020,1
p107,2021,1
p107,2022,1
p107,2023,1
p107,2024,1
p107,2025,1
p107,2026,1
p107,2027,1
p107,2028,1
p107,2029,1
p107,2030,1
p107,2031,1
p107,2032,1
p107,2033,1
p107,2034,1
p107,2035,1
p107,2036,1
p107,2037,1
p107,2038,1
p107,2039,1
p107,2040,1
p107,2041,1
p107,2042,1
p107,2043,1
p107,2044,1
p107,2045,1
p107,2046,1
p107,2047,1
p107,2048,1
