reeds_ba,FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
p1,5300753029530335303553037530535305553057530615306753073,3950464.0,4005488.0,4047112.0,4078362.0,4117589.0,4164235.0,4240325.0,4298469.0,4364174.0,4428099.0,4480667.0,4540315.0,4599902.0,4659113.0,4730139.0,4813638.0,4910553.0,5001630.0,5075466.0,5128164.0,4928409.91773117,4950112.509562614,4971815.10139406,4993517.693225505,5015220.2850569505,5036922.876888395,5058625.46871984,5080328.060551286,5102030.652382731,5123733.244214176,5145435.836045621,5151484.03772076,5157532.239395899,5163580.441071037,5169628.642746177,5175676.844421314,5181725.0460964525,5187773.247771592,5193821.44944673,5199869.651121869,5205917.852797008,5204306.249861443,5202694.646925878,5201083.043990314,5199471.441054748,5197859.838119185,5196248.235183619,5194636.632248055,5193025.02931249,5191413.426376925,5189801.82344136,5185370.772465626,5180939.721489891,5176508.670514156,5172077.619538422,5167646.568562687,5163215.517586953,5158784.466611219,5154353.415635483,5149922.364659749,5145491.313684015,5138418.123685574,5131344.933687133,5124271.743688692,5117198.553690252,5110125.363691811,5103052.17369337,5095978.98369493,5088905.793696489,5081832.603698049,5074759.413699607,5059341.124071203,5043922.834442798,5028504.544814393,5013086.255185988,4997667.965557583,4982249.6759291785,4966831.386300773,4951413.096672367,4935994.807043962,4920576.517415558,4892297.586444611,4864018.655473663,4835739.724502716,4807460.793531768,4779181.862560821,4750902.931589874,4722624.000618926,4694345.069647979,4666066.138677032,4637787.2077060845,4603099.159104521,4568411.110502957,4533723.061901394,4499035.01329983,4464346.964698267,4429658.916096703,4394970.86749514,4360282.818893576,4325594.770292013,4290906.721690449
p10,06025060270602906037060510605906065060710610706111,17638216.0,17888112.0,18138223.0,18384684.0,18599486.0,18743208.0,18835480.0,18922692.0,19068689.0,19255062.0,19398249.0,19556764.0,19702121.0,19840994.0,19976661.0,20109549.0,20211762.0,20285780.0,20341503.0,20291531.0,20166837.233587332,20231024.647950057,20295212.062312786,20359399.47667551,20423586.89103824,20487774.305400968,20551961.719763692,20616149.13412642,20680336.54848915,20744523.962851875,20808711.377214603,20828374.988457605,20848038.599700607,20867702.21094361,20887365.822186608,20907029.43342961,20926693.044672612,20946356.655915614,20966020.267158613,20985683.878401615,21005347.489644617,20966559.728835944,20927771.968027268,20888984.207218595,20850196.446409922,20811408.68560125,20772620.924792577,20733833.163983904,20695045.403175227,20656257.642366555,20617469.88155788,20544948.580832295,20472427.280106712,20399905.97938113,20327384.678655542,20254863.37792996,20182342.077204376,20109820.776478793,20037299.475753207,19964778.175027624,19892256.87430204,19796984.43550096,19701711.996699885,19606439.55789881,19511167.11909773,19415894.680296652,19320622.241495572,19225349.802694492,19130077.363893416,19034804.925092336,18939532.48629126,18822579.13474447,18705625.783197686,18588672.431650896,18471719.08010411,18354765.72855732,18237812.37701053,18120859.02546374,18003905.673916955,17886952.322370168,17769998.97082338,17629673.16372417,17489347.356624953,17349021.549525738,17208695.742426526,17068369.93532731,16928044.1282281,16787718.321128886,16647392.514029672,16507066.706930457,16366740.899831243,16218190.484342447,16069640.068853648,15921089.65336485,15772539.237876052,15623988.822387256,15475438.406898456,15326887.991409658,15178337.575920861,15029787.160432063,14881236.744943265
p100,5104351069510795111351139511575118751840,185729.0,189224.0,193066.0,196413.0,200038.0,204585.0,208948.0,212259.0,214391.0,215823.0,219551.0,221228.0,222548.0,224636.0,227797.0,227182.0,229204.0,232496.0,235248.0,236526.0,248145.79621683838,249807.5367380348,251469.27725923117,253131.0177804276,254792.75830162398,256454.49882282037,258116.23934401677,259777.97986521316,261439.72038640955,263101.46090760594,264763.20142880233,265397.4091840072,266031.6169392121,266665.82469441695,267300.03244962177,267934.24020482664,268568.4479600315,269202.6557152363,269836.8634704412,270471.07122564607,271105.27898085094,270585.72434352315,270066.1697061953,269546.6150688675,269027.0604315397,268507.50579421193,267987.9511568841,267468.3965195563,266948.8418822285,266429.2872449007,265909.7326075729,264802.18925680855,263694.6459060442,262587.10255527985,261479.55920451554,260372.0158537512,259264.47250298684,258156.9291522225,257049.38580145815,255941.84245069383,254834.29909992949,253074.47635127328,251314.6536026171,249554.8308539609,247795.00810530473,246035.18535664855,244275.36260799234,242515.53985933616,240755.71711067995,238995.8943620238,237236.0716133676,234721.16368986125,232206.2557663549,229691.34784284854,227176.4399193422,224661.53199583583,222146.6240723295,219631.71614882315,217116.8082253168,214601.90030181047,212086.99237830413,209995.77516519005,207904.55795207596,205813.34073896188,203722.12352584783,201630.90631273374,199539.68909961966,197448.4718865056,195357.25467339152,193266.03746027744,191174.82024716336,188855.59727129753,186536.3742954317,184217.1513195659,181897.92834370007,179578.70536783422,177259.4823919684,174940.25941610258,172621.03644023673,170301.8134643709,167982.59048850508
p101,1200112003120071201512017120191202112023120271202912031120351203712039120411204312047120491205112053120551205712065120671206912071120731207512077120791208112083120871208912093120951209712101121031210512107121091211512117121191212112123121251212712129,9222452.0,9407026.0,9605874.0,9802841.0,10066224.0,10354221.0,10607415.0,10778692.0,10873105.0,10936130.0,11174048.0,11300813.0,11430825.0,11568049.0,11768143.0,12018797.0,12297123.0,12545037.0,12782014.0,12978696.0,12038553.963476675,12060093.40254342,12081632.841610163,12103172.280676907,12124711.71974365,12146251.158810396,12167790.59787714,12189330.036943883,12210869.476010626,12232408.915077372,12253948.354144115,12238588.731449243,12223229.10875437,12207869.486059496,12192509.863364624,12177150.240669752,12161790.61797488,12146430.995280007,12131071.372585135,12115711.749890262,12100352.12719539,12058272.112715404,12016192.09823542,11974112.083755437,11932032.069275454,11889952.05479547,11847872.040315485,11805792.025835501,11763712.011355517,11721631.996875534,11679551.982395548,11624472.612587236,11569393.242778921,11514313.872970607,11459234.503162295,11404155.13335398,11349075.763545666,11293996.393737353,11238917.023929039,11183837.654120725,11128758.284312412,11064298.598891038,10999838.913469665,10935379.228048291,10870919.54262692,10806459.857205546,10742000.171784172,10677540.4863628,10613080.800941426,10548621.115520054,10484161.43009868,10407862.45749221,10331563.484885737,10255264.512279266,10178965.539672796,10102666.567066325,10026367.594459854,9950068.621853381,9873769.64924691,9797470.67664044,9721171.704033969,9630486.776035264,9539801.848036561,9449116.920037858,9358431.992039155,9267747.064040452,9177062.13604175,9086377.208043046,8995692.280044343,8905007.35204564,8814322.424046937,8717047.008687753,8619771.593328567,8522496.177969383,8425220.762610199,8327945.347251014,8230669.93189183,8133394.516532645,8036119.10117346,7938843.685814275,7841568.27045509
p102,12009120111206112085120861209912111,5937521.0,6048267.0,6160601.0,6250603.0,6364922.0,6472068.0,6514523.0,6531753.0,6577085.0,6624871.0,6690977.0,6805235.0,6891151.0,6978128.0,7064396.0,7164820.0,7279784.0,7365458.0,7435084.0,7417650.0,6852477.092472254,6871599.15351863,6890721.214565007,6909843.275611384,6928965.336657762,6948087.3977041375,6967209.458750514,6986331.519796891,7005453.580843269,7024575.641889645,7043697.702936022,7050219.984531544,7056742.266127067,7063264.547722588,7069786.82931811,7076309.1109136315,7082831.392509154,7089353.674104677,7095875.955700198,7102398.237295721,7108920.518891243,7100865.142878814,7092809.766866385,7084754.390853956,7076699.014841527,7068643.638829098,7060588.2628166685,7052532.88680424,7044477.510791811,7036422.1347793825,7028366.758766954,7012750.710012881,6997134.661258809,6981518.612504737,6965902.563750665,6950286.514996593,6934670.466242521,6919054.417488448,6903438.3687343765,6887822.319980305,6872206.271226233,6852643.606156464,6833080.941086696,6813518.276016928,6793955.61094716,6774392.945877392,6754830.280807624,6735267.615737855,6715704.950668087,6696142.285598319,6676579.620528551,6652037.749518719,6627495.878508886,6602954.007499053,6578412.13648922,6553870.265479388,6529328.394469555,6504786.523459722,6480244.652449889,6455702.781440057,6431160.910430224,6396085.599647589,6361010.288864955,6325934.9780823225,6290859.667299688,6255784.356517053,6220709.0457344195,6185633.734951786,6150558.424169151,6115483.113386516,6080407.802603883,6038030.3057428505,5995652.808881817,5953275.312020785,5910897.815159753,5868520.318298721,5826142.821437689,5783765.324576655,5741387.827715623,5699010.33085459,5656632.833993558
p103,26001260052600726009260112601526017260192602326025260292603126033260352603726039260452604726049260512605526057260592606326065260672606926073260752607926081260852608726089260912609326095260972609926101261052610726111261132611526117261192612126123261252612726129261332613526137261392614126143261452614726151261532615526157261612616326165,9112735.0,9164082.0,9195745.0,9222637.0,9246573.0,9249974.0,9243302.0,9211037.0,9161323.0,9128026.0,9033799.0,9036771.0,9051224.0,9067009.0,9084118.0,9088589.0,9108646.0,9132164.0,9150264.0,9143582.0,9165431.941138925,9156345.242033951,9147258.542928975,9138171.843824001,9129085.144719027,9119998.445614051,9110911.746509077,9101825.047404101,9092738.348299127,9083651.649194153,9074564.950089177,9042443.319843145,9010321.689597111,8978200.05935108,8946078.429105047,8913956.798859013,8881835.16861298,8849713.538366947,8817591.908120915,8785470.277874881,8753348.64762885,8710758.592156533,8668168.536684219,8625578.481211904,8582988.425739588,8540398.370267272,8497808.314794958,8455218.259322643,8412628.203850327,8370038.148378013,8327448.092905697,8283399.049294634,8239350.005683569,8195300.962072507,8151251.918461443,8107202.874850379,8063153.831239316,8019104.787628252,7975055.744017188,7931006.700406125,7886957.656795061,7843198.790733539,7799439.924672015,7755681.058610492,7711922.19254897,7668163.326487446,7624404.460425924,7580645.594364401,7536886.728302877,7493127.862241355,7449368.996179832,7402350.457495714,7355331.918811596,7308313.380127477,7261294.84144336,7214276.302759242,7167257.764075125,7120239.225391006,7073220.6867068885,7026202.14802277,6979183.609338652,6926533.836189299,6873884.063039945,6821234.289890593,6768584.5167412395,6715934.743591886,6663284.970442533,6610635.197293179,6557985.424143826,6505335.650994473,6452685.87784512,6396122.480979773,6339559.084114428,6282995.687249081,6226432.290383735,6169868.893518388,6113305.496653043,6056742.099787696,6000178.70292235,5943615.306057004,5887051.909191658
p104,2602126027260772614926159,591590.0,592043.0,593845.0,595930.0,594805.0,594103.0,594062.0,595484.0,597149.0,598754.0,597163.0,598632.0,600051.0,601340.0,602762.0,601996.0,603151.0,604981.0,607155.0,606895.0,593442.4021550047,588099.5833147527,582756.7644745008,577413.9456342488,572071.1267939968,566728.3079537448,561385.4891134929,556042.6702732409,550699.8514329889,545357.032592737,540014.213752485,537318.5761585031,534622.938564521,531927.300970539,529231.663376557,526536.0257825749,523840.3881885929,521144.75059461093,518449.1130006289,515753.47540664684,513057.83781266486,509842.3225961848,506626.8073797048,503411.2921632247,500195.77694674465,496980.26173026464,493764.7465137846,490549.2312973045,487333.71608082444,484118.2008643444,480902.68564786436,477459.766997437,474016.8483470097,470573.9296965824,467131.01104615506,463688.0923957277,460245.1737453004,456802.255094873,453359.33644444577,449916.4177940184,446473.4991435911,442778.91357616597,439084.32800874097,435389.7424413159,431695.15687389084,428000.5713064657,424305.9857390407,420611.40017161565,416916.8146041906,413222.22903676546,409527.64346934046,405632.78405950434,401737.9246496682,397843.0652398321,393948.205829996,390053.34642015985,386158.48701032373,382263.6276004876,378368.7681906515,374473.90878081537,370579.04937097925,366224.34193475597,361869.6344985327,357514.92706230935,353160.21962608607,348805.5121898628,344450.8047536395,340096.0973174162,335741.3898811929,331386.6824449696,327031.97500874626,322726.8991894481,318421.8233701499,314116.74755085167,309811.67173155345,305506.5959122553,301201.5200929571,296896.4442736589,292591.36845436064,288286.2926350625,283981.21681576426
p105,1800118003180071800918011180151801718023180331803518039180451804918053180591806318067180691807318075180851808718089180911809518099181031810718111181131812118127181311813318135181411814918151181571815918165181671816918171181791818118183,3318495.0,3330878.0,3338155.0,3350131.0,3361351.0,3379626.0,3401996.0,3422711.0,3439975.0,3451701.0,3478087.0,3486250.0,3490307.0,3499316.0,3507943.0,3510053.0,3518703.0,3528968.0,3542284.0,3557585.0,3696066.0976514067,3705994.183105322,3715922.268559237,3725850.354013152,3735778.439467067,3745706.5249209823,3755634.6103748973,3765562.695828812,3775490.781282727,3785418.866736642,3795346.9521905575,3794567.069736914,3793787.1872832705,3793007.3048296273,3792227.4223759836,3791447.5399223403,3790667.657468697,3789887.775015054,3789107.89256141,3788328.010107767,3787548.127654123,3778850.9654297004,3770153.8032052773,3761456.640980854,3752759.4787564315,3744062.3165320083,3735365.154307585,3726667.9920831625,3717970.8298587394,3709273.6676343163,3700576.5054098936,3688474.271905496,3676372.0384010985,3664269.8048967016,3652167.5713923043,3640065.3378879065,3627963.104383509,3615860.870879112,3603758.6373747145,3591656.403870317,3579554.17036592,3564255.234740593,3548956.299115266,3533657.3634899394,3518358.4278646125,3503059.4922392853,3487760.556613959,3472461.6209886316,3457162.685363305,3441863.749737978,3426564.814112651,3407558.0848852624,3388551.355657873,3369544.626430484,3350537.8972030953,3331531.167975706,3312524.4387483173,3293517.709520928,3274510.9802935394,3255504.25106615,3236497.521838761,3213512.5354578174,3190527.549076874,3167542.5626959302,3144557.5763149867,3121572.589934043,3098587.6035530996,3075602.617172156,3052617.6307912124,3029632.644410269,3006647.6580293253,2981218.1381389564,2955788.6182485875,2930359.0983582186,2904929.5784678496,2879500.058577481,2854070.5386871123,2828641.0187967434,2803211.4989063744,2777781.9790160055,2752352.4591256366
p106,1805718097,1046273.0,1061438.0,1072724.0,1085743.0,1098756.0,1110983.0,1125753.0,1140100.0,1154043.0,1170166.0,1181111.0,1194554.0,1209472.0,1226249.0,1238288.0,1247885.0,1260129.0,1272034.0,1284756.0,1302593.0,1245494.6765485671,1247442.991629562,1249391.3067105573,1251339.6217915523,1253287.9368725475,1255236.2519535427,1257184.567034538,1259132.882115533,1261081.1971965283,1263029.5122775233,1264977.8273585185,1265015.927161125,1265054.0269637315,1265092.126766338,1265130.2265689448,1265168.326371551,1265206.4261741578,1265244.525976764,1265282.6257793708,1265320.7255819773,1265358.8253845838,1264916.4162375801,1264474.0070905765,1264031.5979435726,1263589.1887965687,1263146.779649565,1262704.3705025613,1262261.9613555577,1261819.5522085538,1261377.14306155,1260934.7339145462,1260311.6089885395,1259688.4840625327,1259065.3591365258,1258442.234210519,1257819.109284512,1257195.984358505,1256572.8594324985,1255949.7345064913,1255326.6095804847,1254703.4846544778,1253014.163341685,1251324.8420288921,1249635.5207160995,1247946.1994033067,1246256.8780905139,1244567.5567777213,1242878.2354649282,1241188.9141521356,1239499.592839343,1237810.2715265502,1234453.8963610479,1231097.5211955458,1227741.1460300435,1224384.7708645412,1221028.395699039,1217672.020533537,1214315.6453680347,1210959.2702025324,1207602.8950370303,1204246.519871528,1199587.5596583216,1194928.5994451148,1190269.6392319084,1185610.6790187017,1180951.718805495,1176292.7585922885,1171633.7983790818,1166974.8381658753,1162315.8779526686,1157656.917739462,1151936.2790390467,1146215.6403386313,1140495.001638216,1134774.3629378006,1129053.7242373852,1123333.08553697,1117612.4468365547,1111891.8081361393,1106171.1694357242,1100450.5307353088
p107,18005180131801918021180251802718029180311803718041180431804718051180551806118065180711807718079180811808318093181011810518109181151811718119181231812518129181371813918143181451814718153181551816118163181731817518177,1726881.0,1732651.0,1738128.0,1745915.0,1754347.0,1762511.0,1773951.0,1783302.0,1794291.0,1801246.0,1831238.0,1835241.0,1837861.0,1842802.0,1847302.0,1850358.0,1854512.0,1859080.0,1864838.0,1872041.0,1943338.2258000267,1948901.5252651165,1954464.8247302063,1960028.124195296,1965591.423660386,1971154.7231254757,1976718.0225905655,1982281.3220556553,1987844.621520745,1993407.9209858347,1998971.2204509247,1998550.4531019614,1998129.6857529986,1997708.9184040355,1997288.1510550724,1996867.3837061094,1996446.6163571463,1996025.8490081832,1995605.0816592202,1995184.314310257,1994763.546961294,1988931.0183327207,1983098.4897041474,1977265.9610755742,1971433.4324470006,1965600.9038184274,1959768.375189854,1953935.8465612805,1948103.3179327073,1942270.789304134,1936438.2606755607,1927691.7691059648,1918945.277536369,1910198.785966773,1901452.2943971772,1892705.8028275813,1883959.3112579854,1875212.8196883895,1866466.3281187937,1857719.8365491978,1848973.344979602,1839079.4019177216,1829185.4588558413,1819291.515793961,1809397.5727320805,1799503.6296702004,1789609.6866083199,1779715.7435464396,1769821.8004845593,1759927.857422679,1750033.9143607987,1738459.4187536899,1726884.923146581,1715310.4275394722,1703735.9319323634,1692161.4363252546,1680586.9407181458,1669012.445111037,1657437.9495039282,1645863.4538968196,1634288.9582897108,1621008.154883861,1607727.3514780113,1594446.5480721616,1581165.744666312,1567884.9412604622,1554604.1378546124,1541323.334448763,1528042.5310429132,1514761.7276370635,1501480.9242312138,1487056.582821998,1472632.241412782,1458207.9000035664,1443783.5585943507,1429359.217185135,1414934.8757759193,1400510.5343667034,1386086.1929574877,1371661.851548272,1357237.5101390562
