region,Year,average_total_load
p12,2096,33306.62333333333
p12,2097,33725.833333333336
p12,2098,34153.52
p12,2099,34153.52
p71,2020,7563.075000000001
p71,2021,7175.47
p71,2022,7175.47
p71,2023,7184.655000000001
p71,2024,7563.075000000001
p71,2025,7563.075000000001
p71,2026,7563.075000000001
p71,2027,7175.47
p71,2028,7175.47
p71,2029,7563.075000000001
p71,2030,7563.075000000001
p71,2031,7563.075000000001
p71,2032,7563.075000000001
p71,2033,7175.47
p71,2034,7184.655000000001
p71,2035,7563.075000000001
p71,2036,7563.075000000001
p71,2037,7563.075000000001
p71,2038,7175.47
p71,2039,7175.47
p71,2040,7184.655000000001
p71,2041,7563.075000000001
p71,2042,7563.075000000001
p71,2043,7563.075000000001
p71,2044,7175.47
p71,2045,7184.655000000001
p71,2046,7563.075000000001
p71,2047,7563.075000000001
p71,2048,7563.075000000001
p71,2049,7175.47
p71,2050,7175.47
p71,2051,7184.655000000001
p71,2052,7563.075000000001
p71,2053,7563.075000000001
p71,2054,7563.075000000001
p71,2055,7175.47
p71,2056,7175.47
p71,2057,7563.075000000001
p71,2058,7563.075000000001
p71,2059,7563.075000000001
p71,2060,7563.075000000001
p71,2061,7175.47
p71,2062,7184.655000000001
p71,2063,7563.075000000001
p71,2064,7563.075000000001
p71,2065,7563.075000000001
p71,2066,7175.47
p71,2067,7175.47
p71,2068,7184.655000000001
p71,2069,7563.075000000001
p71,2070,7563.075000000001
p71,2071,7563.075000000001
p71,2072,7175.47
p71,2073,7184.655000000001
p71,2074,7563.075000000001
p71,2075,7563.075000000001
p71,2076,7563.075000000001
p71,2077,7175.47
p71,2078,7175.47
p71,2079,7184.655000000001
p71,2080,7563.075000000001
p71,2081,7563.075000000001
p71,2082,7563.075000000001
p71,2083,7175.47
p71,2084,7175.47
p71,2085,7563.075000000001
p71,2086,7563.075000000001
p71,2087,7563.075000000001
p71,2088,7563.075000000001
p71,2089,7175.47
p71,2090,7184.655000000001
p71,2091,7563.075000000001
p71,2092,7563.075000000001
p71,2093,7563.075000000001
p71,2094,7175.47
p71,2095,7175.47
p71,2096,7184.655000000001
p71,2097,7563.075000000001
p71,2098,7563.075000000001
p71,2099,7563.075000000001
p36,2020,11794.665
p36,2021,11794.665
p36,2022,11475.15
p36,2023,11137.474999999999
p36,2024,11456.99
p36,2025,11794.665
p36,2026,11794.665
p36,2027,11794.665
p36,2028,11475.15
p36,2029,11456.99
p36,2030,11794.665
p36,2031,11794.665
p36,2032,11794.665
p36,2033,11475.15
p36,2034,11137.474999999999
p36,2035,11456.99
p36,2036,11794.665
p36,2037,11794.665
p36,2038,11794.665
p36,2039,11475.15
p36,2040,11137.474999999999
p36,2041,11794.665
p36,2042,11794.665
p36,2043,11794.665
p36,2044,11794.665
p36,2045,11137.474999999999
p36,2046,11456.99
p36,2047,11794.665
p36,2048,11794.665
p36,2049,11794.665
p36,2050,11475.15
p36,2051,11137.474999999999
p36,2052,11456.99
p36,2053,11794.665
p36,2054,11794.665
p36,2055,11794.665
p36,2056,11475.15
p36,2057,11456.99
p36,2058,11794.665
p36,2059,11794.665
p36,2060,11794.665
p36,2061,11475.15
p36,2062,11137.474999999999
p36,2063,11456.99
p36,2064,11794.665
p36,2065,11794.665
p36,2066,11794.665
p36,2067,11475.15
p36,2068,11137.474999999999
p36,2069,11794.665
p36,2070,11794.665
p36,2071,11794.665
p36,2072,11794.665
p36,2073,11137.474999999999
p36,2074,11456.99
p36,2075,11794.665
p36,2076,11794.665
p36,2077,11794.665
p36,2078,11475.15
p36,2079,11137.474999999999
p36,2080,11456.99
p36,2081,11794.665
p36,2082,11794.665
p36,2083,11794.665
p36,2084,11475.15
p36,2085,11456.99
p36,2086,11794.665
p36,2087,11794.665
p36,2088,11794.665
p36,2089,11475.15
p36,2090,11137.474999999999
p36,2091,11456.99
p36,2092,11794.665
p36,2093,11794.665
p36,2094,11794.665
p36,2095,11475.15
p36,2096,11137.474999999999
p36,2097,11794.665
p36,2098,11794.665
p36,2099,11794.665
p3,2020,47073.08
p3,2021,47073.08
p3,2022,42722.22
p3,2023,47073.08
p3,2024,42880.76
p3,2025,47073.08
p3,2026,47073.08
p3,2027,47073.08
p3,2028,47073.08
p3,2029,42880.76
p3,2030,42880.76
p3,2031,47073.08
p3,2032,47073.08
p3,2033,42722.22
p3,2034,47073.08
p3,2035,42880.76
p3,2036,47073.08
p3,2037,47073.08
p3,2038,47073.08
p3,2039,42722.22
p3,2040,42880.76
p3,2041,42880.76
p3,2042,47073.08
p3,2043,47073.08
p3,2044,42722.22
p3,2045,47073.08
p3,2046,42880.76
p3,2047,42880.76
p3,2048,47073.08
p3,2049,47073.08
p3,2050,42722.22
p3,2051,47073.08
p3,2052,42880.76
p3,2053,47073.08
p3,2054,47073.08
p3,2055,47073.08
p3,2056,47073.08
p3,2057,42880.76
p3,2058,42880.76
p3,2059,47073.08
p3,2060,47073.08
p3,2061,42722.22
p3,2062,47073.08
p3,2063,42880.76
p3,2064,47073.08
p3,2065,47073.08
p3,2066,47073.08
p3,2067,42722.22
p3,2068,42880.76
p3,2069,42880.76
p3,2070,47073.08
p3,2071,47073.08
p3,2072,42722.22
p3,2073,47073.08
p3,2074,42880.76
p3,2075,42880.76
p3,2076,47073.08
p3,2077,47073.08
p3,2078,42722.22
p3,2079,47073.08
p3,2080,42880.76
p3,2081,47073.08
p3,2082,47073.08
p3,2083,47073.08
p3,2084,47073.08
p3,2085,42880.76
p3,2086,42880.76
p3,2087,47073.08
p3,2088,47073.08
p3,2089,42722.22
p3,2090,47073.08
p3,2091,42880.76
p3,2092,47073.08
p3,2093,47073.08
p3,2094,47073.08
p3,2095,42722.22
p3,2096,42880.76
p3,2097,42880.76
p3,2098,47073.08
p3,2099,47073.08
p66,2020,71904.99399999999
p66,2021,72266.25600000001
p66,2022,71811.588
p66,2023,72231.208
p66,2024,73074.31999999999
p66,2025,71904.99399999999
p66,2026,71516.55
p66,2027,72266.25600000001
p66,2028,71811.588
p66,2029,73074.31999999999
p66,2030,73074.31999999999
p66,2031,71904.99399999999
p66,2032,72193.872
p66,2033,71811.588
p66,2034,72231.208
p66,2035,73074.31999999999
p66,2036,72396.99799999999
p66,2037,71516.55
p66,2038,72266.25600000001
p66,2039,71811.588
p66,2040,72231.208
p66,2041,73074.31999999999
p66,2042,71904.99399999999
p66,2043,71516.55
p66,2044,72266.25600000001
p66,2045,72231.208
p66,2046,73074.31999999999
p66,2047,73074.31999999999
p66,2048,71904.99399999999
p66,2049,72266.25600000001
p66,2050,71811.588
p66,2051,72231.208
p66,2052,73074.31999999999
p66,2053,71904.99399999999
p66,2054,71516.55
p66,2055,72266.25600000001
p66,2056,71811.588
p66,2057,73074.31999999999
p66,2058,73074.31999999999
p66,2059,71904.99399999999
p66,2060,72193.872
p66,2061,71811.588
p66,2062,72231.208
p66,2063,73074.31999999999
p66,2064,72396.99799999999
p66,2065,71516.55
p66,2066,72266.25600000001
p66,2067,71811.588
p66,2068,72231.208
p66,2069,73074.31999999999
p66,2070,71904.99399999999
p66,2071,71516.55
p66,2072,72266.25600000001
p66,2073,72231.208
p66,2074,73074.31999999999
p66,2075,73074.31999999999
p66,2076,71904.99399999999
p66,2077,72266.25600000001
p66,2078,71811.588
p66,2079,72231.208
p66,2080,73074.31999999999
p66,2081,71904.99399999999
p66,2082,71516.55
p66,2083,72266.25600000001
p66,2084,71811.588
p66,2085,73074.31999999999
p66,2086,73074.31999999999
p66,2087,71904.99399999999
p66,2088,72193.872
p66,2089,71811.588
p66,2090,72231.208
p66,2091,73074.31999999999
p66,2092,72396.99799999999
p66,2093,71516.55
p66,2094,72266.25600000001
p66,2095,71811.588
p66,2096,72231.208
p66,2097,73074.31999999999
p66,2098,71904.99399999999
p66,2099,71516.55
p29,2020,2772.31
p29,2021,2995.77
p29,2022,2708.79
p29,2023,2708.79
p29,2024,2772.31
p29,2025,2772.31
p29,2026,2772.31
p29,2027,2995.77
p29,2028,2708.79
p29,2029,2772.31
p29,2030,2772.31
p29,2031,2772.31
p29,2032,2995.77
p29,2033,2708.79
p29,2034,2708.79
p29,2035,2772.31
p29,2036,2772.31
p29,2037,2772.31
p29,2038,2995.77
p29,2039,2708.79
p29,2040,2772.31
p29,2041,2772.31
p29,2042,2772.31
p29,2043,2772.31
p29,2044,2708.79
p29,2045,2708.79
p29,2046,2772.31
p29,2047,2772.31
p29,2048,2772.31
p29,2049,2995.77
p29,2050,2708.79
p29,2051,2708.79
p29,2052,2772.31
p29,2053,2772.31
p29,2054,2772.31
p29,2055,2995.77
p29,2056,2708.79
p29,2057,2772.31
p29,2058,2772.31
p29,2059,2772.31
p29,2060,2995.77
p29,2061,2708.79
p29,2062,2708.79
p29,2063,2772.31
p29,2064,2772.31
p29,2065,2772.31
p29,2066,2995.77
p29,2067,2708.79
p29,2068,2772.31
p29,2069,2772.31
p29,2070,2772.31
p29,2071,2772.31
p29,2072,2708.79
p29,2073,2708.79
p29,2074,2772.31
p29,2075,2772.31
p29,2076,2772.31
p29,2077,2995.77
p29,2078,2708.79
p29,2079,2708.79
p29,2080,2772.31
p29,2081,2772.31
p29,2082,2772.31
p29,2083,2995.77
p29,2084,2708.79
p29,2085,2772.31
p29,2086,2772.31
p29,2087,2772.31
p29,2088,2995.77
p29,2089,2708.79
p29,2090,2708.79
p29,2091,2772.31
p29,2092,2772.31
p29,2093,2772.31
p29,2094,2995.77
p29,2095,2708.79
p29,2096,2772.31
p29,2097,2772.31
p29,2098,2772.31
p29,2099,2772.31
p23,2020,3972.22
p23,2021,3972.22
p23,2022,3972.22
p23,2023,3800.8
p23,2024,3800.8
p23,2025,3972.22
p23,2026,3972.22
p23,2027,3972.22
p23,2028,3972.22
p23,2029,3800.8
p23,2030,3972.22
p23,2031,3972.22
p23,2032,3972.22
p23,2033,3972.22
p23,2034,3800.8
p23,2035,3800.8
p23,2036,3972.22
p23,2037,3972.22
p23,2038,3972.22
p23,2039,3972.22
p23,2040,3800.8
p23,2041,3972.22
p23,2042,3972.22
p23,2043,3972.22
p23,2044,3972.22
p23,2045,3800.8
p23,2046,3800.8
p23,2047,3972.22
p23,2048,3972.22
p23,2049,3972.22
p23,2050,3972.22
p23,2051,3800.8
p23,2052,3800.8
p23,2053,3972.22
p23,2054,3972.22
p23,2055,3972.22
p23,2056,3972.22
p23,2057,3800.8
p23,2058,3972.22
p23,2059,3972.22
p23,2060,3972.22
p23,2061,3972.22
p23,2062,3800.8
p23,2063,3800.8
p23,2064,3972.22
p23,2065,3972.22
p23,2066,3972.22
p23,2067,3972.22
p23,2068,3800.8
p23,2069,3972.22
p23,2070,3972.22
p23,2071,3972.22
p23,2072,3972.22
p23,2073,3800.8
p23,2074,3800.8
p23,2075,3972.22
p23,2076,3972.22
p23,2077,3972.22
p23,2078,3972.22
p23,2079,3800.8
p23,2080,3800.8
p23,2081,3972.22
p23,2082,3972.22
p23,2083,3972.22
p23,2084,3972.22
p23,2085,3800.8
p23,2086,3972.22
p23,2087,3972.22
p23,2088,3972.22
p23,2089,3972.22
p23,2090,3800.8
p23,2091,3800.8
p23,2092,3972.22
p23,2093,3972.22
p23,2094,3972.22
p23,2095,3972.22
p23,2096,3800.8
p23,2097,3972.22
p23,2098,3972.22
p23,2099,3972.22
p89,2020,178734.1433333333
p89,2021,175191.31333333332
p89,2022,174612.72
p89,2023,174612.72
p89,2024,174897.71666666667
p89,2025,174897.71666666667
p89,2026,175191.31333333332
p89,2027,175191.31333333332
p89,2028,174612.72
p89,2029,178734.1433333333
p89,2030,174897.71666666667
p89,2031,174897.71666666667
p89,2032,175191.31333333332
p89,2033,174612.72
p89,2034,174612.72
p89,2035,178734.1433333333
p89,2036,174897.71666666667
p89,2037,175191.31333333332
p89,2038,175191.31333333332
p89,2039,174612.72
p89,2040,174612.72
p89,2041,174897.71666666667
p89,2042,174897.71666666667
p89,2043,175191.31333333332
p89,2044,175191.31333333332
p89,2045,174612.72
p89,2046,178734.1433333333
p89,2047,174897.71666666667
p89,2048,178734.1433333333
p89,2049,175191.31333333332
p89,2050,174612.72
p89,2051,174612.72
p89,2052,174897.71666666667
p89,2053,174897.71666666667
p89,2054,175191.31333333332
p89,2055,175191.31333333332
p89,2056,174612.72
p89,2057,178734.1433333333
p89,2058,174897.71666666667
p89,2059,174897.71666666667
p89,2060,175191.31333333332
p89,2061,174612.72
p89,2062,174612.72
p89,2063,178734.1433333333
p89,2064,174897.71666666667
p89,2065,175191.31333333332
p89,2066,175191.31333333332
p89,2067,174612.72
p89,2068,174612.72
p89,2069,174897.71666666667
p89,2070,174897.71666666667
p89,2071,175191.31333333332
p89,2072,175191.31333333332
p89,2073,174612.72
p89,2074,178734.1433333333
p89,2075,174897.71666666667
p89,2076,178734.1433333333
p89,2077,175191.31333333332
p89,2078,174612.72
p89,2079,174612.72
p89,2080,174897.71666666667
p89,2081,174897.71666666667
p89,2082,175191.31333333332
