state,lon,lat
Alabama,-86.82684597188518,32.791066936975945
Arizona,-111.66177457611273,34.29546196145547
Arkansas,-92.43991323510524,34.89865978885942
California,-119.60952623888909,37.24552507863916
Colorado,-105.54907890222746,38.9982244631184
Connecticut,-72.72537607634376,41.62189416615089
Delaware,-75.50453401011704,39.00014977768433
District of Columbia,-76.38342132678073,38.91192332290326
Florida,-82.4920134155351,28.655006344853305
Georgia,-83.45004713873531,32.65077192961898
Idaho,-114.66068812796408,44.38822323818524
Illinois,-89.19814140702906,40.063572064995505
Indiana,-86.27660269720795,39.906937792269474
Iowa,-93.49823265639684,42.07268895205469
Kansas,-98.3773563974956,38.48510977493123
Kentucky,-85.2928831269938,37.52681171964234
Louisiana,-92.00905296570292,31.072442888784327
Maine,-69.23477764107089,45.38169807181767
Maryland,-76.80922426614758,39.053373851856165
Massachusetts,-71.81815346477532,42.25982100486218
Michigan,-85.43990324764161,44.34492538892776
Minnesota,-94.30919051308682,46.31702101925233
Mississippi,-89.6657671886857,32.750093777894456
Missouri,-92.47517233977142,38.368784112937504
Montana,-109.64723242365262,47.03282129874505
Nebraska,-99.81285096282514,41.527655326651626
Nevada,-116.65429278214421,39.3539482954103
New Hampshire,-71.57817109521092,43.686633241697905
New Jersey,-74.67334599859551,40.202547393325844
New Mexico,-106.10819085937555,34.422540350089896
New York,-75.51782508206679,42.953525429357356
North Carolina,-79.39441480728448,35.54455542168504
North Dakota,-100.4683697861295,47.4440358733602
Ohio,-82.79112509719297,40.292184120052084
Oklahoma,-97.50820218162642,35.584043283163886
Oregon,-120.55302942307084,43.93637742599263
Pennsylvania,-77.79883677935243,40.873344883779055
Rhode Island,-71.555888543905,41.67922577907835
South Carolina,-80.89998786405954,33.912811857347826
South Dakota,-100.23337777450232,44.43386009318793
Tennessee,-86.34411387188709,35.84315194207431
Texas,-99.359469575486,31.49896472083987
Utah,-111.67772447904808,39.323451398509064
Vermont,-72.66264793623851,44.075529185206726
Virginia,-78.84897810880767,37.51796529333404
Washington,-120.4398664929673,47.378455328743634
West Virginia,-80.61394856137703,38.64284444368717
Wisconsin,-90.01112991833023,44.63367168308025
Wyoming,-107.55096358703913,43.001027720632834
