region,Year,cdd
p39,2020,4257.549023175207
p39,2021,4458.878909911049
p39,2022,4695.176040155708
p39,2023,4942.468897467128
p39,2024,5227.323629743593
p39,2025,5466.841592134991
p39,2026,5747.341278735292
p39,2027,6040.372009322378
p39,2028,6366.009112778093
p39,2029,6626.946754107787
p39,2030,6921.325536815318
p39,2031,7213.249868971074
p39,2032,7546.356424987723
p39,2033,7801.639530924192
p39,2034,8094.587936634546
p39,2035,8388.958185014399
p39,2036,8722.975428252694
p39,2037,8976.90326542421
p39,2038,9269.709208470584
p39,2039,9564.033260068112
p39,2040,9899.225013543151
p39,2041,10152.932130191944
p39,2042,10444.211418052346
p39,2043,10738.196435101656
p39,2044,11078.520432874262
p39,2045,11326.114380011712
p39,2046,11620.2634074882
p39,2047,11912.625773380152
p39,2048,12256.300286245229
p39,2049,12500.178789189196
p39,2050,12795.493240537118
p39,2051,13086.9878566562
p39,2052,13433.94652559205
p39,2053,13675.797071647732
p39,2054,13968.681859396407
p39,2055,14263.89134523576
p39,2056,14611.359774655686
p39,2057,14849.852460392924
p39,2058,15143.505178425565
p39,2059,15437.881884341708
p39,2060,15789.9315677023
p39,2061,16024.697467204209
p39,2062,16318.786767946627
p39,2063,16610.893161642944
p39,2064,16969.50123072659
p39,2065,17199.511103281893
p39,2066,17492.577401090944
p39,2067,17786.708898110825
p39,2068,18146.14137016599
p39,2069,18374.47677803361
p39,2070,18667.219083489905
p39,2071,18961.90483242581
p39,2072,19323.02660920608
p39,2073,19550.39336132328
p39,2074,19841.854710724223
p39,2075,20135.76994771104
p39,2076,20501.96329836141
p39,2077,20724.103844468103
p39,2078,21018.014120584656
p39,2079,21310.08700451146
p39,2080,21679.578509636613
p39,2081,21897.68866420852
p39,2082,22193.36481289481
p39,2083,22484.977321112583
p39,2084,22857.219887929907
p39,2085,23073.44036431961
p39,2086,23366.25537200581
p39,2087,23661.40122025506
p39,2088,24035.282229579912
p39,2089,24247.603173489344
p39,2090,24540.96640955689
p39,2091,24835.525177013587
p39,2092,25213.07637344115
p39,2093,25422.56903956193
p39,2094,25716.776232403
p39,2095,26008.64387473938
p39,2096,26392.667172639896
p39,2097,26597.08461589131
p39,2098,26890.087276110284
p39,2099,27184.580470468525
p91,2020,553.5094449320085
p91,2021,494.2281714079245
p91,2022,442.7643715023973
p91,2023,391.7540984869781
p91,2024,348.1695753344605
p91,2025,297.6951270944906
p91,2026,254.9976841404549
p91,2027,211.3971446848504
p91,2028,175.5818282315234
p91,2029,137.2407953588003
p91,2030,108.30017737246528
p91,2031,86.129007684057
p91,2032,66.17687252353903
p91,2033,48.72772622764853
p91,2034,33.6290419909289
p91,2035,21.392879125111733
p91,2036,10.515383274885837
p91,2037,3.09462759334599
p91,2038,0.1979520968793053
p91,2039,0.0
p91,2040,0.0
p91,2041,0.0
p91,2042,0.0
p91,2043,0.0
p91,2044,0.0
p91,2045,0.0
p91,2046,0.0
p91,2047,0.0
p91,2048,0.0
p91,2049,0.0
p91,2050,0.0
p91,2051,0.0
p91,2052,0.0
p91,2053,0.0
p91,2054,0.0
p91,2055,0.0
p91,2056,0.0
p91,2057,0.0
p91,2058,0.0
p91,2059,0.0
p91,2060,0.0
p91,2061,0.0
p91,2062,0.0
p91,2063,0.0
p91,2064,0.0
p91,2065,0.0
p91,2066,0.0
p91,2067,0.0
p91,2068,0.0
p91,2069,0.0
p91,2070,0.0
p91,2071,0.0
p91,2072,0.0
p91,2073,0.0
p91,2074,0.0
p91,2075,0.0
p91,2076,0.0
p91,2077,0.0
p91,2078,0.0
p91,2079,0.0
p91,2080,0.0
p91,2081,0.0
p91,2082,0.0
p91,2083,0.0
p91,2084,0.0
p91,2085,0.0
p91,2086,0.0
p91,2087,0.0
p91,2088,0.0
p91,2089,0.0
p91,2090,0.0
p91,2091,0.0
p91,2092,0.0
p91,2093,0.0
p91,2094,0.0
p91,2095,0.0
p91,2096,0.0
p91,2097,0.0
p91,2098,0.0
p91,2099,0.0
p34,2020,3737.489327935557
p34,2021,3870.312702114677
p34,2022,4025.7627180821473
p34,2023,4190.31715305607
p34,2024,4382.457803555564
p34,2025,4536.329426557169
p34,2026,4725.199606798864
p34,2027,4922.840481686935
p34,2028,5148.313588998253
p34,2029,5320.684916981247
p34,2030,5520.910059468444
p34,2031,5719.945612900134
p34,2032,5952.315282829
p34,2033,6120.08554666233
p34,2034,6319.099654402485
p34,2035,6519.626422070773
p34,2036,6752.512840988041
p34,2037,6920.542221762673
p34,2038,7118.80919727902
p34,2039,7318.904720185899
p34,2040,7551.936851462075
p34,2041,7721.114171142234
p34,2042,7918.396631580033
p34,2043,8117.970697763584
p34,2044,8354.025945699868
p34,2045,8518.893145337186
p34,2046,8719.408320680612
p34,2047,8917.068946666577
p34,2048,9155.234349176984
p34,2049,9317.196974550834
p34,2050,9518.99135895326
p34,2051,9716.768363346682
p34,2052,9956.56288576224
p34,2053,10116.915831560837
p34,2054,10316.45639440986
p34,2055,10518.407676042025
p34,2056,10757.893095011566
p34,2057,10915.44642856158
p34,2058,11115.502774159297
p34,2059,11316.969081987336
p34,2060,11560.543824954602
p34,2061,11714.985167569272
p34,2062,11915.014526859826
p34,2063,12114.136386902102
p34,2064,12363.896788028544
p34,2065,12514.531497311296
p34,2066,12713.639403783209
p34,2067,12913.92667265882
p34,2068,13164.052618308053
p34,2069,13314.750590735142
p34,2070,13512.93779757944
p34,2071,13713.350670834869
p34,2072,13964.021387357492
p34,2073,14115.218638533604
p34,2074,14312.587405582017
p34,2075,14512.179066736056
p34,2076,14765.845032575891
p34,2077,14913.43289471792
p34,2078,15113.70857126864
p34,2079,15311.173414057965
p34,2080,15566.87802807809
p34,2081,15711.325574851237
p34,2082,15913.437309602225
p34,2083,16111.30811272741
p34,2084,16368.212139668323
p34,2085,16511.106605562814
p34,2086,16710.664763382327
p34,2087,16912.536276342442
p34,2088,17170.123330967926
p34,2089,17309.746679149615
p34,2090,17509.60724155066
p34,2091,17711.159855989335
p34,2092,17972.125330154155
p34,2093,18109.431118218254
p34,2094,18309.554276240564
p34,2095,18508.43663749015
p34,2096,18775.43656534856
p34,2097,18908.739866283773
p34,2098,19107.76800408361
p34,2099,19308.372623307765
Mississippi,2020,1242.8318786159944
Mississippi,2021,1186.9835717121966
Mississippi,2022,1140.3683069388248
Mississippi,2023,1095.7152474853
Mississippi,2024,1062.5367920735407
Mississippi,2025,1008.163118560631
Mississippi,2026,968.6233861356782
Mississippi,2027,925.78088722245
Mississippi,2028,896.3037704682798
Mississippi,2029,846.9200140977675
Mississippi,2030,809.0732635672457
Mississippi,2031,771.5624257729551
Mississippi,2032,744.5330887384938
Mississippi,2033,700.41159304871
Mississippi,2034,663.8144716232309
Mississippi,2035,631.1216015475084
Mississippi,2036,602.67974132477
Mississippi,2037,564.3396545479682
Mississippi,2038,531.1626131772646
Mississippi,2039,499.27059790893327
Mississippi,2040,473.9545397281229
Mississippi,2041,438.2367160419285
Mississippi,2042,408.2551438877472
Mississippi,2043,378.5416311791212
Mississippi,2044,355.9041552844345
Mississippi,2045,321.7147205220997
Mississippi,2046,295.3334027685703
Mississippi,2047,269.0167758077501
Mississippi,2048,245.6124185273985
Mississippi,2049,218.22724726292935
Mississippi,2050,194.5281985495759
Mississippi,2051,172.70480521220907
Mississippi,2052,150.61863960747792
Mississippi,2053,129.76200840828875
Mississippi,2054,110.79641655646503
Mississippi,2055,96.00779308630796
Mississippi,2056,82.24530435822288
Mississippi,2057,66.90018823118731
Mississippi,2058,58.54601650520544
Mississippi,2059,46.42266241649014
Mississippi,2060,38.16639020202911
Mississippi,2061,27.72660770591733
Mississippi,2062,21.0608229091647
Mississippi,2063,13.885724738918045
Mississippi,2064,7.7912782305566
Mississippi,2065,3.625190904160661
Mississippi,2066,1.6741726770917469
Mississippi,2067,0.2537970471457242
Mississippi,2068,0.0
Mississippi,2069,0.0
Mississippi,2070,0.0
Mississippi,2071,0.0
Mississippi,2072,0.0
Mississippi,2073,0.0
Mississippi,2074,0.0
Mississippi,2075,0.0
Mississippi,2076,0.0
Mississippi,2077,0.0
Mississippi,2078,0.0
Mississippi,2079,0.0
Mississippi,2080,0.0
Mississippi,2081,0.0
Mississippi,2082,0.0
Mississippi,2083,0.0
Mississippi,2084,0.0
Mississippi,2085,0.0
Mississippi,2086,0.0
Mississippi,2087,0.0
Mississippi,2088,0.0
Mississippi,2089,0.0
Mississippi,2090,0.0
Mississippi,2091,0.0
Mississippi,2092,0.0
Mississippi,2093,0.0
Mississippi,2094,0.0
