region,Year,number_of_days
p99,2045,4
p99,2046,13
p99,2047,23
p99,2048,37
p99,2049,49
p99,2050,63
p99,2051,69
p99,2052,79
p99,2053,84
p99,2054,91
p99,2055,97
p99,2056,102
p99,2057,108
p99,2058,109
p99,2059,115
p99,2060,117
p99,2061,121
p99,2062,127
p99,2063,130
p99,2064,134
p99,2065,137
p99,2066,138
p99,2067,149
p99,2068,150
p99,2069,154
p99,2070,158
p99,2071,166
p99,2072,170
p99,2073,172
p99,2074,177
p99,2075,179
p99,2076,181
p99,2077,185
p99,2078,189
p99,2079,194
p99,2080,192
p99,2081,196
p99,2082,201
p99,2083,203
p99,2084,206
p99,2085,211
p99,2086,213
p99,2087,214
p99,2088,221
p99,2089,223
p99,2090,228
p99,2091,229
p99,2092,234
p99,2093,240
p99,2094,240
p99,2095,245
p99,2096,254
p99,2097,253
p99,2098,260
p99,2099,265
West Virginia,2042,6
West Virginia,2043,20
West Virginia,2044,29
West Virginia,2045,46
West Virginia,2046,60
West Virginia,2047,78
West Virginia,2048,85
West Virginia,2049,90
West Virginia,2050,97
West Virginia,2051,103
West Virginia,2052,107
West Virginia,2053,111
West Virginia,2054,116
West Virginia,2055,119
West Virginia,2056,123
West Virginia,2057,128
West Virginia,2058,131
West Virginia,2059,137
West Virginia,2060,143
West Virginia,2061,144
West Virginia,2062,151
West Virginia,2063,153
West Virginia,2064,160
West Virginia,2065,164
West Virginia,2066,166
West Virginia,2067,174
West Virginia,2068,174
West Virginia,2069,181
West Virginia,2070,179
West Virginia,2071,185
West Virginia,2072,187
West Virginia,2073,188
West Virginia,2074,197
West Virginia,2075,198
West Virginia,2076,200
West Virginia,2077,204
West Virginia,2078,209
West Virginia,2079,212
West Virginia,2080,213
West Virginia,2081,219
West Virginia,2082,222
West Virginia,2083,225
West Virginia,2084,230
West Virginia,2085,233
West Virginia,2086,238
West Virginia,2087,240
West Virginia,2088,247
West Virginia,2089,249
West Virginia,2090,254
West Virginia,2091,258
West Virginia,2092,261
West Virginia,2093,263
West Virginia,2094,268
West Virginia,2095,270
West Virginia,2096,277
West Virginia,2097,281
West Virginia,2098,286
West Virginia,2099,296
Maryland,2056,4
