WKT,state
"POLYGON ((-9511689.284899998 4055827.72029999, -9482750.637800001 3878379.177199988, -9480097.166199997 3875026.557100002, -9480461.067100003 3870725.842200004, -9477210.679400006 3865619.927499998, -9471038.600400001 3842975.026299999, -9462338.083900003 3830334.456899997, -9461373.925100002 3823866.176200009, -9458755.9956 3819836.633999999, -9462139.705899997 3807631.186700006, -9450836.709199999 3797821.959900007, -9468467.356000006 3781017.514000002, -9468019.042400004 3765702.979900001, -9476622.059299996 3748222.294900005, -9477471.199399998 3743060.929299996, -9475930.752699999 3723753.135400003, -9468632.876599999 3711844.105700002, -9467597.721299997 3700120.655199999, -9472643.037799995 3670511.680499995, -9474619.620599998 3667931.781599998, -9473704.946999999 3658449.521799994, -9472574.830399996 3653992.224299996, -9465625.080000002 3645299.581100004, -9462406.741599999 3632291.066400009, -9747231.403000003 3632469.754200002, -9751022.689999999 3630583.620399987, -9750684.588500004 3626935.799500006, -9754854.126999998 3614349.638400003, -9741359.231600003 3597556.572500001, -9729762.463199995 3589279.483799997, -9728803.534900002 3584877.758500004, -9733893.907200003 3572167.570800003, -9729579.090200003 3556867.730099998, -9740772.998400001 3547224.076999995, -9742531.688400002 3541431.854899998, -9758362.303900003 3535670.569200004, -9772486.089299999 3534845.856799993, -9769691.459499996 3538239.813699997, -9769500.993699998 3541710.819500008, -9785992.294000003 3557516.049500005, -9787919.777799999 3565130.155700005, -9785322.781099997 3574095.661100008, -9787537.807200005 3586043.273100017, -9791027.890799999 3589811.093500007, -9798067.964500001 3592916.780799999, -9802257.119200001 3586458.460099998, -9807397.629399996 3566864.540100004, -9808754.578100003 3550144.329400005, -9811927.354599996 3546934.941900006, -9817299.495699998 3545967.893099998, -9818437.497100001 3550115.869999995, -9826723.442500001 3552943.1304, -9830873.853399994 3552150.494400003, -9832719.759000003 3554931.389500001, -9840585.446800001 3553103.248099994, -9847868.466399997 3725638.816399997, -9848157.569900006 3755701.018799992, -9807542.076699998 4143581.105199995, -9807464.329999998 4148275.021500004, -9813137.400099996 4153236.799599996, -9818279.955100002 4162275.301100007, -9814787.692400001 4164894.599499993, -9530427.6929 4161829.591200009, -9519397.735499997 4097757.860799993, -9511689.284899998 4055827.72029999), (-9569609.863556186 4055586.902781665, -9559400.078700004 4055700.601300004, -9556323.617000002 4056796.648199997, -9569609.863556186 4055586.902781665))",Alabama
"POLYGON ((-12296282.51149997 3676042.674900007, -12364856.62510005 3676650.184999993, -12616425.54769998 3771596.944799996, -12776873.44600005 3827448.208899998, -12779968.55709996 3830452.679300009, -12779473.12720005 3843060.966199997, -12773114.48260001 3851419.250900009, -12770736.25340001 3858208.990799995, -12768025.87390002 3860618.636200005, -12754673.00709997 3860923.219300007, -12750121.27609997 3863717.0377, -12748576.61040004 3869135.990999996, -12743011.58689997 3874340.299899997, -12742164.97779997 3881988.622800003, -12744246.31509998 3891692.013399997, -12748491.27060002 3899244.694799997, -12760915.67449998 3900202.212400002, -12765147.49719998 3901939.219200002, -12768216.42810001 3907150.729400001, -12765874.76639995 3925662.729800003, -12766362.59130001 3930224.031099997, -12770055.91419995 3933206.417099993, -12768338.22089997 3941955.589000002, -12770469.13520003 3948604.589400002, -12763386.44719998 3950362.417599996, -12750293.66140003 3968750.479099996, -12748915.34040006 3984611.224100002, -12746064.50700005 3988340.967800008, -12748655.46869997 4003278.445600007, -12748722.05540004 4008006.973300008, -12746732.96139999 4011615.421299998, -12749624.65110005 4019300.703999997, -12739783.66140003 4031318.822999999, -12738088.69080004 4041110.987800004, -12716372.20190002 4054279.325000013, -12705939.67700005 4064722.121299992, -12705390.0329 4069603.884800007, -12711425.09339996 4076560.894899998, -12728560.73050001 4089367.706699994, -12732512.69689996 4090428.692700005, -12733303.29169997 4101049.880899997, -12737856.17409995 4108469.957599998, -12742643.74520002 4123336.788400001, -12751517.62880005 4131897.863899995, -12761209.8107 4149219.896799997, -12761539.78139998 4167101.062700007, -12758163.40310005 4172649.761200008, -12760389.56410003 4177285.950300002, -12754024.91270005 4185059.47519999, -12754296.91929998 4190950.923799993, -12757762.65299998 4212038.046699995, -12765815.24759999 4231976.841900005, -12763766.44639996 4247941.841600002, -12766635.61659996 4252817.993400011, -12768428.21819994 4262323.204699995, -12768673.08899998 4275619.242799993, -12768167.41279995 4280114.088400006, -12765504.58949995 4283788.700400007, -12771725.8938 4294001.148199996, -12773546.49429997 4313154.323700002, -12755110.08549999 4320933.009700002, -12741083.41000003 4318745.973700002, -12732113.00399999 4319892.898000009, -12718539.68690002 4303422.817099995, -12706657.48759996 4305853.354199995, -12698077.10560005 4324868.304799988, -12695631.82170003 4334531.059099996, -12696058.70189998 4440816.149899997, -12691814.22419999 4439166.661900003, -12528810.00709995 4438368.2232, -12246397.17990003 4438881.818099993, -12147509.55919994 4439017.390799997, -12138618.30629999 4440668.939800005, -12139049.0292 3999062.142999993, -12139329.0192 3676044.156900001, -12276498.51740004 3676076.155900004, -12282690.22109998 3674208.195400001, -12296282.51149997 3676042.674900007))",Arizona
"MULTIPOLYGON (((-10079179.0321 4122243.5997, -10074566.63490001 4123136.213000008, -10071077.2777 4120857.701300005, -10076817.7616 4113713.013100003, -10079779.4814 4114458.917699995, -10079179.0321 4122243.5997)), ((-10516411.2566 4053342.723500004, -10512193.8832 4216773.634300009, -10532810.5026 4370849.450799995, -10301497.1646 4369041.253800003, -10042343.8183 4369336.897400006, -10035697.998 4366738.928999995, -10033858.36319999 4359947.260600001, -10027000.0653 4354684.728699995, -10027580.8484 4339468.476100001, -10043533.8395 4325075.705799995, -10045836.3755 4319762.432200002, -10053763.7175 4312676.102799999, -10058599.6843 4300852.093399999, -9992093.535899997 4300695.311399995, -9988193.8365 4299359.692500004, -9980331.429599995 4290135.682500002, -9979727.050900003 4286478.368100013, -9987906.299599998 4287586.071900011, -9992158.609100003 4285829.103299998, -9993180.441500003 4282381.42170001, -9986558.494699998 4275884.402399997, -9993043.896199996 4274323.788600001, -10001147.3835 4266844.987499989, -10004939.7476 4265515.053399996, -10008860.7269 4267291.466899995, -10013378.4515 4263878.325400001, -10013680.4267 4258518.698500004, -10009840.17 4253467.787799994, -10004414.8796 4254251.564999999, -10003521.9281 4250363.526200004, -10012598.3067 4245723.351699995, -10012571.8479 4240747.075399995, -10008849.1703 4237694.074100007, -10009856.8355 4234371.94560001, -10019614.2071 4240152.736200005, -10023056.9588 4237910.585600008, -10024171.0882 4233607.211000006, -10021744.2217 4228152.889799998, -10024378.8775 4218766.274299995, -10026927.254 4223215.805899994, -10026734.204 4227249.418000001, -10029715.6429 4228961.519999999, -10037786.8942 4220144.0862, -10037949.9217 4215589.967299991, -10034417.45399999 4215846.345, -10034123.3438 4219530.175799995, -10028202.1059 4216836.732100006, -10031973.9915 4205256.773100007, -10035621.27019999 4204772.976600001, -10036766.5632 4200615.908999999, -10029265.168 4197155.118799997, -10027596.47560001 4192959.872599995, -10030570.40089999 4190250.730700004, -10030067.3996 4186387.068599995, -10026458.7285 4183203.903000004, -10029953.4477 4180025.713200002, -10035386.8415 4181801.544099994, -10037899.8138 4180016.214599993, -10040493.8305 4170082.651099998, -10043195.4083 4167685.359300003, -10051834.3246 4168319.197999991, -10050524.6305 4159842.207000004, -10046758.60330001 4156682.151899997, -10047291.2602 4150925.501399997, -10053630.1496 4144243.647700004, -10063165.3908 4141736.750199995, -10066007.2282 4141849.2152, -10069283.4108 4148943.722299993, -10072337.16789999 4145684.546999999, -10070172.7969 4140492.027200004, -10071298.0074 4135588.642999991, -10069696.1724 4128973.935900003, -10073708.0185 4126457.996999996, -10076944.8521 4128577.936100006, -10081036.4978 4127805.906799993, -10079179.0321 4122243.5997, -10083702.81119999 4119820.534100007, -10083490.9404 4110410.1091, -10079320.2551 4102925.718500001, -10084350.2903 4093650.232099995, -10082170.3866 4086754.075399993, -10087240.567 4081574.303599993, -10095137.2186 4077838.651099996, -10103287.5243 4077366.24000001, -10101885.5308 4071747.477000004, -10103799.3765 4066765.1408, -10111291.0441 4064339.913400004, -10112961.4409 4058459.583900001, -10116891.34259999 4058093.312099997, -10119837.1402 4061110.471900001, -10122669.7377 4058939.335799993, -10119490.6962 4054525.361100002, -10108920.6082 4051511.734999996, -10111849.1582 4047651.328699999, -10118949.5307 4050708.416399996, -10125159.958 4046206.116599989, -10121952.4833 4042087.123899993, -10116869.609 4040737.303200004, -10118034.3611 4033166.252100005, -10127635.4519 4029932.416599995, -10126169.5129 4025193.625200002, -10129311.9822 4024099.614200009, -10131976.8307 4028322.125799997, -10137967.7714 4026656.290700009, -10138735.0786 4023210.60549999, -10132075.9852 4019651.411799998, -10138086.8172 4009768.6422, -10134974.5752 4003933.029800001, -10129184.5463 3999399.752799993, -10132133.01729999 3997151.465899998, -10143763.1854 3998981.432899992, -10146167.3114 3994544.534300006, -10144446.5322 3990147.715000012, -10136340.902 3989802.385500001, -10134601.7832 3985281.748700005, -10140857.79350001 3983436.081799992, -10148081.3612 3989144.702400008, -10152815.18 3988421.1158, -10154263.8766 3983951.154700004, -10145275.2476 3977017.706800002, -10147313.5259 3972945.616799995, -10155077.6237 3970167.831600003, -10150305.1963 3961064.777899993, -10155731.20039999 3955133.704599997, -10151963.0458 3951794.766900007, -10149934.7004 3946415.854099992, -10142728.9682 3946133.181599991, -10145854.8832 3940542.757500007, -10143526.1089 3930596.338800006, -10140600.40149999 3928720.952799991, -10138720.6036 3932790.292900003, -10135616.3637 3930268.159000002, -10139832.2461 3921810.626500002, -10139908.0457 3915457.539800006, -10143430.95699999 3912534.886500003, -10147872.3463 3913605.617500001, -10152028.2218 3911899.7144, -10143836.0183 3901821.986199993, -10148915.6049 3894949.263499992, -10468500.8131 3897874.323799996, -10468831.108 3959832.925399992, -10471708.9095 3970876.796300008, -10476752.4871 3970367.897100003, -10483409.0866 3973868.304000001, -10490678.677 3969395.157100003, -10491434.69989999 3972792.070600009, -10506145.1127 3967907.275699998, -10507706.3351 3971461.236000003, -10515635.4618 3975270.3256, -10514804.2929 3979864.608099998, -10518075.3915 3981401.52070001, -10516411.2566 4053342.723500004), (-10076944.8521 4128577.936100006, -10075015.77629999 4132830.079399997, -10077554.14 4136547.913500004, -10079317.2611 4132590.943100003, -10076944.8521 4128577.936100006), (-10445963.8441 3995098.549400001, -10459970.4598 3997105.909100006, -10455521.9743 3995261.9411, -10445963.8441 3995098.549400001), (-10460509.3212 4001442.318400005, -10470604.20127382 4018006.389626089, -10470318.6781 4015670.100999998, -10460509.3212 4001442.318400005)), ((-10151963.0458 3951794.766900007, -10149312.5949 3955962.8504, -10150305.1963 3961064.777899993, -10144476.15570001 3958570.025399994, -10143941.5267 3954137.010900012, -10151963.0458 3951794.766900007)), ((-10095137.2186 4077838.651099996, -10092223.4194 4072277.314800004, -10095480.366 4072501.487199999, -10095137.2186 4077838.651099996)), ((-10142728.9682 3946133.181599991, -10140736.8685 3952226.258000002, -10138268.8157 3955567.915599999, -10137563.0302 3950692.958, -10142728.9682 3946133.181599991)))",Arkansas
"MULTIPOLYGON (((-13683677.7125 4584750.703200004, -13692743.56320005 4579315.766400007, -13687108.61449998 4598528.019699997, -13689520.51540004 4616424.714899994, -13697629.70820002 4624357.418699997, -13703114.13480001 4636485.1424, -13709644.13150005 4645385.115499993, -13727821.79419997 4658828.902699989, -13741933.61330001 4678951.373199997, -13773228.82769999 4711103.494500003, -13774224.30509997 4714649.958400016, -13770182.16679999 4721576.442500005, -13769418.80090004 4727634.236999999, -13771393.01070004 4736514.324100002, -13778099.59460004 4751070.423499994, -13783870.50340004 4773730.788800006, -13781959.51359997 4790086.759599999, -13777766.73270001 4801917.991100003, -13780377.18149995 4818512.039599996, -13785159.85149995 4828943.777200006, -13786978.6775 4840631.746100009, -13793065.05049995 4846349.58039999, -13805696.50229999 4865393.687299995, -13812138.09859997 4870428.3961, -13813159.83769996 4876575.920500002, -13816567.45920002 4881107.579600001, -13823782.06599996 4884688.893900008, -13843663.76959994 4904525.318300002, -13844696.75950004 4921428.38159999, -13848954.9795 4929957.2234, -13846343.01810005 4940579.069399997, -13833646.56680002 4968420.069199992, -13830787.44329995 4967351.965499997, -13827875.20880004 4969610.326999994, -13829738.97100002 4973743.964799996, -13822864.79700002 4986524.936200004, -13816696.77189997 4984635.692900003, -13813176.88709995 4988991.544000002, -13821087.7532 4993008.8464, -13816748.93110001 5017179.114900003, -13819802.73350001 5020384.7624, -13821648.01420001 5027690.403499995, -13815968.08460001 5045231.910100009, -13810741.67230001 5077126.27960001, -13813059.83459995 5092010.142399995, -13821144.72330004 5120925.99409999, -13831520.76030005 5127516.074000001, -13827009.5916 5143252.346599998, -13827126.97119997 5160522.7088, -13756022.12590002 5161005.829899992, -13751961.4825 5159223.438999992, -13746940.4976 5161063.475299995, -13456238.48129995 5161162.476899996, -13357907.67139997 5160242.254599993, -13359192.35869997 4825661.278599998, -13358473.27269996 4818437.560000003, -13358450.46119997 4721609.77970001, -13314852.74999995 4683015.5708, -13312339.43909997 4678573.733300003, -13308465.46179999 4677354.897199993, -13219121.96349999 4597359.3111, -13010067.96399995 4404309.093799995, -12876687.32149999 4277214.775799992, -12766276.07720003 4169437.96720001, -12761539.78139998 4167101.062700007, -12760324.58739995 4145497.904399996, -12756899.34879999 4142534.357099993, -12751517.62880005 4131897.863899995, -12742643.74520002 4123336.788400001, -12737856.17409995 4108469.957599998, -12733303.29169997 4101049.880899997, -12732512.69689996 4090428.692700005, -12728560.73050001 4089367.706699994, -12711425.09339996 4076560.894899998, -12705390.0329 4069603.884800007, -12705939.67700005 4064722.121299992, -12716372.20190002 4054279.325000013, -12738088.69080004 4041110.987800004, -12739783.66140003 4031318.822999999, -12749624.65110005 4019300.703999997, -12746732.96139999 4011615.421299998, -12748722.05540004 4008006.973300008, -12748655.46869997 4003278.445600007, -12746064.50700005 3988340.967800008, -12748915.34040006 3984611.224100002, -12750293.66140003 3968750.479099996, -12763386.44719998 3950362.417599996, -12770469.13520003 3948604.589400002, -12768338.22089997 3941955.589000002, -12770055.91419995 3933206.417099993, -12766362.59130001 3930224.031099997, -12765874.76639995 3925662.729800003, -12768216.42810001 3907150.729400001, -12765147.49719998 3901939.219200002, -12760915.67449998 3900202.212400002, -12748491.27060002 3899244.694799997, -12744246.31509998 3891692.013399997, -12742164.97779997 3881988.622800003, -12743011.58689997 3874340.299899997, -12748576.61040004 3869135.990999996, -12750121.27609997 3863717.0377, -12760091.14769998 3859638.051500006, -12768025.87390002 3860618.636200005, -12770736.25340001 3858208.990799995, -12925696.48009997 3844881.29100001, -12942009.59409998 3841087.516900006, -12949666.08800006 3842448.242299994, -13038241.74139995 3832605.91279999, -13039168.85250005 3844708.988099992, -13036328.36790004 3843596.962200004, -13037846.07119999 3850996.204100005, -13043344.25250004 3856583.780900004, -13042674.10219998 3852007.120200005, -13050554.30110001 3853790.5265, -13052728.00520003 3860645.191200004, -13051845.80890001 3865262.3894, -13054667.65009999 3870639.376700007, -13054979.41010002 3874748.348999998, -13052600.61769998 3879257.758000003, -13053261.98360002 3885119.877399991, -13060999.99340001 3911363.165200009, -13079370.79690001 3938175.813799988, -13089566.32710005 3946504.470099994, -13091246.99440004 3950220.969199997, -13102514.53379999 3956631.9921, -13113434.46989995 3968071.366600004, -13128168.82290005 3976668.782200005, -13151422.00099996 3996050.674199995, -13156062.3605 3996751.038700005, -13157444.2287 3993759.285500009, -13163469.11649995 3996399.709999993, -13167701.88230002 3989540.9582, -13181376.43080004 3994684.833599998, -13182756.80779999 3997782.674999999, -13180415.4488 4002056.426400005, -13180158.27639997 4009107.6289, -13187132.81259996 4025904.153299998, -13192526.31669997 4031659.682600003, -13196506.00630005 4033755.994699991, -13207219.89759995 4033854.032600009, -13226378.49660005 4030028.827100003, -13232088.98500004 4033597.740899993, -13260099.85489998 4041883.066600007, -13271102.72339997 4048864.346199997, -13278585.48000005 4064966.781999998, -13292620.02010003 4074106.870899994, -13298996.5066 4080628.860900001, -13315506.87619995 4085209.893900005, -13326689.57560002 4082164.685800002, -13335020.85920001 4084700.603899998, -13344669.51540004 4083899.294500003, -13357965.54779996 4090033.357099998, -13374136.07000001 4092513.337500004, -13409480.01109996 4089121.865099994, -13417549.59229995 4100817.08930001, -13429702.65260004 4105935.064800009, -13425699.08500003 4121430.036100005, -13428935.95479998 4131731.2862, -13426418.11909999 4143703.412199998, -13431902.65109995 4150705.665500002, -13428637.63040003 4170588.2138, -13429602.7974 4181834.250599999, -13439143.04609999 4188048.942100006, -13442986.76269998 4186357.568200005, -13445914.36569994 4187777.846100005, -13457102.04440002 4196197.379499998, -13456455.60460003 4203596.969299993, -13451754.46319995 4210650.680599999, -13458086.50690003 4223990.619400001, -13469761.78109998 4227303.133800003, -13479234.75790004 4236836.048199994, -13488611.28470004 4250659.247099999, -13500567.13189998 4254929.235499998, -13507392.20199996 4271361.249300005, -13521190.21680002 4286119.946300001, -13526785.58589999 4301260.946699996, -13533361.82880004 4304085.937200011, -13544366.82959995 4322203.476899995, -13561682.50200003 4334272.380800007, -13568550.98270004 4341868.026099999, -13574526.49729998 4367784.577100013, -13573140.90269995 4374748.501499989, -13577338.30629995 4382053.360600005, -13574135.65329998 4387055.020000001, -13565739.36980004 4384929.30600001, -13562389.91030003 4389603.465499997, -13557910.86659997 4413206.5969, -13566524.67510005 4430751.421900004, -13570076.84270001 4434337.093500005, -13574855.15810005 4435236.547300001, -13586787.45180004 4432124.222599998, -13595246.69949997 4434358.1667, -13605838.45779998 4443231.464699998, -13612345.32580004 4452652.863400008, -13624448.97280005 4464733.03739999, -13627144.34010004 4475142.243900004, -13626088.86230003 4489446.734300004, -13630982.44210003 4504943.231100005, -13638504.35389999 4513821.338100007, -13635998.71830001 4528809.093000012, -13637674.04080003 4547644.323700001, -13633472.33320001 4552139.738499986, -13624785.67699995 4550808.687899994, -13622667.24359996 4540575.553399991, -13624267.45560004 4529021.1889, -13620086.44460001 4521886.582699998, -13609230.74889996 4518295.359300001, -13609019.30589999 4514368.24580001, -13605415.52900002 4514956.165299995, -13599366.88560003 4509523.685000006, -13594265.49409994 4509572.909500004, -13593992.46460002 4514432.306400002, -13599539.74609995 4533341.551199997, -13616312.33340004 4548814.664999993, -13617049.86180005 4553109.425199992, -13614547.99140006 4556675.2723, -13617149.12600002 4566015.000799987, -13626396.23810002 4569203.30569999, -13627823.77579995 4573425.6068, -13613595.42430003 4581997.628399998, -13607818.46369996 4589119.913100008, -13611563.38939996 4590138.326200007, -13619964.45949997 4598424.557700003, -13626803.6951 4599143.200000006, -13634615.5256 4594804.982700003, -13636493.12859999 4582662.684299993, -13632045.94969997 4578779.361299998, -13637119.18389999 4574835.721100007, -13632574.94679999 4562521.058999998, -13637688.40980001 4563486.726500003, -13634540.60209998 4558799.448099995, -13635401.47969995 4554872.532399986, -13639483.06509999 4554353.708200008, -13657309.27859996 4568707.236899998, -13660036.64179995 4565406.348099997, -13672287.41530003 4578491.180100006, -13683677.7125 4584750.703200004), (-13683677.7125 4584750.703200004, -13684493.70709996 4589972.639299997, -13687200.4919 4588180.569599994, -13683677.7125 4584750.703200004), (-13051845.80890001 3865262.3894, -13047131.50819995 3864144.764300004, -13048636.52480002 3867820.470799993, -13051845.80890001 3865262.3894), (-13594265.49409994 4509572.909500004, -13593773.52119999 4504370.792799998, -13589379.24409998 4501752.062399991, -13585002.32909997 4505414.176099996, -13588874.42229998 4509133.789899996, -13594265.49409994 4509572.909500004), (-13466498.02787768 4898135.595909083, -13462694.65549995 4896076.298600011, -13456119.12829995 4894809.670900004, -13466498.02787768 4898135.595909083), (-13582828.60790005 4588640.128899997, -13576679.77579996 4586317.576100003, -13571141.22399999 4588563.722699999, -13578852.27220005 4590437.193299999, -13580910.78610001 4593571.032699996, -13580858.54729997 4598027.786399999, -13584821.2571 4598314.301000002, -13593657.63719998 4588914.590000005, -13595321.59870005 4584287.486500008, -13582828.60790005 4588640.128899997)), ((-13191513.69370003 3953608.331100003, -13196331.14820003 3952916.388100004, -13199857.24509997 3954761.478600004, -13200619.65959998 3958317.983400001, -13195687.93530004 3958079.627200008, -13191513.69370003 3953608.331100003)), ((-13191513.69370003 3953608.331100003, -13186944.49769996 3953548.535999996, -13177261.11980005 3949031.340199994, -13169843.27569998 3938132.948400001, -13172619.87410001 3935637.358599999, -13186495.67459996 3938466.735900004, -13189462.5521 3941681.341200004, -13191513.69370003 3953608.331100003)), ((-13179969.92729995 3871459.3085, -13182957.11579995 3869845.085600008, -13191506.88750002 3876512.403199999, -13202480.86110001 3898896.659900005, -13198947.27010004 3898280.556199997, -13192038.57339999 3887886.409400003, -13176623.02539997 3872967.131899996, -13179969.92729995 3871459.3085)), ((-13295613.08420006 3925492.747599994, -13298976.51999995 3923958.215399996, -13305079.20409997 3925575.572400005, -13308749.77610001 3927357.523500002, -13310556.48529999 3931380.322400005, -13304223.54970002 3932012.416300002, -13295613.08420006 3925492.747599994)), ((-13324858.49760004 4033116.488400004, -13315982.40689998 4031256.294200013, -13313727.39940004 4034607.936999995, -13309119.62039997 4035368.845200001, -13305751.62959999 4033365.025500007, -13311955.89890001 4027797.899599995, -13328542.20279999 4023689.568300003, -13337525.20679998 4023772.141399991, -13341630.50890002 4024955.571200004, -13345113.04580005 4028847.911000008, -13346328.02710003 4034659.03549999, -13349398.34899999 4037748.285899999, -13331530.2581 4036107.988899995, -13324858.49760004 4033116.488400004)), ((-13363960.55889997 4033078.204199996, -13363258.54080003 4028946.123199994, -13357061.70769999 4025808.138100006, -13355199.01099998 4021582.958099999, -13369890.89040002 4015748.342100003, -13372712.39929997 4015325.571199994, -13378484.3052 4019464.811499999, -13383979.78979998 4028725.815700002, -13363960.55889997 4033078.204199996)), ((-13392661.58060001 4032420.790099994, -13400101.21090003 4031535.384400005, -13403527.96290004 4034686.718600002, -13399590.89359996 4037220.044799997, -13392661.58060001 4032420.790099994)), ((-13582828.60790005 4588640.128899997, -13584621.80219996 4591454.245599995, -13580910.78610001 4593571.032699996, -13582828.60790005 4588640.128899997)))",California
"POLYGON ((-11358658.1022 4438522.520000014, -12133896.57990005 4438957.523700002, -12138618.30629999 4440668.939800005, -12138494.98950002 4601731.321899997, -12140509.49940004 4618415.887400012, -12140511.38939995 4649916.189300004, -12139396.11209997 5012327.931799995, -11361143.71670002 5012351.483099986, -11360347.3205 4865286.896200001, -11360306.96459997 4805261.851499996, -11358658.1022 4438522.520000014))",Colorado
"POLYGON ((-7992588.341199998 5161166.512500014, -7992067.267899993 5085045.201899999, -7994007.607199996 5074603.182100003, -7997105.202200003 5071889.9676, -7996375.918500002 5060539.461499997, -8000507.550200001 5059164.706200005, -8002288.871799998 5062450.154200001, -8011364.232699997 5062979.574900001, -8015030.527400001 5059830.683100001, -8020056.571 5061048.672999999, -8029647.767000004 5056737.828500008, -8035295.234700003 5059858.814599989, -8039192.415000003 5056327.271999994, -8048212.675299996 5053646.057500001, -8054539.131000001 5054539.663499997, -8056850.988299998 5051351.835499994, -8062461.332700005 5053232.171199994, -8071153.406099995 5050934.844699999, -8085090.327500003 5052158.02880001, -8114584.106200004 5049035.858500007, -8115879.513500004 5054396.879800005, -8125127.695999997 5046022.008699999, -8135028.411100005 5040818.351900002, -8139129.133 5035327.114299997, -8146469.332899998 5037022.669100011, -8153097.562700002 5032268.470999997, -8168020.251799996 5027777.464199994, -8175324.619599998 5021548.106999996, -8198747.689200004 5012063.8907, -8206666.481000002 5026119.215799997, -8180433.475600002 5043760.866400007, -8187355.263100004 5056682.556700007, -8187379.4564 5061270.567100007, -8179585.861900001 5168602.614700003, -8106449.429199998 5166456.510100004, -8104426.996199996 5160827.784000006, -8093360.9664 5166454.760999998, -7996460.309099996 5164553.224000009, -7992588.341199998 5161166.512500014))",Connecticut
"POLYGON ((-8403480.946100006 4841423.613299999, -8394110.696900003 4837740.2656, -8399336.648299996 4832559.078799997, -8410249.157500003 4812939.8553, -8410320.312699996 4808279.605100002, -8407435.611200001 4804320.594199997, -8411661.424899997 4801876.692199998, -8414749.531399999 4789257.948699993, -8394664.5602 4759237.770699999, -8393128.300800001 4730399.996400001, -8384898.1271 4720795.330400006, -8382636.912100001 4709162.980099991, -8371162.062700001 4695466.397200009, -8367169.033600004 4692036.0757, -8359938.575499999 4691221.6237, -8358011.477000004 4687516.067399994, -8357651.982699997 4676531.719700001, -8361583.766299997 4677954.157799997, -8364314.9394 4676110.623000001, -8364806.061799998 4670873.162199999, -8361818.334499999 4667606.6848, -8367065.479800004 4665314.771199995, -8368896.502500004 4661061.374799998, -8363749.680399998 4663399.229599998, -8360227.713300003 4660586.186699999, -8356009.019099999 4661531.287799999, -8356040.694699995 4642544.428599998, -8425945.915899999 4644950.692400012, -8436189.682200002 4825443.430999991, -8428862.220199995 4835623.162400014, -8421191.108899999 4840670.4295, -8403480.946100006 4841423.613299999))",Delaware
