region,Year,average_total_load
p31,2020,51459.04
p31,2021,51459.04
p31,2022,51459.04
p31,2023,51459.04
p31,2024,51459.04
p31,2025,51459.04
p31,2026,51459.04
p31,2027,51459.04
p31,2028,51459.04
p31,2029,51459.04
p31,2030,51459.04
p31,2031,51459.04
p31,2032,51459.04
p31,2033,51459.04
p31,2034,51459.04
p31,2035,51459.04
p31,2036,51459.04
p31,2037,51459.04
p31,2038,51459.04
p31,2039,51459.04
p31,2040,51459.04
p31,2041,51459.04
p31,2042,51459.04
p31,2043,51459.04
p31,2044,51459.04
p31,2045,51459.04
p31,2046,51459.04
p31,2047,51459.04
p31,2048,51459.04
p31,2049,51459.04
p31,2050,51459.04
p31,2051,51459.04
p31,2052,51459.04
p31,2053,51459.04
p31,2054,51459.04
p31,2055,51459.04
p31,2056,51459.04
p31,2057,51459.04
p31,2058,51459.04
p31,2059,51459.04
p31,2060,51459.04
p31,2061,51459.04
p31,2062,51459.04
p31,2063,51459.04
p31,2064,51459.04
p31,2065,51459.04
p31,2066,51459.04
p31,2067,51459.04
p31,2068,51459.04
p31,2069,51459.04
p31,2070,51459.04
p31,2071,51459.04
p31,2072,51459.04
p31,2073,51459.04
p31,2074,51459.04
p31,2075,51459.04
p31,2076,51459.04
p31,2077,51459.04
p31,2078,51459.04
p31,2079,51459.04
p31,2080,51459.04
p31,2081,51459.04
p31,2082,51459.04
p31,2083,51459.04
p31,2084,51459.04
p31,2085,51459.04
p31,2086,51459.04
p31,2087,51459.04
p31,2088,51459.04
p31,2089,51459.04
p31,2090,51459.04
p31,2091,51459.04
p31,2092,51459.04
p31,2093,51459.04
p31,2094,51459.04
p31,2095,51459.04
p31,2096,51459.04
p31,2097,51459.04
p31,2098,51459.04
p31,2099,51459.04
p127,2020,473322.485
p127,2021,473322.485
p127,2022,473322.485
p127,2023,473322.485
p127,2024,473322.485
p127,2025,473322.485
p127,2026,473322.485
p127,2027,473322.485
p127,2028,473322.485
p127,2029,473322.485
p127,2030,473322.485
p127,2031,473322.485
p127,2032,473322.485
p127,2033,473322.485
p127,2034,473322.485
p127,2035,473322.485
p127,2036,473322.485
p127,2037,473322.485
p127,2038,473322.485
p127,2039,473322.485
p127,2040,473322.485
p127,2041,473322.485
p127,2042,473322.485
p127,2043,473322.485
p127,2044,473322.485
p127,2045,473322.485
p127,2046,473322.485
p127,2047,473322.485
p127,2048,473322.485
p127,2049,473322.485
p127,2050,473322.485
p127,2051,473322.485
p127,2052,473322.485
p127,2053,473322.485
p127,2054,473322.485
p127,2055,473322.485
p127,2056,473322.485
p127,2057,473322.485
p127,2058,473322.485
p127,2059,473322.485
p127,2060,473322.485
p127,2061,473322.485
p127,2062,473322.485
p127,2063,473322.485
p127,2064,473322.485
p127,2065,473322.485
p127,2066,473322.485
p127,2067,473322.485
p127,2068,473322.485
p127,2069,473322.485
p127,2070,473322.485
p127,2071,473322.485
p127,2072,473322.485
p127,2073,473322.485
p127,2074,473322.485
p127,2075,473322.485
p127,2076,473322.485
p127,2077,473322.485
p127,2078,473322.485
p127,2079,473322.485
p127,2080,473322.485
p127,2081,473322.485
p127,2082,473322.485
p127,2083,473322.485
p127,2084,473322.485
p127,2085,473322.485
p127,2086,473322.485
p127,2087,473322.485
p127,2088,473322.485
p127,2089,473322.485
p127,2090,473322.485
p127,2091,473322.485
p127,2092,473322.485
p127,2093,473322.485
p127,2094,473322.485
p127,2095,473322.485
p127,2096,473322.485
p127,2097,473322.485
p127,2098,473322.485
p127,2099,473322.485
p130,2020,38209.305
p130,2021,38209.305
p130,2022,38209.305
p130,2023,38209.305
p130,2024,38209.305
p130,2025,38209.305
p130,2026,38209.305
p130,2027,38209.305
p130,2028,38209.305
p130,2029,38209.305
p130,2030,38209.305
p130,2031,38209.305
p130,2032,38209.305
p130,2033,38209.305
p130,2034,38209.305
p130,2035,38209.305
p130,2036,38209.305
p130,2037,38209.305
p130,2038,38209.305
p130,2039,38209.305
p130,2040,38209.305
p130,2041,38209.305
p130,2042,38209.305
p130,2043,38209.305
p130,2044,38209.305
p130,2045,38209.305
p130,2046,38209.305
p130,2047,38209.305
p130,2048,38209.305
p130,2049,38209.305
p130,2050,38209.305
p130,2051,38209.305
p130,2052,38209.305
p130,2053,38209.305
p130,2054,38209.305
p130,2055,38209.305
p130,2056,38209.305
p130,2057,38209.305
p130,2058,38209.305
p130,2059,38209.305
p130,2060,38209.305
p130,2061,38209.305
p130,2062,38209.305
p130,2063,38209.305
p130,2064,38209.305
p130,2065,38209.305
p130,2066,38209.305
p130,2067,38209.305
p130,2068,38209.305
p130,2069,38209.305
p130,2070,38209.305
p130,2071,38209.305
p130,2072,38209.305
p130,2073,38209.305
p130,2074,38209.305
p130,2075,38209.305
p130,2076,38209.305
p130,2077,38209.305
p130,2078,38209.305
p130,2079,38209.305
p130,2080,38209.305
p130,2081,38209.305
p130,2082,38209.305
p130,2083,38209.305
p130,2084,38209.305
p130,2085,38209.305
p130,2086,38209.305
p130,2087,38209.305
p130,2088,38209.305
p130,2089,38209.305
p130,2090,38209.305
p130,2091,38209.305
p130,2092,38209.305
p130,2093,38209.305
p130,2094,38209.305
p130,2095,38209.305
p130,2096,38209.305
p130,2097,38209.305
p130,2098,38209.305
p130,2099,38209.305
p114,2020,79939.7
p114,2021,79939.7
p114,2022,79939.7
p114,2023,79939.7
p114,2024,79939.7
p114,2025,79939.7
p114,2026,79939.7
p114,2027,79939.7
p114,2028,79939.7
p114,2029,79939.7
p114,2030,79939.7
p114,2031,79939.7
p114,2032,79939.7
p114,2033,79939.7
p114,2034,79939.7
p114,2035,79939.7
p114,2036,79939.7
p114,2037,79939.7
p114,2038,79939.7
p114,2039,79939.7
p114,2040,79939.7
p114,2041,79939.7
p114,2042,79939.7
p114,2043,79939.7
p114,2044,79939.7
p114,2045,79939.7
p114,2046,79939.7
p114,2047,79939.7
p114,2048,79939.7
p114,2049,79939.7
p114,2050,79939.7
p114,2051,79939.7
p114,2052,79939.7
p114,2053,79939.7
p114,2054,79939.7
p114,2055,79939.7
p114,2056,79939.7
p114,2057,79939.7
p114,2058,79939.7
p114,2059,79939.7
p114,2060,79939.7
p114,2061,79939.7
p114,2062,79939.7
p114,2063,79939.7
p114,2064,79939.7
p114,2065,79939.7
p114,2066,79939.7
p114,2067,79939.7
p114,2068,79939.7
p114,2069,79939.7
p114,2070,79939.7
p114,2071,79939.7
p114,2072,79939.7
p114,2073,79939.7
p114,2074,79939.7
p114,2075,79939.7
p114,2076,79939.7
p114,2077,79939.7
p114,2078,79939.7
p114,2079,79939.7
p114,2080,79939.7
p114,2081,79939.7
p114,2082,79939.7
p114,2083,79939.7
p114,2084,79939.7
p114,2085,79939.7
p114,2086,79939.7
p114,2087,79939.7
p114,2088,79939.7
p114,2089,79939.7
p114,2090,79939.7
p114,2091,79939.7
p114,2092,79939.7
p114,2093,79939.7
p114,2094,79939.7
p114,2095,79939.7
p114,2096,79939.7
p114,2097,79939.7
p114,2098,79939.7
p114,2099,79939.7
p26,2020,3326.01
p26,2021,3326.01
p26,2022,3326.01
p26,2023,3326.01
p26,2024,3326.01
p26,2025,3326.01
p26,2026,3326.01
p26,2027,3326.01
p26,2028,3326.01
p26,2029,3326.01
p26,2030,3326.01
p26,2031,3326.01
p26,2032,3326.01
p26,2033,3326.01
p26,2034,3326.01
p26,2035,3326.01
p26,2036,3326.01
p26,2037,3326.01
p26,2038,3326.01
p26,2039,3326.01
p26,2040,3326.01
p26,2041,3326.01
p26,2042,3326.01
p26,2043,3326.01
p26,2044,3326.01
p26,2045,3326.01
p26,2046,3326.01
p26,2047,3326.01
p26,2048,3326.01
p26,2049,3326.01
p26,2050,3326.01
p26,2051,3326.01
p26,2052,3326.01
p26,2053,3326.01
p26,2054,3326.01
p26,2055,3326.01
p26,2056,3326.01
p26,2057,3326.01
p26,2058,3326.01
p26,2059,3326.01
p26,2060,3326.01
p26,2061,3326.01
p26,2062,3326.01
p26,2063,3326.01
p26,2064,3326.01
p26,2065,3326.01
p26,2066,3326.01
p26,2067,3326.01
p26,2068,3326.01
p26,2069,3326.01
p26,2070,3326.01
p26,2071,3326.01
p26,2072,3326.01
p26,2073,3326.01
p26,2074,3326.01
p26,2075,3326.01
p26,2076,3326.01
p26,2077,3326.01
p26,2078,3326.01
p26,2079,3326.01
p26,2080,3326.01
p26,2081,3326.01
p26,2082,3326.01
p26,2083,3326.01
p26,2084,3326.01
p26,2085,3326.01
p26,2086,3326.01
p26,2087,3326.01
p26,2088,3326.01
p26,2089,3326.01
p26,2090,3326.01
p26,2091,3326.01
p26,2092,3326.01
p26,2093,3326.01
p26,2094,3326.01
p26,2095,3326.01
p26,2096,3326.01
p26,2097,3326.01
p26,2098,3326.01
p26,2099,3326.01
p47,2020,22698.31
p47,2021,22698.31
p47,2022,22698.31
p47,2023,22698.31
p47,2024,22698.31
p47,2025,22698.31
p47,2026,22698.31
p47,2027,22698.31
p47,2028,22698.31
p47,2029,22698.31
p47,2030,22698.31
p47,2031,22698.31
p47,2032,22698.31
p47,2033,22698.31
p47,2034,22698.31
p47,2035,22698.31
p47,2036,22698.31
p47,2037,22698.31
p47,2038,22698.31
p47,2039,22698.31
p47,2040,22698.31
p47,2041,22698.31
p47,2042,22698.31
p47,2043,22698.31
p47,2044,22698.31
p47,2045,22698.31
p47,2046,22698.31
p47,2047,22698.31
p47,2048,22698.31
p47,2049,22698.31
p47,2050,22698.31
p47,2051,22698.31
p47,2052,22698.31
p47,2053,22698.31
p47,2054,22698.31
p47,2055,22698.31
p47,2056,22698.31
p47,2057,22698.31
p47,2058,22698.31
p47,2059,22698.31
p47,2060,22698.31
p47,2061,22698.31
p47,2062,22698.31
p47,2063,22698.31
p47,2064,22698.31
p47,2065,22698.31
p47,2066,22698.31
p47,2067,22698.31
p47,2068,22698.31
p47,2069,22698.31
p47,2070,22698.31
p47,2071,22698.31
p47,2072,22698.31
p47,2073,22698.31
p47,2074,22698.31
p47,2075,22698.31
p47,2076,22698.31
p47,2077,22698.31
p47,2078,22698.31
p47,2079,22698.31
p47,2080,22698.31
p47,2081,22698.31
p47,2082,22698.31
p47,2083,22698.31
p47,2084,22698.31
p47,2085,22698.31
p47,2086,22698.31
p47,2087,22698.31
p47,2088,22698.31
p47,2089,22698.31
p47,2090,22698.31
p47,2091,22698.31
p47,2092,22698.31
p47,2093,22698.31
p47,2094,22698.31
p47,2095,22698.31
p47,2096,22698.31
p47,2097,22698.31
p47,2098,22698.31
p47,2099,22698.31
p132,2020,121767.245
p132,2021,121767.245
p132,2022,121767.245
p132,2023,121767.245
p132,2024,121767.245
p132,2025,121767.245
p132,2026,121767.245
p132,2027,121767.245
p132,2028,121767.245
p132,2029,121767.245
p132,2030,121767.245
p132,2031,121767.245
p132,2032,121767.245
p132,2033,121767.245
p132,2034,121767.245
p132,2035,121767.245
p132,2036,121767.245
p132,2037,121767.245
p132,2038,121767.245
p132,2039,121767.245
p132,2040,121767.245
p132,2041,121767.245
p132,2042,121767.245
p132,2043,121767.245
p132,2044,121767.245
p132,2045,121767.245
p132,2046,121767.245
p132,2047,121767.245
p132,2048,121767.245
p132,2049,121767.245
p132,2050,121767.245
p132,2051,121767.245
p132,2052,121767.245
p132,2053,121767.245
p132,2054,121767.245
p132,2055,121767.245
p132,2056,121767.245
p132,2057,121767.245
p132,2058,121767.245
p132,2059,121767.245
p132,2060,121767.245
p132,2061,121767.245
p132,2062,121767.245
p132,2063,121767.245
p132,2064,121767.245
p132,2065,121767.245
p132,2066,121767.245
p132,2067,121767.245
p132,2068,121767.245
p132,2069,121767.245
p132,2070,121767.245
p132,2071,121767.245
p132,2072,121767.245
p132,2073,121767.245
p132,2074,121767.245
p132,2075,121767.245
p132,2076,121767.245
p132,2077,121767.245
p132,2078,121767.245
p132,2079,121767.245
p132,2080,121767.245
p132,2081,121767.245
p132,2082,121767.245
p132,2083,121767.245
p132,2084,121767.245
p132,2085,121767.245
p132,2086,121767.245
p132,2087,121767.245
p132,2088,121767.245
p132,2089,121767.245
p132,2090,121767.245
p132,2091,121767.245
p132,2092,121767.245
p132,2093,121767.245
p132,2094,121767.245
p132,2095,121767.245
