region,Year,hdd
p50,2020,1735.6601795024371
p50,2021,1477.292629023629
p50,2022,1307.0734605395314
p50,2023,1350.820544682574
p50,2024,1405.9252943128029
p50,2025,1414.8615982886893
p50,2026,1465.8732227229293
p50,2027,1475.998157635791
p50,2028,1439.646214400192
p50,2029,1260.420101920173
p50,2030,1495.1080059284
p50,2031,1525.8034428588644
p50,2032,1233.4252412784144
p50,2033,1371.3544844092555
p50,2034,1543.7760851130915
p50,2035,1275.0022185674966
p50,2036,1524.1202523160166
p50,2037,1382.7047647404345
p50,2038,1843.3565979619875
p50,2039,1467.1735749319805
p50,2040,1645.5407898819258
p50,2041,1549.9439055393796
p50,2042,1471.232136427559
p50,2043,1489.828397874691
p50,2044,1376.9150399593964
p50,2045,1628.919327138518
p50,2046,1699.3661785435984
p50,2047,1343.7929384576792
p50,2048,1414.4600670861391
p50,2049,1393.1829884065305
p50,2050,1601.9679399943834
p50,2051,1910.90938606782
p50,2052,1781.603333019625
p50,2053,1531.3767454345548
p50,2054,1510.4916643179008
p50,2055,1403.9514978151706
p50,2056,1617.010793742217
p50,2057,1510.498389638102
p50,2058,1731.838647279276
p50,2059,1540.0493329777112
p50,2060,1968.516883031882
p50,2061,1677.7133402361646
p50,2062,1550.1748277074398
p50,2063,1537.7120128353922
p50,2064,1616.0894193555469
p50,2065,1633.5397402447568
p50,2066,1677.679697603371
p50,2067,1681.538774378576
p50,2068,1622.1255339552913
p50,2069,1478.979042986818
p50,2070,1676.565491183016
p50,2071,1702.1798943378692
p50,2072,1420.391183786488
p50,2073,1552.384133353488
p50,2074,1717.092225991661
p50,2075,1426.2820188719634
p50,2076,1733.327779661895
p50,2077,1539.671178532937
p50,2078,2030.4353851756828
p50,2079,1656.908140047471
p50,2080,1806.281776740207
p50,2081,1753.5052975705228
p50,2082,1645.0025439939568
p50,2083,1707.7143012734782
p50,2084,1597.153018231097
p50,2085,1848.110659824346
p50,2086,1895.4672011316372
p50,2087,1517.781547782754
p50,2088,1551.4282799483346
p50,2089,1537.4039746564167
p50,2090,1801.984722744446
p50,2091,2060.342971104648
p50,2092,1941.9612001301475
p50,2093,1658.6822444107206
p50,2094,1625.7017203817063
p50,2095,1532.4733827667656
p50,2096,1738.1482335502385
p50,2097,1591.0399978699647
p50,2098,1839.2587806623676
p50,2099,1692.954771778824
Texas,2020,1691.400475863979
Texas,2021,1544.4420345778108
Texas,2022,1606.5368342592187
Texas,2023,1464.424525738835
