rb,lon,lat
p1,-121.51641978865005,47.80611291631126
p10,-117.18294910128184,35.129094422585865
p100,-78.27055200216738,38.78128861241542
p101,-82.18741603420348,28.668288965104416
p102,-80.54006169085551,26.68929392000826
p103,-84.62446847078468,43.89634532897512
p104,-85.90830137524574,42.067903348002844
p105,-86.2524247449125,40.727947935104766
p106,-86.09714471648728,39.92581517867755
p107,-86.31570440308688,38.88588270716445
p108,-87.2193391364336,37.51817874946209
p109,-84.52350866934512,37.82120877201802
p11,-116.73664102253905,33.03385839026713
p110,-82.88506804866752,37.58548981548263
p111,-81.86880526193677,41.30154076898733
p112,-82.81052409528398,40.141526321743704
p113,-83.94089745182227,39.75413813319528
p114,-84.25580117536116,39.202658093102706
p115,-79.86786926643721,40.38214650813341
p116,-80.1703865020935,38.902723110809035
p117,-81.70243537467691,38.005110678367
p118,-80.87142950823666,37.06563570138788
p119,-77.99492391992082,41.33871503935709
p12,-116.7778767321667,39.59125749703648
p120,-77.86142866427029,39.92514157374799
p121,-78.2977003130382,39.54784137356819
p122,-77.4127942096151,40.931549488327896
p123,-76.3834213267807,38.911923322903256
p124,-75.74055034245153,37.654594959236846
p125,-75.50453401011704,39.00014977768433
p126,-74.67334599859551,40.202547393325844
p127,-75.57582682568687,43.00283236286076
p128,-73.03960225920427,40.84633591250685
p129,-72.66264793623851,44.075529185206726
p13,-115.01866902047924,36.21317986252788
p130,-71.57817109521092,43.686633241697905
p131,-71.81815346477532,42.25982100486218
p132,-72.72537607634376,41.62189416615089
p133,-71.555888543905,41.67922577907835
p134,-69.23477764107089,45.38169807181767
p14,-116.62275897249886,47.618601657558386
p15,-115.22860427306799,44.42312478406464
p16,-112.43064705913648,43.045200368910685
p17,-113.61858952391104,46.80886345389932
p18,-110.24880969801191,47.2518757693646
p19,-106.82494370513643,47.83879251647839
p2,-121.55055288097365,46.629164521755584
p20,-108.03576972460311,46.441235332671916
p21,-109.26829676548728,43.048598654971
p22,-106.69489262529419,44.3236092748274
p23,-105.03528857892682,44.25034887824242
p24,-105.84428094088014,42.225869691137646
p25,-111.93144812205591,39.09987739249886
p26,-110.33585948603407,40.50599077134797
p27,-113.75867833211625,35.70361011914875
p28,-111.611016198026,34.17867024731973
p29,-109.48968966928906,35.399102646929805
p3,-118.48492653629819,47.907060270585816
p30,-111.67152942821932,32.03119707763728
p31,-106.57109913696499,34.62347023292833
p32,-103.32112443463923,44.06195305015967
p33,-105.87537216227656,40.033274229562785
p34,-105.26580461394656,38.105240290462
p35,-105.02660633927408,47.1595688750766
p36,-102.07412337613565,47.15162946583246
p37,-99.05224805963871,47.7019193741128
p38,-99.81793763837447,44.48389823737159
p39,-102.68370208080458,41.731082111126945
p4,-119.5488293262273,47.417332513451285
p40,-99.17594282363453,41.52606887685883
p41,-96.33741282050786,40.96189483715562
p42,-95.49278163729535,48.02128629136805
p43,-93.64620177274541,46.269066217905994
p44,-95.7401237961708,44.41511736962091
p45,-95.0250718228035,42.42663103005822
p46,-91.36929192892521,45.47579431965826
p47,-103.90580774118045,33.46657433408201
p48,-101.79151103949779,34.86247783908625
p49,-101.50056800873969,36.75093451097893
p5,-120.83521239189373,44.86783170780237
p50,-97.49307054344204,35.297036153725436
p51,-95.63086041971775,36.27685087528907
p52,-101.02854284950959,38.76702797452841
p53,-97.49217549307401,38.390982631703466
p54,-93.97744160524657,39.67231622761449
p55,-93.62754578750508,37.39350814439839
p56,-93.593578208945,35.48619034973539
p57,-94.52489019643453,32.8488179874815
p58,-92.02168290674129,30.81275570012768
p59,-106.23473021792753,31.767651178274072
p6,-122.80908487422889,42.80450446446198
p60,-100.48456589128335,33.41480952866815
p61,-102.5231104993935,30.799376792860738
p62,-102.35289669690054,31.792900782232433
p63,-97.11510842140704,32.36638350322828
p64,-98.03451157244808,30.14470200631435
p65,-98.37847199740003,28.131812289164486
p66,-94.50368617394786,30.70688277920348
p67,-95.45480148209963,29.541038188170095
p68,-93.79025505261691,43.84711441326524
p69,-92.13300646421898,42.92096636738653
p7,-118.78803903020994,43.19921362033352
p70,-92.64291836771919,41.545583489384946
p71,-92.07946674557762,39.982229583270325
p72,-91.36908740559194,38.50316385246453
p73,-91.04907306453579,37.680316310469266
p74,-88.15308097785987,46.39264150769919
p75,-88.86767087758336,45.210357726813214
p76,-89.10249268295829,44.08729329549327
p77,-90.52443005454238,43.41491324837382
p78,-89.3630309500652,42.86671844180234
p79,-88.26965834451218,43.06434184529694
p8,-121.44365623250299,41.312596339240514
p80,-88.79048523824895,41.768058995789495
p81,-89.80575557369333,39.34176046352644
p82,-89.50255365129998,40.41501104883968
p83,-88.31472566972926,39.73286701950888
p84,-91.30548247765029,37.062991558777085
p85,-92.00962848210315,34.679364616834356
p86,-91.9367294932273,32.55254191270642
p87,-89.94201462180942,32.32133450634261
p88,-88.91654090698533,33.91295603922642
p89,-87.30827800163333,33.64042160762039
p9,-121.42195164597068,38.38550194438938
p90,-86.46502111469415,32.15307265321093
p91,-86.05320212617644,30.5935613046744
p92,-86.34411387188709,35.84315194207431
p93,-86.9039900778121,36.87976933960148
p94,-83.45004713873531,32.65077192961898
p95,-82.00518610432793,34.6996549921625
p96,-80.51039179515753,33.63530432610435
p97,-81.45097701964126,35.691128634656835
p98,-78.01406445082488,35.44617649322018
p99,-78.01284447464238,37.632343917306486
