region,Year,hdd
p9,2020,0.0
p9,2021,0.0
p9,2022,0.0
p9,2023,0.0
p9,2024,0.0
p9,2025,0.0
p9,2026,0.0
p9,2027,0.0
p9,2028,0.0
p9,2029,0.0
p9,2030,0.0
p9,2031,0.0
p9,2032,0.0
p9,2033,0.0
p9,2034,0.0
p9,2035,0.0
p9,2036,0.0
p9,2037,0.0
p9,2038,0.0
p9,2039,0.0
p9,2040,0.0
p9,2041,0.0
p9,2042,0.0
p9,2043,0.0
p9,2044,0.0
p9,2045,0.0
p9,2046,0.0
p9,2047,0.0
p9,2048,0.0
p9,2049,0.0
p9,2050,0.0
p9,2051,0.0
p9,2052,0.0
p9,2053,0.0
p9,2054,0.0
p9,2055,0.0
p9,2056,0.0
p9,2057,0.0
p9,2058,0.0
p9,2059,0.0
p9,2060,0.0
p9,2061,0.0
p9,2062,0.0
p9,2063,0.0
p9,2064,0.0
p9,2065,0.0
p9,2066,0.0
p9,2067,0.0
p9,2068,0.0
p9,2069,0.0
p9,2070,0.0
p9,2071,0.0
p9,2072,0.0
p9,2073,0.0
p9,2074,0.0
p9,2075,0.0
p9,2076,0.0
p9,2077,0.0
p9,2078,0.0
p9,2079,0.0
p9,2080,0.0
p9,2081,0.0
p9,2082,0.0
p9,2083,0.0
p9,2084,0.0
p9,2085,0.0
p9,2086,0.0
p9,2087,0.0
p9,2088,0.0
p9,2089,0.0
p9,2090,0.0
p9,2091,0.0
p9,2092,0.0
p9,2093,0.0
p9,2094,0.0
p9,2095,0.0
p9,2096,0.0
p9,2097,0.0
p9,2098,0.0
p9,2099,0.0
p67,2020,1645.265525671785
p67,2021,1645.265525671785
p67,2022,1645.265525671785
p67,2023,1645.265525671785
p67,2024,1645.265525671785
p67,2025,1645.265525671785
p67,2026,1645.265525671785
p67,2027,1645.265525671785
p67,2028,1645.265525671785
p67,2029,1645.265525671785
p67,2030,1645.265525671785
p67,2031,1645.265525671785
p67,2032,1645.265525671785
p67,2033,1645.265525671785
p67,2034,1645.265525671785
p67,2035,1645.265525671785
p67,2036,1645.265525671785
p67,2037,1645.265525671785
p67,2038,1645.265525671785
p67,2039,1645.265525671785
p67,2040,1645.265525671785
p67,2041,1645.265525671785
p67,2042,1645.265525671785
p67,2043,1645.265525671785
p67,2044,1645.265525671785
p67,2045,1645.265525671785
p67,2046,1645.265525671785
p67,2047,1645.265525671785
p67,2048,1645.265525671785
p67,2049,1645.265525671785
p67,2050,1645.265525671785
p67,2051,1645.265525671785
p67,2052,1645.265525671785
p67,2053,1645.265525671785
p67,2054,1645.265525671785
p67,2055,1645.265525671785
p67,2056,1645.265525671785
p67,2057,1645.265525671785
p67,2058,1645.265525671785
p67,2059,1645.265525671785
p67,2060,1645.265525671785
p67,2061,1645.265525671785
p67,2062,1645.265525671785
p67,2063,1645.265525671785
p67,2064,1645.265525671785
p67,2065,1645.265525671785
p67,2066,1645.265525671785
p67,2067,1645.265525671785
p67,2068,1645.265525671785
p67,2069,1645.265525671785
p67,2070,1645.265525671785
p67,2071,1645.265525671785
p67,2072,1645.265525671785
p67,2073,1645.265525671785
p67,2074,1645.265525671785
p67,2075,1645.265525671785
p67,2076,1645.265525671785
p67,2077,1645.265525671785
p67,2078,1645.265525671785
p67,2079,1645.265525671785
p67,2080,1645.265525671785
p67,2081,1645.265525671785
p67,2082,1645.265525671785
p67,2083,1645.265525671785
p67,2084,1645.265525671785
p67,2085,1645.265525671785
p67,2086,1645.265525671785
p67,2087,1645.265525671785
p67,2088,1645.265525671785
p67,2089,1645.265525671785
p67,2090,1645.265525671785
p67,2091,1645.265525671785
p67,2092,1645.265525671785
p67,2093,1645.265525671785
p67,2094,1645.265525671785
p67,2095,1645.265525671785
p67,2096,1645.265525671785
p67,2097,1645.265525671785
p67,2098,1645.265525671785
p67,2099,1645.265525671785
p99,2020,795.8280512263364
p99,2021,795.8280512263364
p99,2022,795.8280512263364
p99,2023,795.8280512263364
p99,2024,795.8280512263364
p99,2025,795.8280512263364
p99,2026,795.8280512263364
p99,2027,795.8280512263364
p99,2028,795.8280512263364
p99,2029,795.8280512263364
p99,2030,795.8280512263364
p99,2031,795.8280512263364
p99,2032,795.8280512263364
p99,2033,795.8280512263364
p99,2034,795.8280512263364
p99,2035,795.8280512263364
p99,2036,795.8280512263364
p99,2037,795.8280512263364
p99,2038,795.8280512263364
p99,2039,795.8280512263364
p99,2040,795.8280512263364
p99,2041,795.8280512263364
p99,2042,795.8280512263364
p99,2043,795.8280512263364
p99,2044,795.8280512263364
p99,2045,795.8280512263364
p99,2046,795.8280512263364
p99,2047,795.8280512263364
p99,2048,795.8280512263364
p99,2049,795.8280512263364
p99,2050,795.8280512263364
p99,2051,795.8280512263364
p99,2052,795.8280512263364
p99,2053,795.8280512263364
p99,2054,795.8280512263364
p99,2055,795.8280512263364
p99,2056,795.8280512263364
p99,2057,795.8280512263364
p99,2058,795.8280512263364
p99,2059,795.8280512263364
p99,2060,795.8280512263364
p99,2061,795.8280512263364
p99,2062,795.8280512263364
p99,2063,795.8280512263364
p99,2064,795.8280512263364
p99,2065,795.8280512263364
p99,2066,795.8280512263364
p99,2067,795.8280512263364
p99,2068,795.8280512263364
p99,2069,795.8280512263364
p99,2070,795.8280512263364
p99,2071,795.8280512263364
p99,2072,795.8280512263364
p99,2073,795.8280512263364
p99,2074,795.8280512263364
p99,2075,795.8280512263364
p99,2076,795.8280512263364
p99,2077,795.8280512263364
p99,2078,795.8280512263364
p99,2079,795.8280512263364
p99,2080,795.8280512263364
p99,2081,795.8280512263364
p99,2082,795.8280512263364
p99,2083,795.8280512263364
p99,2084,795.8280512263364
p99,2085,795.8280512263364
p99,2086,795.8280512263364
p99,2087,795.8280512263364
p99,2088,795.8280512263364
p99,2089,795.8280512263364
p99,2090,795.8280512263364
p99,2091,795.8280512263364
p99,2092,795.8280512263364
