region,Year,number_of_days
p4_extreme_outliers_min_rcp45hotter.csv,2020,6
p4_extreme_outliers_min_rcp45hotter.csv,2022,2
p4_extreme_outliers_min_rcp45hotter.csv,2023,3
p4_extreme_outliers_min_rcp45hotter.csv,2024,1
p4_extreme_outliers_min_rcp45hotter.csv,2025,11
p4_extreme_outliers_min_rcp45hotter.csv,2029,3
p4_extreme_outliers_min_rcp45hotter.csv,2030,6
p4_extreme_outliers_min_rcp45hotter.csv,2033,6
p4_extreme_outliers_min_rcp45hotter.csv,2036,6
p4_extreme_outliers_min_rcp45hotter.csv,2044,3
p4_extreme_outliers_min_rcp45hotter.csv,2045,1
p4_extreme_outliers_min_rcp45hotter.csv,2048,1
p4_extreme_outliers_min_rcp45hotter.csv,2050,1
p4_extreme_outliers_min_rcp45hotter.csv,2057,3
p4_extreme_outliers_min_rcp45hotter.csv,2062,2
p4_extreme_outliers_min_rcp45hotter.csv,2065,6
p4_extreme_outliers_min_rcp45hotter.csv,2069,2
p4_extreme_outliers_min_rcp45hotter.csv,2070,2
p4_extreme_outliers_min_rcp45hotter.csv,2073,1
p4_extreme_outliers_min_rcp45hotter.csv,2076,5
p42_extreme_outliers_min_rcp45hotter.csv,2022,9
p42_extreme_outliers_min_rcp45hotter.csv,2023,3
p42_extreme_outliers_min_rcp45hotter.csv,2024,2
p42_extreme_outliers_min_rcp45hotter.csv,2025,4
p42_extreme_outliers_min_rcp45hotter.csv,2029,2
p42_extreme_outliers_min_rcp45hotter.csv,2030,1
p42_extreme_outliers_min_rcp45hotter.csv,2034,5
p42_extreme_outliers_min_rcp45hotter.csv,2036,6
p42_extreme_outliers_min_rcp45hotter.csv,2044,1
p42_extreme_outliers_min_rcp45hotter.csv,2054,1
p42_extreme_outliers_min_rcp45hotter.csv,2059,2
p42_extreme_outliers_min_rcp45hotter.csv,2062,1
p42_extreme_outliers_min_rcp45hotter.csv,2063,1
p42_extreme_outliers_min_rcp45hotter.csv,2065,1
p42_extreme_outliers_min_rcp45hotter.csv,2074,2
p42_extreme_outliers_min_rcp45hotter.csv,2076,5
p55_extreme_outliers_min_rcp45hotter.csv,2021,1
p55_extreme_outliers_min_rcp45hotter.csv,2022,4
p55_extreme_outliers_min_rcp45hotter.csv,2023,6
p55_extreme_outliers_min_rcp45hotter.csv,2025,5
p55_extreme_outliers_min_rcp45hotter.csv,2029,3
p55_extreme_outliers_min_rcp45hotter.csv,2033,1
p55_extreme_outliers_min_rcp45hotter.csv,2036,3
p55_extreme_outliers_min_rcp45hotter.csv,2037,2
p55_extreme_outliers_min_rcp45hotter.csv,2040,2
p55_extreme_outliers_min_rcp45hotter.csv,2041,1
p55_extreme_outliers_min_rcp45hotter.csv,2050,1
p55_extreme_outliers_min_rcp45hotter.csv,2051,2
p55_extreme_outliers_min_rcp45hotter.csv,2054,2
p55_extreme_outliers_min_rcp45hotter.csv,2058,1
p55_extreme_outliers_min_rcp45hotter.csv,2061,1
p55_extreme_outliers_min_rcp45hotter.csv,2062,2
p55_extreme_outliers_min_rcp45hotter.csv,2063,5
p55_extreme_outliers_min_rcp45hotter.csv,2065,1
p55_extreme_outliers_min_rcp45hotter.csv,2069,2
p55_extreme_outliers_min_rcp45hotter.csv,2076,1
p45_extreme_outliers_min_rcp45hotter.csv,2021,1
p45_extreme_outliers_min_rcp45hotter.csv,2022,8
p45_extreme_outliers_min_rcp45hotter.csv,2023,8
p45_extreme_outliers_min_rcp45hotter.csv,2024,1
p45_extreme_outliers_min_rcp45hotter.csv,2025,3
p45_extreme_outliers_min_rcp45hotter.csv,2028,1
p45_extreme_outliers_min_rcp45hotter.csv,2034,1
p45_extreme_outliers_min_rcp45hotter.csv,2036,5
p45_extreme_outliers_min_rcp45hotter.csv,2049,1
p45_extreme_outliers_min_rcp45hotter.csv,2050,1
p45_extreme_outliers_min_rcp45hotter.csv,2059,1
p45_extreme_outliers_min_rcp45hotter.csv,2062,1
p45_extreme_outliers_min_rcp45hotter.csv,2063,2
p45_extreme_outliers_min_rcp45hotter.csv,2076,2
p52_extreme_outliers_min_rcp45hotter.csv,2022,3
p52_extreme_outliers_min_rcp45hotter.csv,2023,5
p52_extreme_outliers_min_rcp45hotter.csv,2024,3
p52_extreme_outliers_min_rcp45hotter.csv,2028,1
p52_extreme_outliers_min_rcp45hotter.csv,2029,4
p52_extreme_outliers_min_rcp45hotter.csv,2030,3
p52_extreme_outliers_min_rcp45hotter.csv,2033,1
p52_extreme_outliers_min_rcp45hotter.csv,2036,2
p52_extreme_outliers_min_rcp45hotter.csv,2056,1
p52_extreme_outliers_min_rcp45hotter.csv,2063,4
p52_extreme_outliers_min_rcp45hotter.csv,2064,2
p52_extreme_outliers_min_rcp45hotter.csv,2069,1
p52_extreme_outliers_min_rcp45hotter.csv,2070,2
p52_extreme_outliers_min_rcp45hotter.csv,2076,2
p3_extreme_outliers_min_rcp45hotter.csv,2020,4
p3_extreme_outliers_min_rcp45hotter.csv,2022,2
p3_extreme_outliers_min_rcp45hotter.csv,2023,3
p3_extreme_outliers_min_rcp45hotter.csv,2025,10
p3_extreme_outliers_min_rcp45hotter.csv,2029,4
p3_extreme_outliers_min_rcp45hotter.csv,2030,7
p3_extreme_outliers_min_rcp45hotter.csv,2033,2
p3_extreme_outliers_min_rcp45hotter.csv,2036,6
p3_extreme_outliers_min_rcp45hotter.csv,2038,1
p3_extreme_outliers_min_rcp45hotter.csv,2044,3
p3_extreme_outliers_min_rcp45hotter.csv,2048,2
p3_extreme_outliers_min_rcp45hotter.csv,2050,1
