WKT,rb
"MULTIPOLYGON (((-13687924.23979998 5965691.031800007, -13686439.34370004 5970905.205699994, -13684531.94869999 5967816.419300001, -13687924.23979998 5965691.031800007)), ((-13657700.96849995 5972414.243500001, -13656216.88630001 5967446.858400007, -13661123.82489999 5965750.476499995, -13660815.08040003 5971324.723499999, -13657700.96849995 5972414.243500001)), ((-13657700.96849995 5972414.243500001, -13661300.69999998 5976363.709100009, -13658118.61260001 5979594.319600008, -13654264.64729996 5976135.666699992, -13657700.96849995 5972414.243500001)), ((-13630849.5817 6007412.423299991, -13624274.87270005 6006098.058099998, -13631367.76120004 6000389.898199999, -13630849.5817 6007412.423299991)), ((-13630849.5817 6007412.423299991, -13636947.26069994 5996736.336299991, -13640411.70439996 6002378.313099997, -13636925.70739996 6018542.817899997, -13633549.0434 6023281.395999997, -13630080.93560001 6017722.413599988, -13630849.5817 6007412.423299991)), ((-13643048.57500005 6059666.270599987, -13649814.17959995 6055787.244599991, -13646560.02410001 6040738.296099993, -13647528.00330004 6035463.353999996, -13651206.85479998 6035422.799800009, -13652333.42520003 6031406.683300002, -13649352.53420002 6031921.340199993, -13643295.60419995 6039205.385999995, -13646560.02410001 6040738.296099993, -13643048.57500005 6059666.270599987, -13637679.01649996 6056171.897699992, -13635824.5259 6045381.444099993, -13636571.63209998 6038845.615999994, -13640595.38040005 6036523.96069999, -13641240.68290001 6029230.881299999, -13637622.20850003 6026308.995099994, -13641728.11120001 6010278.106900005, -13640411.70439996 6002378.313099997, -13645907.44910005 5996986.484199996, -13641344.55550003 5987026.143200018, -13646918.52149996 5982671.719200007, -13648462.60100002 5988583.509099991, -13651046.36480003 5986042.694700007, -13646918.52149996 5982671.719200007, -13648453.90079995 5977942.154000007, -13657328.31189996 5989796.231199996, -13654343.06370002 6001464.226600009, -13658503.55279997 6001672.026999993, -13664493.81039998 5990024.512199993, -13664825.75539999 5985375.539900002, -13661597.0076 5981983.587599988, -13661300.69999998 5976363.709100009, -13664291.54519999 5975495.254400006, -13664991.2166 5970411.892299997, -13668050.70319996 5972303.49229999, -13673571.54359996 5985124.27, -13670564.28419999 5988308.663799987, -13667587.50930005 5997762.760199995, -13671219.74840005 6002744.207399991, -13670092.96299998 6025420.123499991, -13692562.20219999 6029394.338100006, -13682156.83869995 6043775.8233, -13664827.86700005 6052595.790399991, -13663850.48599994 6059681.835299999, -13656785.6384 6072992.617699993, -13648312.63050004 6082821.957700005, -13644906.63560005 6079141.342200005, -13646508.86369996 6092332.383199987, -13642524.38790001 6093160.166100003, -13639484.08009998 6090421.490299996, -13634945.42869999 6075778.998400005, -13636032.97829997 6071583.22019999, -13634748.95950001 6065639.764499997, -13642713.8637 6065869.37789999, -13643048.57500005 6059666.270599987), (-13659569.92480002 6042758.361600003, -13656390.80650003 6038682.902900003, -13655257.59579997 6043966.428700014, -13657894.26150005 6048056.046000004, -13659569.92480002 6042758.361600003)), ((-13660221.1711 6141157.464899993, -13652575.6116 6144041.799399995, -13648885.85079998 6141414.513199995, -13644761.60279998 6132259.247199988, -13644392.17409998 6123494.801200003, -13640544.34159996 6110459.322399997, -13638155.96900002 6112896.887500016, -13638512.75879996 6119968.261400004, -13634967.24329999 6121447.782799997, -13622735.36800003 6110824.885300007, -13620101.37840002 6101192.494700008, -13621304.74769999 6096348.968000002, -13626859.55869999 6092800.6892, -13629891.9204 6094648.305900003, -13630854.93710003 6100639.50029998, -13634126.56150002 6104893.573900002, -13641676.85490001 6103990.662500005, -13646833.96170003 6110164.472999995, -13648439.1657 6130813.967400008, -13650785.54269999 6133837.581699994, -13654892.25349999 6133544.775799989, -13660221.1711 6141157.464899993)), ((-13672596.75020005 6185706.550700005, -13673412.62969999 6192314.701899995, -13670021.02970001 6196462.263700003, -13669344.71279999 6191649.379999999, -13672596.75020005 6185706.550700005)), ((-13672596.75020005 6185706.550700005, -13670930.35279998 6179701.39900001, -13674174.89709998 6178389.679399995, -13678089.05480002 6178438.019199997, -13685767.82299994 6185498.278100006, -13682292.36629995 6198430.206900004, -13678714.48389995 6200383.944599988, -13675779.43209998 6183058.806199987, -13672596.75020005 6185706.550700005)), ((-13670021.02970001 6196462.263700003, -13672735.17490003 6200730.616899995, -13670656.77519994 6204570.918900002, -13667197.25009997 6200413.580600011, -13670021.02970001 6196462.263700003)), ((-13656874.68030001 6200477.909899998, -13660961.16179998 6198150.38979999, -13662502.87889996 6202812.272499997, -13661390.66280005 6207350.294899999, -13658530.29719999 6206172.189899999, -13656874.68030001 6200477.909899998)), ((-13693566.3945 6187494.349300006, -13692431.73579997 6183517.167000003, -13695703.1393 6183672.050300002, -13709369.29489996 6193624.407800003, -13710613.16320005 6197942.42760001, -13708986.70569996 6209552.480499996, -13704402.00430001 6209611.432800006, -13691417.62449996 6195227.522899996, -13694245.08170001 6192081.683499997, -13693566.3945 6187494.349300006)), ((-13652592.83440002 6225212.849899995, -13650373.21130004 6217921.56750001, -13653281.20449996 6217918.802999997, -13655161.90990002 6222292.289400003, -13652592.83440002 6225212.849899995)), ((-13682604.27789998 6224312.451999995, -13682361.66499997 6217735.489299995, -13678701.30670002 6213841.730400014, -13679380.52689998 6219904.078900006, -13682604.27789998 6224312.451999995, -13678354.87799999 6225788.850499984, -13665626.93339999 6217881.677699995, -13670224.43339995 6210393.897100005, -13676605.16409999 6210420.758700014, -13687031.93400003 6199405.450499984, -13689958.6914 6200570.346499995, -13691923.31330001 6205773.877800005, -13687530.78590005 6207230.773300001, -13687351.99729994 6211963.164399993, -13695230.12229994 6210106.119099994, -13693107.71399998 6216236.13609999, -13686771.85270003 6224023.1579, -13682604.27789998 6224312.451999995)), ((-13693491.75410004 6225451.611499996, -13696359.02890003 6221383.761100008, -13699244.39889998 6224164.668499987, -13696650.22370003 6226537.570900004, -13693491.75410004 6225451.611499996)), ((-13687924.23979998 5965691.031800007, -13688340.41339995 5958754.157599997, -13685093.88919997 5960552.266999987, -13685018.45469997 5955159.453199987, -13681672.16520001 5950713.877599997, -13680085.25989995 5960362.374900001, -13681119.70410003 5964534.849699977, -13676680.92509995 5968961.740900015, -13673339.64929995 5960607.616399997, -13671196.42019995 5968363.314599994, -13661696.83940002 5956464.1455, -13655509.01149999 5960482.743700012, -13646180.46489999 5972887.265199987, -13641344.55550003 5987026.143200018, -13640583.51009995 5992460.235, -13628109.65979997 5984619.651599999, -13625402.6112 5986888.030799997, -13629034.53159997 5993148.455899994, -13617577.44559994 6000354.478100008, -13617612.32039998 6007159.641699991, -13623626.8697 6015922.000699987, -13621809.66990004 6019476.890300018, -13626618.49399996 6035873.698999999, -13622737.11850002 6038505.853700007, -13619928.96989998 6037492.501499998, -13619716.24459999 6042133.056899998, -13626710.02940001 6047067.437499994, -13627933.88979995 6051764.035400005, -13622770.43749997 6061687.542400002, -13623831.51219996 6075508.489499995, -13618285.74189997 6083149.518200005, -13614170.78269996 6098328.70189999, -13606048.10899998 6103730.753599986, -13602275.70760005 6112667.823900001, -13611479.29710003 6115142.428800001, -13619610.38570002 6124726.060900006, -13621433.14730004 6128123.955900003, -13621223.50500002 6139002.748599986, -13624266.81520005 6143585.468699998, -13629833.41389997 6144604.692500012, -13634059.91390005 6136068.0042, -13630876.70589997 6126690.766399999, -13637805.37419999 6129669.250200005, -13640581.58560003 6138909.738900007, -13640364.74069997 6145848.936299995, -13637282.16039999 6149329.203900007, -13624711.36169999 6150676.471899998, -13623674.76659996 6158220.166499994, -13640433.92450003 6170786.274099995, -13644391.56169996 6180191.593900022, -13650682.43500002 6174844.217400005, -13646614.78779997 6173463.844199993, -13645482.1652 6166346.688200003, -13638960.00950002 6160544.820400013, -13638541.30309999 6155524.391200009, -13653553.93410005 6153340.367599993, -13654321.64710004 6148565.044000008, -13662258.69309997 6144979.094399993, -13660221.1711 6141157.464899993, -13666252.68100002 6144257.480300004, -13655011.70120003 6169806.175799987, -13656213.17280002 6180117.816799995, -13654791.50629998 6185592.097099986, -13657198.27019995 6190689.933500004, -13652961.44109998 6193495.123000011, -13652721.37910002 6202980.169000013, -13645710.07060005 6196900.9497, -13648957.78520001 6192985.553599995, -13645781.20729997 6186466.008399996, -13643473.60630002 6190073.770699989, -13637697.01839995 6183671.112999996, -13634174.28909996 6185444.474099995, -13636133.38340004 6200995.733400001, -13631502.06990004 6201673.029100008, -13629339.31020003 6207496.210300013, -13636527.58229998 6217603.123700003, -13637939.03000004 6227069.102700002, -13636927.23199998 6233520.311499998, -13640425.29130004 6236640.36729999, -13646709.71429996 6237495.480699985, -13652592.83440002 6225212.849899995, -13656437.45449995 6228559.982399999, -13654512.09660003 6233627.888300003, -13655227.76269997 6239753.770699993, -13659527.63709995 6240244.064100004, -13660556.41410001 6246819.654600007, -13667661.93020002 6257504.846900002, -13664591.13729995 6262024.793500011, -13671457.58999996 6266109.681800002, -13668102.11910006 6271873.634900006, -13666028.47249999 6268576.008299994, -13662947.86169995 6269886.808399996, -13665128.39969995 6274235.94119999, -13453986.56240002 6273367.64479999, -13455837.20900004 6269459.778200001, -13451738.32730005 6265965.379600004, -13444828.10729997 6267364.454899999, -13442915.24949995 6253871.532600005, -13440267.47189999 6250823.749700004, -13440207.09559998 6240018.115899996, -13435220.99620004 6232616.207400011, -13433687.37190003 6225929.541300003, -13444998.86249997 6212527.822699995, -13442655.48450004 6204654.874400001, -13437466.59550004 6205317.482299999, -13435377.03800004 6196533.708100004, -13431163.55270004 6194081.510899993, -13429604.46250002 6187991.933999986, -13431335.24439997 6180543.328899991, -13428954.31829995 6173895.955100009, -13421334.76129998 6168176.689099995, -13422894.99890005 6162292.844000005, -13398231.76169997 6142982.557899998, -13397927.4808 6133241.504299996, -13395190.29549996 6129380.289399987, -13376691.99090004 6118346.902400001, -13368125.70510002 6108672.325700006, -13365223.54330005 6101949.68700001, -13343547.79130003 6098767.568199998, -13350061.39340003 6083391.471699997, -13358086.37429999 6071055.906900009, -13374724.52689999 6069028.496900002, -13381371.8547 6065272.961999997, -13382563.34280003 6060431.467600002, -13381092.73759999 6053979.761000005, -13385267.38299999 6038600.846700009, -13391317.17320002 6029155.69999999, -13393546.95229997 6018862.342999997, -13389798.09169999 6006768.999899999, -13371183.20160003 6000326.931400009, -13368112.74760001 5995640.772699994, -13368035.22820005 5981427.055899989, -13359542.24550002 5978435.583999993, -13358773.45470005 5963322.680499999, -13362909.29610004 5953919.398900011, -13355948.92110004 5935688.325900013, -13353253.48750005 5917118.314900006, -13350464.26379998 5910951.795499997, -13355156.81850001 5899824.77030001, -13408333.02459999 5899338.873799989, -13414542.25179995 5901590.7205, -13415032.61820002 5911615.3398, -13428722.29679995 5914543.051799994, -13428905.52680005 5926955.317099993, -13473366.03049998 5928619.41659999, -13480657.67849996 5940932.460899999, -13500177.22060002 5956113.910599999, -13511440.81110001 5952661.264799996, -13515397.9248 5941779.149499997, -13526547.90490004 5923144.359299998, -13519853.64480005 5908241.8783, -13524633.41069995 5906845.770599999, -13553739.81340001 5906588.000399997, -13562802.5899 5898194.29419999, -13575946.93310003 5901512.866100004, -13584921.63510001 5900216.382799994, -13609875.59199998 5903460.323899997, -13709374.10549995 5903674.280000001, -13711239.22059998 5941503.695000003, -13714619.89980002 5943821.925300012, -13714789.73439997 5955941.191399997, -13701229.94240006 5957048.297699996, -13687924.23979998 5965691.031800007)), ((-13696154.34009995 6271142.261000006, -13700177.17230005 6270796.248400005, -13700908.75500004 6275320.01280001, -13696408.75029995 6276130.655500005, -13696154.34009995 6271142.261000006)))",p1
"MULTIPOLYGON (((-13179969.92729995 3871459.3085, -13182957.11579995 3869845.085600008, -13191506.88750002 3876512.403199999, -13202480.86110001 3898896.659900005, -13198947.27010004 3898280.556199997, -13192038.57339999 3887886.409400003, -13176623.02539997 3872967.131899996, -13179969.92729995 3871459.3085)), ((-13295613.08420006 3925492.747599994, -13298976.51999995 3923958.215399996, -13305079.20409997 3925575.572400005, -13308749.77610001 3927357.523500002, -13310556.48529999 3931380.322400005, -13304223.54970002 3932012.416300002, -13295613.08420006 3925492.747599994)), ((-13191513.69370003 3953608.331100003, -13186944.49769996 3953548.535999996, -13177261.11980005 3949031.340199994, -13169843.27569998 3938132.948400001, -13172619.87410001 3935637.358599999, -13186495.67459996 3938466.735900004, -13189462.5521 3941681.341200004, -13191513.69370003 3953608.331100003)), ((-13191513.69370003 3953608.331100003, -13196331.14820003 3952916.388100004, -13199857.24509997 3954761.478600004, -13200619.65959998 3958317.983400001, -13195687.93530004 3958079.627200008, -13191513.69370003 3953608.331100003)), ((-13219121.96349999 4597359.3111, -13010067.96399995 4404309.093799995, -12876687.32149999 4277214.775799992, -12766276.07720003 4169437.96720001, -12761539.78139998 4167101.062700007, -12760324.58739995 4145497.904399996, -12756899.34879999 4142534.357099993, -12751517.62880005 4131897.863899995, -12742643.74520002 4123336.788400001, -12737856.17409995 4108469.957599998, -12733303.29169997 4101049.880899997, -12732512.69689996 4090428.692700005, -12728560.73050001 4089367.706699994, -12711425.09339996 4076560.894899998, -12705390.0329 4069603.884800007, -12705939.67700005 4064722.121299992, -12716372.20190002 4054279.325000013, -12738088.69080004 4041110.987800004, -12739783.66140003 4031318.822999999, -12749624.65110005 4019300.703999997, -12746732.96139999 4011615.421299998, -12748722.05540004 4008006.973300008, -12748655.46869997 4003278.445600007, -12746064.50700005 3988340.967800008, -12748915.34040006 3984611.224100002, -12750293.66140003 3968750.479099996, -12763386.44719998 3950362.417599996, -12770469.13520003 3948604.589400002, -12768338.22089997 3941955.589000002, -12770055.91419995 3933206.417099993, -12766362.59130001 3930224.031099997, -12765874.76639995 3925662.729800003, -12768216.42810001 3907150.729400001, -12765147.49719998 3901939.219200002, -12760915.67449998 3900202.212400002, -12748491.27060002 3899244.694799997, -12744246.31509998 3891692.013399997, -12742164.97779997 3881988.622800003, -12743011.58689997 3874340.299899997, -12748576.61040004 3869135.990999996, -12750121.27609997 3863717.0377, -12760091.14769998 3859638.051500006, -12768025.87390002 3860618.636200005, -12770736.25340001 3858208.990799995, -12925696.48009997 3844881.29100001, -12924546.31230002 3899464.501399995, -12922082.92300004 3911830.574499998, -12923823.79039999 3951973.273199995, -13048582.63810005 3952796.13570001, -13065203.16339996 3961800.282900006, -13081106.21660004 3961721.300100002, -13082693.68079998 3956951.573300002, -13087611.9681 3955597.814900001, -13091246.99440004 3950220.969199997, -13102514.53379999 3956631.9921, -13113434.46989995 3968071.366600004, -13128168.82290005 3976668.782200005, -13151422.00099996 3996050.674199995, -13156062.3605 3996751.038700005, -13157444.2287 3993759.285500009, -13163469.11649995 3996399.709999993, -13167701.88230002 3989540.9582, -13181376.43080004 3994684.833599998, -13182756.80779999 3997782.674999999, -13180415.4488 4002056.426400005, -13180158.27639997 4009107.6289, -13187132.81259996 4025904.153299998, -13192526.31669997 4031659.682600003, -13196506.00630005 4033755.994699991, -13207219.89759995 4033854.032600009, -13226378.49660005 4030028.827100003, -13232088.98500004 4033597.740899993, -13260099.85489998 4041883.066600007, -13271102.72339997 4048864.346199997, -13278585.48000005 4064966.781999998, -13292620.02010003 4074106.870899994, -13298996.5066 4080628.860900001, -13296181.72540001 4089102.514199993, -13296260.54660004 4150472.074299993, -13299644.76980001 4150458.501199992, -13300857.54380002 4174659.452399997, -13307703.47969995 4176259.766500007, -13310098.17179996 4188228.887300004, -13320136.00119995 4188274.305799997, -13322489.62809997 4199010.2113, -13337125.58759996 4199758.413499998, -13337652.79579999 4211668.861800012, -13344908.02369995 4213048.208600004, -13345820.30459997 4223719.898699991, -13357987.68990001 4223766.742099996, -13359134.00190005 4228292.986699999, -13367979.1126 4236369.533900003, -13367902.30139995 4247708.728, -13378792.46270004 4248265.988499996, -13379925.36069999 4252885.716100002, -13378882.31449999 4271329.187099998, -13308018.10099995 4271705.526200007, -13305955.87529996 4336363.439799993, -13299852.08929995 4338682.337299996, -13299908.08199995 4352049.588400004, -13301388.11389999 4355935.2578, -13305899.9079 4357501.008299997, -13306142.20510004 4366961.794399996, -13308631.14039996 4369949.024100002, -13298996.33900004 4379530.171999989, -13283628.56269995 4379891.289600004, -13280947.7098 4384321.785900004, -13279686.14559996 4391782.800800003, -13246523.36060004 4391426.319499997, -13245063.47909998 4403155.903600012, -13176486.27490004 4404239.034799996, -13179134.52579998 4415338.368600007, -13176634.87700006 4417001.388800008, -13176429.55709995 4421300.767400011, -13185200.62479999 4447224.301799998, -13195535.98160003 4454623.309500003, -13208333.89079999 4459140.289699991, -13211055.26080006 4467510.271999998, -13210717.05269999 4476891.736200001, -13214995.34469996 4484353.538699999, -13221773.32359995 4486376.495300014, -13223324.2078 4494236.286500006, -13221447.74889999 4503374.492099995, -13224639.34470002 4506923.588100004, -13229458.24740002 4506638.783699991, -13238950.61920004 4516203.205000008, -13249450.30920002 4521321.669000005, -13255809.74859997 4536353.313199996, -13259634.64200002 4540631.733399997, -13268138.76319995 4542129.1745, -13272088.33889995 4540018.745000003, -13275470.83800001 4543247.9517, -13270276.49550001 4552812.150600004, -13270267.4491 4564078.4907, -13280109.36199995 4571205.754299995, -13282359.95080005 4575799.039200001, -13281730.61020005 4584585.116200007, -13283824.62609998 4588579.825699993, -13294305.7759 4595096.488999993, -13297295.68250003 4593780.326399993, -13303546.11769996 4600315.488100006, -13308353.55989999 4600657.686400004, -13316706.14570003 4609062.032499995, -13315146.69000005 4614228.651500002, -13318362.87620001 4619453.901400009, -13318613.77509997 4624143.659500013, -13315466.83020003 4634123.250900001, -13309815.70499995 4638010.463899995, -13307675.97880005 4648802.793099998, -13315858.95629999 4665846.770000002, -13312339.43909997 4678573.733300003, -13308465.46179999 4677354.897199993, -13219121.96349999 4597359.3111)))",p10
"MULTIPOLYGON (((-8663603.907299994 4741636.251199997, -8668175.808799995 4733352.499700008, -8689081.466499992 4711845.929100001, -8690924.479299996 4706443.614800001, -8696088.3716 4703808.719200004, -8695545.791699996 4699804.911, -8685862.040900001 4690512.435599999, -8682253.495699996 4680464.438700003, -8678327.645099996 4678555.925100002, -8679672.532599995 4674954.818700006, -8699189.520599999 4656559.925700004, -8702986.651800001 4653770.5806, -8706622.352399997 4655008.293499993, -8695823.727299994 4638966.467500002, -8693898.247800004 4627578.239300007, -8694145.657999996 4622871.702600005, -8696665.243599998 4619381.201399988, -8706487.366400002 4613285.961199991, -8711332.361700004 4613754.888899998, -8714226.528500002 4617476.371900002, -8723890.092999998 4606409.285499996, -8747810.039000003 4614820.236200005, -8755546.936399998 4620204.166899992, -8746543.351999996 4625961.628200004, -8737860.828700002 4637452.497600001, -8750405.066 4644923.000499995, -8759144.5462 4653193.623100003, -8756622.4343 4660714.176099999, -8744570.031899998 4682987.130199993, -8739948.194799999 4683047.257499991, -8733156.309499996 4689025.378099994, -8722420.930299995 4701899.1207, -8717307.374399994 4713189.535299999, -8721516.704300003 4735773.195399992, -8729423.443700004 4733729.608000006, -8734000.391700001 4727003.164599996, -8743397.145199999 4729549.634800003, -8728680.765499996 4745415.722799998, -8730588.198500002 4749231.384299994, -8728807.711900001 4758854.091999997, -8723117.433599994 4767513.896000003, -8721283.532499999 4787400.034199984, -8663603.907299994 4741636.251199997)))",p100
"MULTIPOLYGON (((-9090644.388599997 2824968.523799993, -9092911.3519 2821869.394300001, -9095631.427099995 2823998.080700007, -9090644.388599997 2824968.523799993)), ((-9074691.550500002 2830779.057100002, -9076890.736499999 2828619.629299994, -9080471.9837 2827696.592400004, -9080223.699100003 2831734.836399995, -9074691.550500002 2830779.057100002)), ((-9074691.550500002 2830779.057100002, -9075953.939499997 2834676.691700003, -9073549.947200002 2837427.229500003, -9070568.971500002 2834649.560999999, -9074691.550500002 2830779.057100002)), ((-9055263.654999999 2838389.199999993, -9055645.043199996 2832537.075799995, -9062490.006100006 2833959.832799995, -9064382.268599998 2839225.445000003, -9060515.814399997 2838144.195500006, -9060480.700300004 2842545.508400004, -9055263.654999999 2838389.199999993)), ((-8949158.548499998 2890124.579999999, -8952659.147299998 2888904.505700001, -8953503.504500002 2892096.259400001, -8950659.6856 2892990.166300002, -8948306.394699998 2899850.384300001, -8943883.211799994 2901587.339599999, -8949158.548499998 2890124.579999999)), ((-8939712.760899993 2907404.277899999, -8941811.970799999 2904206.6321, -8943636.918799996 2909441.189899997, -8936438.409799999 2915194.276800001, -8939712.760899993 2907404.277899999)), ((-9143860.045300001 3056501.728400001, -9135251.445599996 3056498.011599993, -9131322.321400002 3054863.290999998, -9136091.244500002 3051683.133299999, -9139366.374300005 3051943.267299998, -9143860.045300001 3056501.728400001)), ((-9484051.628399994 3463864.910099993, -9471855.626700001 3462193.503300006, -9471658.619999995 3454997.55879999, -9481033.466900006 3459228.202100001, -9484051.628399994 3463864.910099993)), ((-9484051.628399994 3463864.910099993, -9479480.983999999 3470832.372100003, -9466680.746099995 3476131.300700005, -9464883.325200001 3480296.962199999, -9464042.292999996 3496804.110699993, -9466587.467000006 3502096.311899991, -9473896.527899994 3506406.263400005, -9477065.078599997 3510543.018500003, -9477060.175999997 3525925.384500002, -9469862.904600006 3536332.884099998, -9467297.854299998 3543447.911099998, -9464177.295600003 3553092.432700008, -9464823.584899999 3556509.670799992, -9461637.587600002 3560608.250999999, -9460458.745200001 3572288.577300003, -9452120.995299995 3583562.613300003, -9447110.6535 3592346.627200001, -9447046.054200005 3595699.400200005, -9156808.932699997 3577209.229299995, -9153480.790199995 3575695.824500005, -9154290.3079 3571743.424799994, -9150973.262499997 3563661.202700002, -9149490.588399995 3552877.710499994, -9145426.973099999 3550110.226600001, -9135348.931599999 3549773.785199993, -9132721.136500005 3552411.9076, -9130102.357299998 3566677.422300008, -9129375.256500004 3579025.674, -9133291.5451 3588244.645200002, -9132709.206299994 3597639.847799998, -9129886.153899996 3604965.305299987, -9126599.357399996 3604764.491999994, -9120703.179399995 3609584.414899999, -9117254.669299996 3609624.635100003, -9097780.249399997 3600135.565800002, -9083894.872599997 3596700.673199997, -9073931.558500001 3596769.575099996, -9064963.375400003 3592627.887199996, -9066514.660200002 3570441.646300002, -9061060.822499996 3553868.094099991, -9060330.019900002 3541674.676699996, -9050871.914399996 3493218.864499995, -9046326.915000001 3484210.420099996, -9046868.238499997 3475986.774000002, -9022839.046099996 3413168.139900001, -9011782.163799996 3387570.305799992, -9005699.473799998 3379679.07270001, -9003226.528099995 3369282.239800007, -8993521.887699999 3349173.051499993, -9013304.539399996 3348969.395999998, -9013612.7316 3327117.623700003, -9009525.7026 3318567.890399994, -9003835.018499995 3312515.726100005, -9005371.450600004 3303421.944999998, -9001775.674399996 3292054.421300001, -9003580.829699999 3219384.003400004, -9001150.760599993 3204076.668800003, -8992441.918499999 3202636.779300007, -8991219.931600001 3193463.336800001, -8982230.690499997 3193069.426000003, -8981242.765199995 3188910.167999996, -8981863.337600002 3138115.868599994, -9003543.720799994 3118868.660699996, -9002784.303300003 2928269.981700008, -9000607.312699998 2898396.682999999, -9008518.146599995 2892855.024899998, -9025312.988000004 2890793.408800002, -9032554.333799999 2896715.188800003, -9036025.826800006 2903744.332299998, -9032217.489499995 2916552.883399999, -9029189.462299995 2915776.472100012, -9023453.670700001 2907427.383499998, -9020850.889300002 2906013.533100007, -9017402.325600002 2908433.533299999, -9015375.685899997 2903261.484399999, -9012267.977199998 2901419.267899994, -9006490.5765 2905278.816000002, -9015529.227100004 2917528.705399994, -9020053.305300003 2916973.262899998, -9032819.211600006 2924790.553399995, -9030226.615799999 2928457.8084, -9034455.510100001 2929725.088599997, -9039786.164799999 2937639.658899994, -9039164.5679 2942439.725399992, -9048262.4607 2959652.594100001, -9046011.376300002 2962140.099599993, -9052587.627699999 2963547.537800007, -9054663.225999996 2965776.2353, -9054447.693 2969138.056999997, -9057595.577000003 2970506.914699995, -9054510.290400004 2973260.203700003, -9059496.214000002 2979408.463500003, -9078279.790099999 2987325.546399997, -9081636.446400004 2986163.029800002, -9097496.866900001 2988555.883499995, -9099319.222599998 2993095.4955, -9096960.930000005 2995781.890099992, -9106001.226199996 3009933.738199994, -9111928.4421 3052335.837299997, -9122090.741 3055462.502500001, -9128702.467400003 3061231.6449, -9128709.285700001 3064651.419100001, -9132642.327299992 3066186.896600002, -9134844.352700002 3074682.133599998, -9137398.369399996 3070558.225600006, -9135286.423699997 3060679.012399997, -9138838.269699998 3061474.346199994, -9146169.654499996 3085438.574000009, -9142499.217399996 3085408.3794, -9139819.973099995 3078683.817299998, -9136999.691399999 3077593.983599998, -9133968.324099999 3101177.515000009, -9134567.031099999 3106973.932200005, -9138075.679599997 3110014.002500003, -9138231.226499999 3113422.025399998, -9135468.929800002 3116486.356700002, -9139350.382499995 3118081.066000001, -9148091.948700003 3114474.77270001, -9145712.497900004 3098338.081399999, -9160157.047400001 3102847.678200004, -9177812.996499995 3131043.97709999, -9184383.811499994 3150157.764399996, -9189885.349499999 3158399.619999996, -9188858.917699996 3164677.249700002, -9192130.315199995 3173995.8917, -9201639.826599997 3180844.796300002, -9201298.6481 3184972.992700008, -9205093.281099996 3183615.551299998, -9202960.200199997 3188144.4645, -9195421.475400001 3190182.874500003, -9192915.314500002 3193600.761299996, -9196954.125799999 3193037.077600003, -9184659.105100004 3211254.431999994, -9174666.173399996 3220568.825299992, -9171908.1313 3230254.478700005, -9174826.491999997 3236789.598000008, -9179458.878200004 3238814.626699996, -9182721.263800003 3237781.603899998, -9181731.2225 3226720.952800006, -9187334.401700001 3228438.730400003, -9187348.484300002 3239726.034900003, -9191912.877599997 3245391.925500009, -9203806.322799999 3252799.9322, -9204660.374699999 3244837.304299995, -9208355.787100006 3242603.846699996, -9194642.2555 3232999.814300008, -9199648.374900004 3211828.778200001, -9209922.063599996 3216638.051599997, -9213939.036500003 3227483.826300007, -9216497.712099999 3224134.776199993, -9222279.277199997 3232910.893400001, -9215007.283700006 3259198.967499999, -9216509.502199998 3272201.090600002, -9209782.964899998 3284836.770500008, -9209342.256200001 3290078.220200004, -9203026.798199996 3305517.359900002, -9200437.464299995 3318620.120900005, -9201279.213599999 3326179.993799999, -9199764.442199996 3337184.867000002, -9200114.975500004 3345392.158700003, -9203580.531699998 3347274.291199991, -9203728.355599999 3351833.658599999, -9207207.858500002 3353778.843399999, -9207686.957900001 3357025.761200001, -9203426.687799996 3358516.652999999, -9200904.607199999 3356091.615500005, -9200673.625799993 3361206.515599998, -9206853.503800001 3368072.690399989, -9211138.339900004 3369421.854500004, -9209551.130199997 3373251.890000005, -9212164.233700002 3381468.726899994, -9217847.017000001 3386200.874899997, -9218246.388099996 3395099.207400006, -9244171.624600003 3397857.043900006, -9253469.456499999 3414312.871400004, -9256763.115599999 3413238.2589, -9256603.348200005 3417261.572200002, -9263214.325399999 3428018.2523, -9271486.748299997 3431758.300599993, -9282573.800499996 3441292.563900001, -9284602.295399997 3459639.408900006, -9301170.653500004 3470250.253800002, -9310316.070399998 3487951.355799995, -9316464.332399996 3493940.980800002, -9341131.456399994 3507547.549499998, -9352045.914199997 3516436.186100002, -9367547.167699996 3513648.205100003, -9380154.403800001 3516356.844199997, -9381590.225500003 3512497.218199993, -9387663.014200004 3512675.297799999, -9393203.525599994 3507188.944600005, -9388785.238600003 3495650.285800005, -9390530.730999997 3490896.200599997, -9401646.568800004 3494318.460199999, -9409276.661999997 3492232.979899999, -9444508.087799994 3471859.59769999, -9449055.532000003 3470965.258600003, -9449220.000499997 3476731.5609, -9453943.7314 3474850.376699999, -9461952.778000005 3466916.282999996, -9475554.984999998 3467042.526000006, -9484051.628399994 3463864.910099993), (-9115895.469699997 3078744.933099998, -9118577.907299997 3076485.716900003, -9120987.820699994 3067093.562700002, -9116808.024599997 3072285.579900008, -9115895.469699997 3078744.933099998), (-9047067.885699995 2969133.528299993, -9042667.583199995 2965491.793100006, -9042638.919100001 2968750.207400005, -9047067.885699995 2969133.528299993)))",p101
