rb,Month,CI_min_lower,CI_min_upper
p102,1,285.55066086526244,287.082511545279
p102,2,286.6739079272088,288.11932678206983
p102,3,288.2237804927142,289.3733245035866
p102,4,290.4758869603695,291.3529572841604
p102,5,293.55827484857554,294.027204882277
p102,6,296.03330163847136,296.38031907401216
p102,7,296.6791467776248,296.90325257316755
p102,8,297.06515773854096,297.3021998206432
p102,9,296.2174541003441,296.5332876400211
p102,10,293.69870706959125,294.64255586797344
p102,11,289.1563173530078,290.30812690261894
p102,12,287.37131243553114,288.8924172546629
