rb,Month,CI_max_lower,CI_max_upper
p78,1,266.25011365973734,267.97902082744116
p78,2,267.89804385424213,269.5307930840171
p78,3,277.13074958913813,279.504177733258
p78,4,285.4400802072142,287.2110255920389
p78,5,293.00790578696444,294.45519215084676
p78,6,298.0197678724108,299.18769900688443
p78,7,300.9766858916933,302.09480763865037
p78,8,299.9603523369161,301.07401289963354
p78,9,294.7684185753869,296.13993677416573
p78,10,287.2559153028905,288.9196268490845
p78,11,279.11214861791063,280.68662830263577
p78,12,269.68089875270454,271.22774071349266
