rb,Month,CI_max_lower,CI_max_upper
p45,1,265.70529287030354,267.5988804951211
p45,2,268.30895119443045,270.05406958340217
p45,3,278.45568316442774,280.8028410501493
p45,4,287.0407653197129,289.02254137295705
p45,5,294.5709335920546,296.0314812217575
p45,6,299.7972562001642,300.95249173571943
p45,7,303.0908439479891,304.23563780826527
p45,8,302.98703157966725,304.1018126545018
p45,9,297.38038019856384,298.8194012154116
p45,10,288.3633752674223,290.1455351054281
p45,11,279.98840155634906,281.7631109213717
p45,12,269.02057211802236,270.6868397486565
