rb,Month,CI_max_lower,CI_max_upper
p115,1,272.7699100391973,274.4147609570728
p115,2,273.36733807115166,275.04723314179313
p115,3,281.82175630725493,283.80990366763143
p115,4,288.10434735339805,289.9539866247514
p115,5,294.3231112172192,295.6890498417554
p115,6,298.6150877595484,299.58721081324336
p115,7,300.6782530502306,301.5877295719509
p115,8,300.01086820417817,300.8998421357208
p115,9,295.9671192862707,297.23130522652224
p115,10,288.7285545718526,290.41809850975136
p115,11,282.20565586681266,283.71856344256673
p115,12,275.35007596601787,276.88707572970185
