rb,Month,CI_min_lower,CI_min_upper
p53,1,264.0262042930174,265.91871786763363
p53,2,265.9547478608913,267.97500433773087
p53,3,274.6408772780644,276.65453103231266
p53,4,279.4664128696355,281.0960664000694
p53,5,285.52276887920283,286.88009795107195
p53,6,291.59557797612064,292.5579739094317
p53,7,293.79192780062624,294.68926654013364
p53,8,292.04841161403874,293.1925235450135
p53,9,286.0825870891092,287.41857928196566
p53,10,279.6267032653234,281.1425769849095
p53,11,273.8537528000267,275.29341057045434
p53,12,266.1990553910544,267.77485405429917
