rb,Month,CI_min_lower,CI_min_upper
p29,1,268.275494332572,269.3092368502237
p29,2,270.1829861310139,271.2136021042802
p29,3,273.49603206662346,274.4960109441291
p29,4,276.1211997241386,277.2100224980836
p29,5,280.5100547996262,281.5447839100512
p29,6,286.11671401505015,286.92595265161646
p29,7,290.27612420005664,290.6660263375777
p29,8,289.86309670382025,290.3309893176852
p29,9,285.86427341644264,286.5750599168906
p29,10,278.9624775678566,280.05999555042297
p29,11,273.86175202107523,274.9256924233693
p29,12,268.6595348252378,269.9172043051969
