rb,Month,CI_max_lower,CI_max_upper
p79,1,268.9773177129565,270.4439517872287
p79,2,268.9634217314083,270.47192520666954
p79,3,275.04255533364056,276.6746967251233
p79,4,280.7972556171037,281.9418200134013
p79,5,286.416705798871,287.4289398006474
p79,6,290.956741874793,291.7983938849719
p79,7,293.6405710536533,294.353439896043
p79,8,292.86541346558147,293.49403647512577
p79,9,289.43346391965764,290.2524221604962
p79,10,284.82370395571905,285.85103283164364
p79,11,279.3175585092719,280.4147074638449
p79,12,272.302781871732,273.46213239544784
