rb,Month,CI_min_lower,CI_min_upper
p128,1,267.37080293742497,268.83036436597683
p128,2,267.3990949529168,268.80471704709214
p128,3,271.823776163047,273.2410982812745
p128,4,277.3210020709016,278.3523019948367
p128,5,282.99005327848016,284.0168530454476
p128,6,288.48357884001473,289.37492828272514
p128,7,291.7598172685559,292.5360508427587
p128,8,291.14556223581576,291.90870616182394
p128,9,287.8364246866446,288.87374862747447
p128,10,282.06455118152496,283.29059061753264
p128,11,276.46864040149086,277.64781361571596
p128,12,270.8671261375347,272.233674456093
