rb,Month,CI_min_lower,CI_min_upper
p28,1,277.420251585862,278.2590289661793
p28,2,277.98269478033535,278.88503367007206
p28,3,280.8937755769392,281.8206503643595
p28,4,283.38952217438197,284.3971627906829
p28,5,287.5879824167542,288.57652076725657
p28,6,292.66514495867665,293.54212769679185
p28,7,297.61185596187886,298.13032821958154
p28,8,297.3821472198696,297.95779446292545
p28,9,294.3468871939186,295.1105006516702
p28,10,287.1018001521447,288.1570060043495
p28,11,281.8790332005414,282.92598269648687
p28,12,277.3700824129883,278.2974389936042
