rb,Month,CI_max_lower,CI_max_upper
p131,1,271.91763926370714,273.43602946598725
p131,2,272.80249491372854,274.0264626340105
p131,3,277.68511685096394,279.25176763753643
p131,4,284.69991026000935,286.24090084796785
p131,5,290.5808183513857,291.9681614250003
p131,6,294.7181351515345,295.95839368681504
p131,7,298.8986706437401,299.73173938187
p131,8,297.8187927014721,298.7051063028851
p131,9,293.9728120720413,295.0426495072609
p131,10,287.569235279855,288.7698192797445
p131,11,281.0787479164045,282.2948472222778
p131,12,275.01813777390333,276.40922466547846
