rb,Month,CI_min_lower,CI_min_upper
p18,1,262.1084563324214,263.9410968037703
p18,2,262.8400226922629,264.4140751411675
p18,3,267.9865968179492,269.4031042637334
p18,4,271.04627017553116,272.2821166572137
p18,5,275.9992030093587,277.18031692505764
p18,6,280.88653135165885,281.94905632053485
p18,7,286.31121503433013,287.2462242588402
p18,8,285.44610918674033,286.3250292985903
p18,9,281.0187824212961,282.12741712361765
p18,10,274.04436434752256,275.555262455247
p18,11,268.4427970406465,270.2238557928671
p18,12,261.4253895312206,263.30643269441885
