rb,Month,CI_min_lower,CI_min_upper
p120,1,265.4917098862686,267.0916991927303
p120,2,265.0811811554539,266.75988731395864
p120,3,272.0417847086734,273.7047499187606
p120,4,277.5446158644972,279.0093181283859
p120,5,283.36855509201945,284.7135984110693
p120,6,288.12673146888716,289.23743127257256
p120,7,290.2060181422113,291.1622152718653
p120,8,289.5313251469959,290.38895235743627
p120,9,285.4513361160315,286.6751860336137
p120,10,279.2186173443051,280.5988114426522
p120,11,273.6818591032947,274.9172501198029
p120,12,268.1902337844102,269.5224790829809
