rb,Month,CI_min_lower,CI_min_upper
p46,1,253.1291074266315,255.47112629343837
p46,2,255.0117366556283,257.3140767362385
p46,3,264.80307263368644,267.4539319123426
p46,4,273.4182560683319,274.92890400423227
p46,5,280.2501998958053,281.599196008181
p46,6,285.71649762757073,286.81229168171586
p46,7,288.45191735643266,289.413676860965
p46,8,286.65207911617637,287.7053347448203
p46,9,281.51071078576626,282.86621951659095
p46,10,275.8517136722002,277.2610780202272
p46,11,269.0445768979245,270.636547909801
p46,12,257.86698763016216,259.88392737602805
