rb,Month,CI_min_lower,CI_min_upper
p124,1,273.7172538254597,274.8889070695949
p124,2,273.60174124872947,274.72381073932183
p124,3,277.8375213356646,278.9751848154793
p124,4,282.74155009015817,283.6992302547965
p124,5,288.2120534178451,289.02119657416296
p124,6,293.8340482688602,294.52758457265327
p124,7,296.35162946450106,296.8617673911137
p124,8,296.15281719933284,296.5806847937125
p124,9,292.9851054557617,293.6601929690789
p124,10,287.4163158075448,288.45924484322774
p124,11,281.26471085653344,282.2209089482763
p124,12,276.4960874865157,277.6340430017173
