rb,Month,CI_max_lower,CI_max_upper
p84,1,276.61409130861693,278.29984351254484
p84,2,278.30834298635824,280.2937527768825
p84,3,287.8649229685581,289.78239600593207
p84,4,292.69641005353947,294.29303987568676
p84,5,297.86294889444594,299.11207180907275
p84,6,303.64920948316694,304.5091578856137
p84,7,305.26395985119143,306.18970901493515
p84,8,305.79912666468385,306.7754038206119
p84,9,300.03437221470875,301.1473563151582
p84,10,293.2549349900902,294.80662295797833
p84,11,286.35168828961673,287.8982225338875
p84,12,278.6473801117327,280.1308773569666
