rb,Month,CI_min_lower,CI_min_upper
p38,1,255.56908835522574,257.8129371159397
p38,2,256.7309222367204,258.98872177632927
p38,3,266.7670317057901,269.1306512224647
p38,4,274.18459764497527,275.794935445816
p38,5,281.4064050833798,282.68493082166447
p38,6,286.8789230382346,287.8729346865472
p38,7,290.0312293456099,290.9146031962296
p38,8,288.16791187245747,289.1246420318238
p38,9,282.8848023804568,284.1343156351029
p38,10,276.21096247726604,277.6217529104403
p38,11,269.33883571152376,270.84290561008584
p38,12,258.8770946624183,260.71618607158274
