rb,Month,CI_min_lower,CI_min_upper
p32,1,262.66330242104686,264.52551647021266
p32,2,262.8723462391742,264.69569317762233
p32,3,270.08584392881846,271.7616280338344
p32,4,273.6331498771545,275.0872256042965
p32,5,279.2877788968015,280.53575915961954
p32,6,285.2386000267344,286.3619564251203
p32,7,290.38700399351876,291.29061427242357
p32,8,289.0732683224499,289.9945769658854
p32,9,283.6382799955412,284.7952956568272
p32,10,276.1474538895858,277.5559138161841
p32,11,270.5218984868376,272.0631589750525
p32,12,263.27757634796023,264.9443772788376
