rb,Month,CI_max_lower,CI_max_upper
p8,1,275.2839366560449,276.2958040812536
p8,2,276.0473242014021,277.0983783483686
p8,3,278.7801471470142,280.08224588543055
p8,4,283.24509932712516,284.88452771771705
p8,5,288.8270540844032,290.481616249354
p8,6,293.48092319059435,294.8312783697562
p8,7,300.03639900652826,300.96965456223705
p8,8,299.9040140721699,300.83603053034307
p8,9,297.3606475840987,298.5493528535034
p8,10,288.06115342474294,289.57589496374527
p8,11,280.3168604917114,281.85938856447194
p8,12,274.6680956998257,275.78633291320307
