rb,Month,CI_max_lower,CI_max_upper
p38,1,265.16887260594734,267.1375450839576
p38,2,266.8978169476113,268.68930509514405
p38,3,276.0064469251707,278.3229422603354
p38,4,285.1711804414483,287.21225747560754
p38,5,292.9645860583118,294.5211752851446
p38,6,298.4173639352748,299.67917552734946
p38,7,303.13969970265885,304.2089023825864
p38,8,302.67924407303974,303.757893261518
p38,9,296.95109339033763,298.406549121226
p38,10,286.78046119977523,288.5742709960484
p38,11,278.25323359084746,280.039806913496
p38,12,267.7012833548942,269.39444221351954
