rb,Month,CI_min_lower,CI_min_upper
p22,1,263.20636801051717,265.0487525548082
p22,2,263.79894230578026,265.44950004696676
p22,3,269.91650215449215,271.37026581434554
p22,4,272.5021093499386,273.7938368696031
p22,5,277.4220122360666,278.674042389904
p22,6,283.15369027681993,284.3475679829628
p22,7,289.00185771059535,289.8850234052285
p22,8,287.83364666697076,288.73037415058974
p22,9,282.718718656473,283.834676782383
p22,10,275.318427511499,276.84104233418276
p22,11,270.1518179384344,271.82473287313246
p22,12,263.0513953655552,264.81064693103406
