rb,Month,CI_min_lower,CI_min_upper
p106,1,262.1448823643385,264.2237950551106
p106,2,262.0119773012909,264.45273919345436
p106,3,271.63471456349095,273.7983378459108
p106,4,276.46014544199693,278.1556696971594
p106,5,283.4800394917115,284.9559075233311
p106,6,288.0685939527156,289.3959906655287
p106,7,289.2752296979848,290.50268745713896
p106,8,287.26762151926175,288.62144804357933
p106,9,283.2931122728046,284.83118329627587
p106,10,276.96167075808717,278.57000868845796
p106,11,270.9218689035438,272.49998969562034
p106,12,265.3119853882451,267.0517842078677
