rb,Month,CI_min_lower,CI_min_upper
p17,1,262.858272525628,264.5704968402861
p17,2,264.06135759493156,265.4624457590611
p17,3,267.6860178733655,268.98426353488014
p17,4,270.5607248190214,271.831541166762
p17,5,275.49623581770027,276.69827369318637
p17,6,279.9703332813031,281.0508208781957
p17,7,285.34774137329117,286.33602987252976
p17,8,284.5536964907842,285.4858198257615
p17,9,280.56281799783073,281.69148192348484
p17,10,273.6432109953251,275.09739411014385
p17,11,268.1406330787097,269.8704997293755
p17,12,262.2085283652689,263.9589054377509
