rb,Month,CI_min_lower,CI_min_upper
p16,1,261.7717967189223,263.310609335985
p16,2,263.7782225900216,265.0499445104145
p16,3,268.18694160233696,269.4553191595408
p16,4,271.7967778067389,273.05942779310396
p16,5,276.745909209229,277.9273946313846
p16,6,281.8307475778958,283.006387454401
p16,7,287.99400744578566,288.7934305965075
p16,8,286.96014434488785,287.8013527570351
p16,9,282.2547827893436,283.2115147263038
p16,10,275.0915092447049,276.325683077282
p16,11,269.4110388625234,270.88508805908936
p16,12,263.21429785780833,264.702915780588
