rb,Month,CI_min_lower,CI_min_upper
p65,1,280.1936424332363,281.6154548291205
p65,2,281.90619061183725,283.7081389338193
p65,3,285.9043232388679,287.3529181665545
p65,4,289.3715226382774,290.62439172796326
p65,5,293.3892212120404,294.18150910719135
p65,6,295.6276814459603,296.0322520878915
p65,7,296.0638194808098,296.35783795856753
p65,8,296.11782700827973,296.3776748402189
p65,9,294.0557214759843,294.7561340364867
p65,10,289.3122678213345,290.5753646448472
p65,11,285.02787759794194,286.375472140592
p65,12,281.20544000663335,282.81330220287475
