rb,Month,CI_min_lower,CI_min_upper
p7,1,265.6619289515298,266.93522561227184
p7,2,267.77577384343175,268.8302421237718
p7,3,270.739516620423,271.68525810683656
p7,4,273.2864014568699,274.4735371817814
p7,5,277.7423322308974,279.06623181327365
p7,6,281.88292739898213,283.0896196168901
p7,7,287.9174628937076,288.81017866912373
p7,8,287.1257855812406,288.0747796540626
p7,9,283.571525782285,284.6696004904036
p7,10,276.94650119629716,278.095683708415
p7,11,271.6884654367098,272.96077359819407
p7,12,266.18653227432753,267.47296518941107
