rb,Month,CI_min_lower,CI_min_upper
p103,1,260.62950239723097,262.74769709570154
p103,2,259.5288130114828,261.6465390205955
p103,3,267.01822117462626,269.18090591468746
p103,4,274.4683887688496,275.7962299357528
p103,5,280.832819641129,282.16714552194645
p103,6,285.9719006956155,287.1270683771234
p103,7,287.7660891902951,288.79171124357475
p103,8,286.5805527995492,287.5947630305848
p103,9,282.47903488278064,283.68713100836044
p103,10,277.4219642392404,278.6799374108383
p103,11,271.87647724691925,273.07728400364095
p103,12,265.02755978233034,266.3988314456756
