rb,Month,CI_min_lower,CI_min_upper
p126,1,264.92550431288186,266.5867292885585
p126,2,264.87860074112723,266.5611261329292
p126,3,270.82926242652684,272.48692584519506
p126,4,276.79841458539636,278.1429829001348
p126,5,282.67007003777,284.0045626926007
p126,6,288.01230319252846,289.1606302432521
p126,7,290.46595760524616,291.4674891300638
p126,8,289.4153840647787,290.39441652658985
p126,9,285.4780864596974,286.81631349568005
p126,10,279.33944427034317,280.80083882292547
p126,11,273.66214742131814,275.0134285336731
p126,12,268.15221696459935,269.6213455536466
