rb,Month,CI_min_lower,CI_min_upper
p68,1,252.71246472358794,255.16042562791276
p68,2,254.3623788313664,256.73273492740174
p68,3,265.0211651673226,267.7485471560002
p68,4,274.5252109003506,276.10141230172275
p68,5,281.8963077875931,283.25534598297014
p68,6,287.1558202124668,288.2343417866848
p68,7,289.22507827373227,290.21160457324163
p68,8,287.2994513659724,288.39887823851114
p68,9,282.32056897664495,283.64679637176675
p68,10,276.5289369954647,278.0117426627209
p68,11,269.64951912719073,271.191240176988
p68,12,257.466721038641,259.57650900111685
