rb,Month,CI_min_lower,CI_min_upper
p6,1,273.38296475507235,274.46556253172986
p6,2,273.3470238682903,274.37873801439184
p6,3,273.8265216006289,274.73451660086596
p6,4,274.7317885177269,275.75237000323085
p6,5,278.01889255061826,279.0642000275876
p6,6,280.81259630890816,281.6806279697636
p6,7,284.5864021041076,285.3456046114486
p6,8,284.63907545635817,285.4569327707456
p6,9,283.3299714366578,284.28506227216127
p6,10,279.4218349347848,280.33677360888737
p6,11,276.0413016895031,277.18024048118247
p6,12,272.76344616305977,273.86365185695007
