rb,Month,CI_min_lower,CI_min_upper
p80,1,260.3577420652156,262.5066283254639
p80,2,260.4121260504066,262.7358106830539
p80,3,269.17746561967004,271.28638318436055
p80,4,275.68392479183274,276.94942045657695
p80,5,281.6303309431192,282.8327702656025
p80,6,286.6478797889211,287.7722108305041
p80,7,288.39728398650476,289.4425423430179
p80,8,286.64644039394415,287.67944593250326
p80,9,282.7870921429258,283.9826448660754
p80,10,278.1734494871609,279.4795975643048
p80,11,272.37595293198433,273.72988853024776
p80,12,264.8953161610809,266.6855105479625
