rb,Month,CI_min_lower,CI_min_upper
p79,1,261.3581237611922,263.40704000866464
p79,2,259.9611882898355,262.18043085384625
p79,3,266.46907922315745,268.7130291526663
p79,4,274.80216549555746,275.7479907628622
p79,5,279.8876065015952,280.77405717454155
p79,6,284.4453632095028,285.24669960527893
p79,7,286.725043462374,287.42845363897203
p79,8,285.9641496008308,286.6285972209019
p79,9,282.7563556287941,283.60368086028194
p79,10,278.81225064257274,279.80527450285217
p79,11,273.7592618437445,274.92838448349846
p79,12,266.13142108775594,267.7130083727276
