rb,Month,CI_min_lower,CI_min_upper
p57,1,273.990246224907,275.5106564292399
p57,2,275.65802989564816,277.5755956430256
p57,3,281.17670310705233,282.7945961289408
p57,4,284.8806810434312,286.282845327778
p57,5,290.06374409196746,291.02841491543984
p57,6,294.45096903311713,295.0032972815192
p57,7,295.8524062780528,296.3118938376004
p57,8,295.54361392257323,296.2234363468886
p57,9,291.01230992844955,292.14338978308274
p57,10,284.30917666560055,285.77862466294044
p57,11,279.8623163715264,281.4080881308521
p57,12,275.5617450704382,277.15729392525054
